local_step,step,train_accuracy,train_loss,heldout_measured,test_accuracy,test_cross_entropy,test_minimum_margin,test_centered_healthy_logit_relative_error,elapsed_seconds
0,17494,1.0,1.787955511645123e-06,True,0.9551403960174516,0.1751869561278596,-14.045135498046875,0.6150387711457603,0.033977832878008485
1,17495,0.6454308093994778,1.488906979560852,True,0.4097773800201365,4.432412901888059,-34.568450927734375,1.6578579104167865,0.2590918329078704
2,17496,0.8454308093994778,6.537905216217041,True,0.7572435395458105,7.924926164819447,-71.98684692382812,4.782876656581061,0.4654283330310136
3,17497,0.6044386422976501,12.445075035095215,True,0.5465935787000783,15.948512359404214,-115.30410766601562,6.340809008023038,0.6796989580616355
4,17498,0.5793733681462141,8.388056755065918,True,0.4358429354513928,13.125788012839022,-134.92025756835938,5.838358284512776,0.8976505000609905
5,17499,0.5216710182767624,8.699529647827148,True,0.376440317708916,14.417723950659953,-150.4761962890625,6.042484746301335,1.1230352078564465
6,17500,0.664751958224543,6.852451324462891,True,0.46940373643584293,12.386500088864043,-168.5732879638672,6.174919967488151,1.344674832886085
7,17501,0.8349869451697128,5.023449420928955,True,0.6689786329567066,8.998412004410564,-156.46888732910156,6.157623674391607,1.55679375003092
8,17502,0.8657963446475195,4.072168350219727,True,0.7506432486855353,7.282618963633744,-144.92245483398438,5.964910759812484,1.7696382920257747
9,17503,0.8503916449086162,3.3565876483917236,True,0.749524555319387,6.489343821179142,-124.20060729980469,5.603654143778801,1.983526541851461
10,17504,0.8827676240208877,1.990507960319519,True,0.7637319610694708,4.919695364284531,-106.84758758544922,5.081686509628573,2.1668457919731736
11,17505,0.933420365535248,0.9591128826141357,False,,,,,2.385784083046019
12,17506,0.9610966057441254,0.4376624822616577,False,,,,,2.491117457859218
13,17507,0.9723237597911227,0.2611329257488251,False,,,,,2.5991270828526467
14,17508,0.9822454308093995,0.12140240520238876,False,,,,,2.7012851249892265
15,17509,0.9913838120104439,0.038951363414525986,False,,,,,2.799336374970153
16,17510,0.9955613577023499,0.011175925843417645,False,,,,,2.8837832079734653
17,17511,0.9953002610966057,0.01683875359594822,False,,,,,2.966072541894391
18,17512,0.9947780678851175,0.014678838662803173,False,,,,,3.049385666847229
19,17513,0.9981723237597911,0.004923568107187748,False,,,,,3.1466028329450637
20,17514,0.9989556135770234,0.0022077157627791166,True,0.9192303389640899,0.7999225282262068,-52.65102958679199,4.8122411521305795,3.2482397919520736
21,17515,0.9992167101827676,0.002453622641041875,False,,,,,3.4435752499848604
22,17516,0.9992167101827676,0.0020531939808279276,False,,,,,3.5325110000558197
23,17517,0.9997389033942559,0.0010942588560283184,False,,,,,3.6311893749516457
24,17518,1.0,0.0006703801336698234,False,,,,,3.733649624977261
25,17519,0.9994778067885117,0.0012877308763563633,False,,,,,3.831777541898191
26,17520,0.9997389033942559,0.0008983758743852377,False,,,,,3.9224587080534548
27,17521,1.0,0.0005226272041909397,False,,,,,4.0260193748399615
28,17522,0.9997389033942559,0.0007438907050527632,False,,,,,4.102726457873359
29,17523,1.0,0.00026245665503665805,False,,,,,4.176181124988943
30,17524,1.0,0.00024645356461405754,True,0.9254950218145206,0.7442595825552688,-73.41965579986572,5.122614718660038,4.250811167061329
31,17525,1.0,0.00028347468469291925,False,,,,,4.433244457934052
32,17526,1.0,0.00024752382887527347,False,,,,,4.533761458005756
33,17527,1.0,0.00026737741427496076,False,,,,,4.608315292047337
34,17528,1.0,0.00033499300479888916,False,,,,,4.681538457982242
35,17529,1.0,0.00044221809366717935,False,,,,,4.769135124981403
36,17530,1.0,0.00037197585334070027,False,,,,,4.864195332862437
37,17531,1.0,0.00041321711614727974,False,,,,,4.964730291860178
38,17532,1.0,0.00042732316069304943,False,,,,,5.061988999834284
39,17533,1.0,0.00037697903462685645,False,,,,,5.159969999920577
40,17534,1.0,0.0003044930926989764,True,0.9267255845172838,0.72501929163126,-62.2878999710083,5.047898858351565,5.263748541940004
41,17535,1.0,0.0003202395746484399,False,,,,,5.474566957913339
42,17536,1.0,0.00022186005662661046,False,,,,,5.578572416910902
43,17537,1.0,0.00020890941959805787,False,,,,,5.681400874862447
44,17538,1.0,0.00020481330284383148,False,,,,,5.77912575006485
45,17539,1.0,0.00019683786376845092,False,,,,,5.876339707989246
46,17540,1.0,0.0002140480646630749,False,,,,,5.977332291891798
47,17541,1.0,0.00023470820451620966,False,,,,,6.076674917014316
48,17542,1.0,0.0002501860726624727,False,,,,,6.179352791979909
49,17543,1.0,0.00024348628357984126,False,,,,,6.282307957997546
50,17544,1.0,0.00021847643074579537,True,0.9237051124286833,0.7456431905041118,-46.39765167236328,4.908892852009424,6.385593625018373
51,17545,1.0,0.00021792514598928392,False,,,,,6.595013041980565
52,17546,1.0,0.0002362832601647824,False,,,,,6.679911250015721
53,17547,1.0,0.0001932048035087064,False,,,,,6.776379500050098
54,17548,1.0,0.00017787392425816506,False,,,,,6.8599780418444425
55,17549,1.0,0.00016243346908595413,False,,,,,6.934985917061567
56,17550,1.0,0.000151892178109847,False,,,,,7.014672291930765
57,17551,1.0,0.0001545075501780957,False,,,,,7.1005021668970585
58,17552,1.0,0.0001702584995655343,False,,,,,7.179210874950513
59,17553,1.0,0.0001929021964315325,False,,,,,7.256902874913067
60,17554,1.0,0.0002111440699081868,True,0.9124063094305851,0.8471531119738864,-48.867594718933105,4.779407008262639,7.337927249958739
61,17555,1.0,0.00020228122593834996,False,,,,,7.513823374873027
62,17556,1.0,0.00018301507225260139,False,,,,,7.593268207972869
63,17557,1.0,0.00016700524429325014,False,,,,,7.672597500029951
64,17558,1.0,0.0001578662486281246,False,,,,,7.754395792027935
65,17559,1.0,0.0001551041059428826,False,,,,,7.835233874851838
66,17560,1.0,0.0001514176547061652,False,,,,,7.917262292001396
67,17561,1.0,0.00014524096332024783,False,,,,,8.000536999898031
68,17562,1.0,0.000137195413117297,False,,,,,8.080369082977995
69,17563,1.0,0.0001291670632781461,False,,,,,8.175144542008638
70,17564,1.0,0.0001223222352564335,True,0.9015549837789462,0.9684432205039635,-47.932101249694824,4.652797283073146,8.263151125051081
71,17565,1.0,0.00011617463314905763,False,,,,,8.428368374938145
72,17566,1.0,0.0001128309522755444,False,,,,,8.503856542054564
73,17567,1.0,0.00011120637645944953,False,,,,,8.579134250059724
74,17568,1.0,0.00010817750444402918,False,,,,,8.656012374907732
75,17569,1.0,0.00010414835560368374,False,,,,,8.734230582835153
76,17570,1.0,0.00010049242700915784,False,,,,,8.811751291854307
77,17571,1.0,9.861376747721806e-05,False,,,,,8.884848916903138
78,17572,1.0,9.614176087779924e-05,False,,,,,8.959986874833703
79,17573,1.0,9.446403419133276e-05,False,,,,,9.03723550005816
80,17574,1.0,9.542669431539252e-05,True,0.8873475780288623,1.0810799071897454,-52.24754476547241,4.528830500267344,9.117862874874845
81,17575,1.0,9.709150617709383e-05,False,,,,,9.291654875036329
82,17576,1.0,9.792471246328205e-05,False,,,,,9.370547707891092
83,17577,1.0,9.854829113464803e-05,False,,,,,9.450969541911036
84,17578,1.0,9.615140879759565e-05,False,,,,,9.52974420785904
85,17579,1.0,9.263731772080064e-05,False,,,,,9.608864541864023
86,17580,1.0,8.88201902853325e-05,False,,,,,9.707073542056605
87,17581,1.0,8.481719123665243e-05,False,,,,,9.807674249866977
88,17582,1.0,8.148275810526684e-05,False,,,,,9.902581291971728
89,17583,1.0,7.880113844294101e-05,False,,,,,9.9769593749661
90,17584,1.0,7.630013715242967e-05,True,0.8824253272178096,1.1511585157888675,-54.35189342498779,4.40842838803789,10.053479957859963
91,17585,1.0,7.287666812771931e-05,False,,,,,10.222601166926324
92,17586,1.0,6.791565101593733e-05,False,,,,,10.3057216249872
93,17587,1.0,6.259555084398016e-05,False,,,,,10.385496499948204
94,17588,1.0,5.8196656027575955e-05,False,,,,,10.481788916978985
95,17589,1.0,5.486807640409097e-05,False,,,,,10.579355374909937
96,17590,1.0,5.2390274504432455e-05,False,,,,,10.676087291911244
97,17591,1.0,5.0396523874951527e-05,False,,,,,10.762971832882613
98,17592,1.0,4.81127281091176e-05,False,,,,,10.861032124841586
99,17593,1.0,4.537386485026218e-05,False,,,,,10.97076820791699
100,17594,1.0,4.2654839489841834e-05,True,0.8779505537532163,1.177509235791165,-53.57314109802246,4.286020090295926,11.069472000002861
101,17595,1.0,4.043191438540816e-05,False,,,,,11.256311457837
102,17596,1.0,3.9096750697353855e-05,False,,,,,11.338745292043313
103,17597,1.0,3.8447709812317044e-05,False,,,,,11.422241874970496
104,17598,1.0,3.793521682382561e-05,False,,,,,11.505697624990717
105,17599,1.0,3.693481266964227e-05,False,,,,,11.590265791863203
106,17600,1.0,3.5266555642010644e-05,False,,,,,11.700667042052373
107,17601,1.0,3.3261749194934964e-05,False,,,,,11.78733312501572
108,17602,1.0,3.117637970717624e-05,False,,,,,11.862342207925394
109,17603,1.0,2.9176366297178902e-05,False,,,,,11.952211207943037
110,17604,1.0,2.7383199267205782e-05,True,0.8764962523772234,1.205620248801764,-51.20976257324219,4.166846966320114,12.05615754192695
111,17605,1.0,2.5874462153296918e-05,False,,,,,12.270395749947056
112,17606,1.0,2.458898779877927e-05,False,,,,,12.375325999921188
113,17607,1.0,2.3382686777040362e-05,False,,,,,12.474351832875982
114,17608,1.0,2.2242133127292618e-05,False,,,,,12.57698216685094
