step,train_loss,train_loss64,train_accuracy,test_loss,test_loss64,test_accuracy,max_abs_logit,elapsed_seconds
0,5.186100482940674,5.186101250260364,0.007571801566579634,5.174230575561523,5.174230370435261,0.00839020024611254,2.749521255493164,0.08063316694460809
100,0.1862512081861496,0.18625123222704287,0.9566579634464752,39.7567253112793,39.75672584877464,0.0003356080098445016,86.51068115234375,6.294099499937147
200,0.003956953529268503,0.003956961564149011,0.9994778067885117,48.829349517822266,48.82935546908469,0.0007830853563038371,120.96868133544922,12.15440750005655
300,0.001643164549022913,0.001643174648019804,1.0,44.358097076416016,44.35809704833675,0.0007830853563038371,136.3975830078125,18.091120542027056
400,0.0010448078392073512,0.0010448162593798304,0.9997389033942559,45.489906311035156,45.48990932338159,0.0015661707126076742,120.32498168945312,24.18962787487544
500,0.0010285244788974524,0.001028534567870133,1.0,39.30600357055664,39.30600118155095,0.0013424320393780065,126.28312683105469,30.37178304186091
600,0.0005849170847795904,0.0005849276338939229,1.0,43.79560852050781,43.79560857587927,0.0012305627027631727,140.57569885253906,36.17257024999708
700,0.0002189890801673755,0.00021899978860406784,1.0,41.454124450683594,41.45412225199001,0.0012305627027631727,142.15443420410156,42.097987917019054
800,0.0002737395989242941,0.00027374917533791064,1.0,42.3447380065918,42.344738282007135,0.0015661707126076742,135.53553771972656,47.94967745896429
900,1.062923473682531e-07,1.1303078473646608e-07,1.0,84.3067398071289,84.30673662293027,0.0022373867322966774,341.0173034667969,54.10759516688995
1000,0.008627306669950485,0.008627310178889328,0.9963446475195823,92.81092834472656,92.81092353712187,0.0021255173956818436,351.3089904785156,59.72976041701622
1100,0.00014148479385767132,0.00014149175213500203,1.0,61.344181060791016,61.34418563700794,0.0022373867322966774,237.60739135742188,65.75588820897974
1200,1.3832008960434905e-07,1.4368160713909277e-07,1.0,90.7330093383789,90.73300305449634,0.0024611254055263453,275.2674255371094,71.71669287490658
1300,0.009193775244057178,0.0091937788718082,0.9984334203655353,77.51737213134766,77.51737286178479,0.002684864078756013,271.8849182128906,77.856029874878
1400,5.342873919289559e-06,5.3508169862216e-06,1.0,63.42438888549805,63.42438859723265,0.002908602751985681,233.40689086914062,83.99864583392628
1500,6.7541550130556516e-09,1.4476975954728936e-08,1.0,92.50480651855469,92.50480497038322,0.0045866428012081885,323.3202819824219,90.04367875005119
1600,0.00028910362743772566,0.0002891112131972558,1.0,57.99620819091797,57.99620399892515,0.004139165454748853,226.77496337890625,95.98741233395413
1700,7.156593255785992e-07,7.242281680696208e-07,1.0,56.82953643798828,56.829533573911995,0.00402729611813402,187.39614868164062,101.66464229207486
1800,7.065406482098524e-09,2.189169834937246e-08,1.0,63.677452087402344,63.67745399442509,0.007047768206734534,221.3515625,107.52216445887461
1900,3.3845469715743093e-07,3.5302347816390716e-07,1.0,33.76997756958008,33.76997868000613,0.004474773464593355,101.00431060791016,113.23783245892264
2000,2.838612722655398e-08,7.058395194736576e-08,1.0,22.074121475219727,22.07412311523852,0.006376552187045531,84.54234313964844,119.0908633749932
2100,1.593607201755276e-08,6.398276575565012e-08,1.0,25.095666885375977,25.09566784660863,0.009844501622105381,267.56439208984375,124.89411704195663
2200,1.5021239519119263,1.5021238898556482,0.6245430809399478,49.40859603881836,49.40859238323233,0.010291978968564717,527.5054321289062,130.96927537489682
2300,0.0005191050004214048,0.0005191218785208394,1.0,16.139671325683594,16.139670293392605,0.03579818771674684,67.33394622802734,136.7316487089265
2400,5.893224965802801e-07,5.992194403685586e-07,1.0,27.857255935668945,27.8572577713678,0.048886900100682404,100.2575912475586,143.02525370894
2500,4.668770925420063e-10,6.293424843322461e-09,1.0,40.26064682006836,40.26064788476869,0.051571764179438415,166.41000366210938,148.93600162491202
2600,2.8759627568319956e-08,9.392740847836242e-08,1.0,10.541691780090332,10.541692269333293,0.12853786777044413,108.4046401977539,154.83762829191983
2700,2.2472349314739404e-08,8.822435112245804e-08,1.0,11.193839073181152,11.193838870842185,0.136704329343327,183.3325653076172,161.14248516689986
2800,1.889295830892479e-08,7.776669175296704e-08,1.0,16.49919319152832,16.499192785263148,0.12719543573106612,327.564453125,166.6836198749952
2900,1.9266460427047605e-08,7.314634069938045e-08,1.0,22.120756149291992,22.12075473509812,0.11186933661483388,456.44879150390625,172.31497070891783
3000,1.7990329226336144e-08,7.037618003439516e-08,1.0,25.592775344848633,25.592777472930024,0.10851325651638886,548.4133911132812,178.98181412485428
3100,2.3468354370947964e-08,7.57923306365242e-08,1.0,26.746328353881836,26.74632591333637,0.12025953686094641,573.3491821289062,184.9104786668904
3200,2.287697675740219e-08,7.905226543633576e-08,1.0,26.091411590576172,26.09141066462813,0.13435507327441548,564.3135986328125,191.4477258338593
3300,2.658086906137669e-08,8.737051686729825e-08,1.0,24.171363830566406,24.171367072413478,0.16489540217026513,522.8668212890625,197.3024924590718
3400,2.735899684580545e-08,9.386423769023168e-08,1.0,21.548994064331055,21.54899202915433,0.20002237386732297,464.720947265625,203.6033751249779
3500,3.283701843770359e-08,1.0077546239481633e-07,1.0,18.606386184692383,18.606385831216507,0.24186150576127083,405.4476318359375,210.95955624990165
3600,3.205889242963167e-08,1.0553931192175007e-07,1.0,15.49120807647705,15.491207529395107,0.2982436514151471,341.24981689453125,218.3608049589675
3700,3.55137821372864e-08,1.1003222899128926e-07,1.0,12.46718978881836,12.46719049731353,0.35820561584069804,282.03546142578125,225.54146033385769
3800,3.7941543240549436e-08,1.1494391187564655e-07,1.0,10.787960052490234,10.787960160485117,0.3965767982995861,248.46920776367188,231.697302833898
3900,4.469569958587272e-08,1.1915897425407243e-07,1.0,9.644450187683105,9.644450407918713,0.42599843382928737,219.26754760742188,237.87419770890847
4000,4.955122179239879e-08,1.2316710356875733e-07,1.0,8.032845497131348,8.032845423058939,0.4656001789909386,186.7725830078125,244.70554574998096
4100,5.291273552643361e-08,1.250540502489351e-07,1.0,6.5321245193481445,6.5321245413674385,0.517171943170377,156.66062927246094,251.14767508395016
4200,5.717688011941391e-08,1.2624853501210057e-07,1.0,5.408899784088135,5.408900230681542,0.5545363015997316,133.78311157226562,257.9790194998495
4300,6.701242227791226e-08,1.2940439051500823e-07,1.0,4.444432258605957,4.444432287108494,0.587202147891263,112.66229248046875,264.3577897499781
4400,9.181916027500847e-08,1.4312070172440045e-07,1.0,3.7152609825134277,3.7152614820535907,0.610806577916993,98.13751220703125,271.1734634169843
4500,1.2527868875622516e-07,1.7223606381108585e-07,1.0,2.906261920928955,2.9062621250854828,0.6500727150687996,81.36015319824219,278.4889730839059
4600,1.5612368997608428e-07,1.998540364612778e-07,1.0,2.19767165184021,2.197671411622176,0.6945967110415036,68.16288757324219,285.0161548340693
4700,1.979558845732754e-07,2.3612094201685162e-07,1.0,1.6188496351242065,1.6188497463734146,0.7357646269157624,54.440284729003906,291.1497660840396
4800,2.4719585667298816e-07,2.7912702445402685e-07,1.0,1.2109436988830566,1.2109438192727313,0.7764850654435619,45.294795989990234,297.7601039169822
4900,3.7904192140558735e-07,3.981140495675515e-07,1.0,0.9635239243507385,0.9635239866925027,0.7985233247566842,37.7229118347168,304.0923511669971
5000,1.1541194453457138e-06,1.1919406205855566e-06,1.0,0.8649793267250061,0.8649793728672189,0.7981877167468396,31.32525634765625,310.8347904169932
5100,3.711136287165573e-06,3.76672908309445e-06,1.0,0.7763957977294922,0.7763958697587623,0.8115001678040049,27.39434242248535,316.4983213748783
5200,6.707939519401407e-06,6.771271180105562e-06,1.0,0.6196189522743225,0.6196190049074176,0.8422642353730843,24.425024032592773,322.8124527919572
