step,local_step,train_loss,train_accuracy,heldout_measured,test_loss,test_loss64,test_accuracy,train_below_0_90,joint_failure,elapsed_seconds
15000,0,3.5330143077771936e-07,1.0,True,0.00026217347476631403,0.00026222789839400206,1.0,False,False,0.04838125011883676
15010,10,3.4950417671097966e-07,1.0,False,,,,False,False,1.1011317090597004
15020,20,3.4586253150337143e-07,1.0,False,,,,False,False,2.114893542136997
15030,30,3.3730313475643925e-07,1.0,False,,,,False,False,3.0855741249397397
15040,40,3.269073260980804e-07,1.0,False,,,,False,False,4.094945624936372
15050,50,3.1856578175393224e-07,1.0,False,,,,False,False,5.06657929206267
15060,60,3.1081563633961196e-07,1.0,False,,,,False,False,6.016096916981041
15070,70,3.043104754851811e-07,1.0,False,,,,False,False,6.988395125139505
15080,80,2.9811656077072257e-07,1.0,False,,,,False,False,7.965070834150538
15090,90,2.948173118966224e-07,1.0,False,,,,False,False,8.866707084001973
15100,100,2.8896576509396255e-07,1.0,True,0.0003013653040397912,0.0003014238545864511,1.0,False,False,10.083673374960199
15110,110,2.8280300057303975e-07,1.0,False,,,,False,False,11.01357250008732
15120,120,2.7660908585858124e-07,1.0,False,,,,False,False,11.941919709090143
15130,130,2.7502170496518374e-07,1.0,False,,,,False,False,13.019562459085137
15140,140,2.761422308594774e-07,1.0,False,,,,False,False,14.213437750004232
15150,150,2.6963707000504655e-07,1.0,False,,,,False,False,15.262991084018722
15160,160,2.646259247285343e-07,1.0,False,,,,False,False,16.285267625004053
15170,170,2.6179353085353796e-07,1.0,False,,,,False,False,17.345199625007808
15180,180,2.629140283261222e-07,1.0,False,,,,False,False,18.28615662502125
15190,190,2.6045515255646023e-07,1.0,False,,,,False,False,19.223534208955243
15200,200,2.562532586125599e-07,1.0,True,0.0003353505162522197,0.0003354067540614518,1.0,False,False,20.325983667047694
15210,210,2.593657768557023e-07,1.0,False,,,,False,False,21.4386699590832
15220,220,2.5952138571483374e-07,1.0,False,,,,False,False,22.509769500000402
15230,230,2.5880552811941016e-07,1.0,False,,,,False,False,23.54159091692418
15240,240,2.559420124725875e-07,1.0,False,,,,False,False,24.58013908402063
15250,250,2.5416787252652284e-07,1.0,False,,,,False,False,25.58139529195614
15260,260,2.5345201493109926e-07,1.0,False,,,,False,False,26.717058083973825
15270,270,2.568446291206783e-07,1.0,False,,,,False,False,27.840085209114477
