seed,pre_step,post_step,total_directional_derivative,hidden_directional_derivative,embeddings_directional_derivative,readout_directional_derivative,loss_alpha_0.0,loss_alpha_0.001,loss_alpha_0.01,loss_alpha_0.1,loss_alpha_1.0,endpoints_exact
0,17493,17494,-0.0002164976441770717,-1.3419566679184475e-05,-1.2330278096274384e-05,-0.00019074779940161284,3.702519907170576e-06,3.4931718138331996e-06,2.1086902212347825e-06,3.0688954685067557e-07,2.858246746696754,True
1,17720,17721,-0.002553889042631905,-0.00011851585572679833,-0.0002940698811418677,-0.002141303305763239,2.7613484405865014e-05,2.5179712277345108e-05,1.1130525348224875e-05,3.603242883058888e-07,13.074465266564232,True
2,18068,18069,-9.358951249912712e-05,-3.039076386314167e-06,-6.457797065228994e-07,-8.990465640629005e-05,1.611100785302591e-06,1.5208610333513098e-06,9.500215205906211e-07,2.8437819409091996e-07,17.980007315928944,True
3,16307,16308,-0.1884614483835998,-0.029270795032395186,-0.10109348293487874,-0.05809717041632588,0.38024608556272177,0.3800610261434679,0.3786934188185406,0.3835625441982948,7.837681333880394,True
4,16055,16056,-1.8932197568170521,-0.05748248157771959,-0.1856260667230782,-1.6501112085162544,0.14503193731141323,0.14315883583808825,0.12781391884943982,0.054149426482483935,11.152028644952463,True
