seed,pre_step,pre_test_accuracy,stock_test_accuracy,accurate_test_accuracy,exact_replay,source_unchanged,reference_test_accuracy,zero_head_m_test_accuracy,zero_head_g_test_accuracy,reset_head_state_test_accuracy,center_head_g_test_accuracy,freeze_head_test_accuracy,head_decay_only_test_accuracy,head_historical_fixed_denominator_test_accuracy,head_current_fixed_denominator_test_accuracy,head_common_only_test_accuracy,head_centered_only_test_accuracy,adam_historical_update_norm_ratio,adam_current_update_norm_ratio,pre_features_directional_derivative,pre_features_best_train_grid_scale,pre_features_best_train_selected_test_accuracy,post_features_directional_derivative,post_features_best_train_grid_scale,post_features_best_train_selected_test_accuracy
0,17493,0.9549166573442219,0.3187157400156617,0.3245329455196331,True,True,0.3245329455196331,0.34791363687213334,0.8833202819107283,0.7427005257858821,0.32374986016332924,0.9638662042734086,0.9638662042734086,0.961628817541112,0.34791363687213334,0.9638662042734086,0.3187157400156617,0.10916003288256472,1.0277830032963284,-0.00019076510575887658,0.1,0.958943953462356,-3.883302341573085e-06,0.03,0.9652086363127866
1,17720,0.9413804676138271,0.09094977066785993,0.09285154939031212,True,True,0.09285154939031212,0.11175746727821904,0.9211321176865421,0.29119588320841255,0.09296341872692696,0.9418279449602864,0.9418279449602864,0.9352276541000112,0.11175746727821904,0.9418279449602864,0.09094977066785993,0.06435093692711258,0.9877737331393005,-0.0021415985745948216,0.1,0.9422754223067458,-1.6890301549504845e-05,0.03,0.9449602863855018
2,18068,0.9998881306633851,0.00928515493903121,0.00928515493903121,True,True,0.00928515493903121,0.010291978968564717,0.9956370958720214,0.27631726143863966,0.00928515493903121,1.0,1.0,1.0,0.010291978968564717,1.0,0.00928515493903121,0.18978886813394638,0.9837556100117094,-8.99052194313374e-05,0.1,1.0,-8.159290537964429e-06,0.1,1.0
3,16307,0.8954021702651304,0.5359659917216691,0.5359659917216691,True,True,0.5359659917216691,0.17395681843606667,0.8702315695267927,0.6186374314800314,0.5359659917216691,0.9100570533616735,0.9100570533616735,0.7213334824924488,0.17395681843606667,0.9100570533616735,0.5359659917216691,0.9119546486452523,0.7343945723276064,-0.05809808257162857,0.01,0.8974158183241974,0.14805938024368553,0.0,0.9100570533616735
4,16055,0.9134131334601185,0.66327329678935,0.66327329678935,True,True,0.66327329678935,0.6641682514822687,0.438415930193534,0.8678823134578812,0.66327329678935,0.98657567960622,0.98657567960622,0.9866875489428347,0.6641682514822687,0.98657567960622,0.66327329678935,0.0037871289797064946,0.9997816775417661,-1.6501090810881915,0.1,0.9855688555766864,-0.8656864944213021,0.1,0.9828839914979304
