seed,step,checkpoint,head_norm,head_class_mean_norm,head_centered_norm,head_class_common_power_fraction,training_mean_norm,training_rms_feature_norm,training_centered_rms_feature_norm,training_global_mean_power_fraction,training_classifier_feature_mean_cosine,training_class_balanced_mean_norm,training_classifier_balanced_feature_mean_cosine,training_within_class_centered_energy,training_between_class_centered_energy,training_within_to_between_class_energy,full_grid_mean_norm,full_grid_rms_feature_norm,full_grid_centered_rms_feature_norm,full_grid_global_mean_power_fraction,full_grid_classifier_feature_mean_cosine,full_grid_class_balanced_mean_norm,full_grid_classifier_balanced_feature_mean_cosine,full_grid_within_class_centered_energy,full_grid_between_class_centered_energy,full_grid_within_to_between_class_energy
0,6000,work/experiments/seed0_original/step_006000.pt,1.57020922303261,0.013567914086266512,1.563571241429995,0.008437029456284079,309.72137124595935,389.8865670532551,236.8210450152077,0.6310529506862704,-0.3510249277271937,309.486820449806,-0.3504493020755512,134963874.9702571,79838639.22656688,1.690458107474193,310.83662739488386,386.2149779603359,229.22172730933883,0.6477481058872805,-0.3504713946125714,310.83662739488386,-0.35047139461257126,480842664.6415105,190073798.21476272,2.5297682750476245
0,10000,work/experiments/seed0_original/step_010000.pt,0.6301012232253077,0.004988391771425106,0.627865951920833,0.007082374807177725,670.4249725449471,831.057223025204,491.10738553850996,0.6507864603572027,-0.4291266183125572,669.9993495176127,-0.4286563220364939,422155666.0630831,501588491.5566194,0.8416374641152031,672.4579799836564,822.6928632192588,473.9449465372562,0.6681205710407794,-0.4288814757501207,672.4579799836564,-0.4288814757501207,1508007339.2409868,1360214120.6332126,1.1086543775468034
0,14000,work/experiments/seed0_original/step_014000.pt,0.4336344427549914,0.005216921307642381,0.43007370492431235,0.01635533616663253,1159.159567402269,1427.3687480974513,832.9049407615915,0.6594989079423252,-0.5393789832826538,1158.8079329202355,-0.5389398933985227,1262701347.5094197,1394287005.0121999,0.9056251280907343,1160.9212900135137,1410.297528908315,800.7501972764409,0.6776166389528384,-0.5389659781891397,1160.9212900135137,-0.5389659781891396,4500296842.670936,3687197174.1071944,1.2205197146151052
0,15000,work/experiments/seed0_original/step_015000.pt,0.43300559874888056,0.006605206008313448,0.42727485323066755,0.026294453832849663,1146.1085320273814,1443.2759795401873,877.2005391766057,0.6305981956179266,-0.5733721033032406,1145.8037748408574,-0.5730469206743141,1385128087.4909153,1561983322.6276033,0.886775209072541,1146.4044564825172,1422.7359885310245,842.5761183527433,0.6492726317200559,-0.5729459638090177,1146.404456482517,-0.5729459638090177,4951688536.544071,4113465288.279371,1.203775451965786
0,17300,work/experiments/seed0_dense_capture/event_window/step_017300.pt,0.7160554704281247,0.047890251025192475,0.5035599592323813,0.5054513217200822,8840.646045715359,8950.224303270594,1396.2423046280337,0.9756637450610111,-0.9909317536615557,8839.37890060188,-0.9909460182273988,5435123688.805614,2031432866.6767874,2.675512333172452,8811.737544652442,8916.77370741409,1364.6005984879976,0.9765795290089944,-0.9908529207459229,8811.73754465244,-0.990852920745923,18815791108.54382,4961808068.3016205,3.7921239293289077
0,17310,work/experiments/seed0_dense_capture/event_window/step_017310.pt,0.7256500723455223,0.048977291015514596,0.5054764569348204,0.5147702952439954,8910.345077818469,9018.369272346354,1391.6662410927008,0.9761869975816151,-0.9915339626379254,8909.097862316548,-0.9915479994777537,5395632895.575193,2022061873.2916522,2.6683816983264754,8880.711015910674,8984.246524210448,1360.0211247147035,0.9770845712290768,-0.9914542710613751,8880.711015910674,-0.9914542710613748,18675799829.242046,4942476273.28734,3.7786321666690363
0,17320,work/experiments/seed0_dense_capture/event_window/step_017320.pt,0.7354731607743379,0.05007898211507634,0.5074717404992234,0.5239088946411496,8978.360372490504,9084.98403648837,1387.7968024681009,0.9766652351911909,-0.9920787191179653,8977.125459862971,-0.9920924815724933,5363167261.089434,2013336004.6333914,2.6638212641838757,8947.973064025811,9050.153732013705,1356.1196918230105,0.977546495649909,-0.9919988435360002,8947.97306402581,-0.9919988435360004,18558635210.200523,4924329828.066182,3.768763640572107
0,17330,work/experiments/seed0_dense_capture/event_window/step_017330.pt,0.7454745105507202,0.051189672723563846,0.5095380386292889,0.5328163612340465,9044.985712868107,9150.375370808151,1384.7753899836007,0.9770976075201051,-0.9925722206306516,9043.754978274987,-0.9925857697234628,5338180889.841717,2006238143.2554984,2.6607912464367343,9013.88773126459,9114.871887766247,1353.0400949525176,0.9779646377296015,-0.9924933261376924,9013.887731264587,-0.9924933261376926,18467156946.78321,4909274792.190477,3.761687362899342
0,17340,work/experiments/seed0_dense_capture/event_window/step_017340.pt,0.7556376822107486,0.052308281944443216,0.5116665301728877,0.5414921199052027,9111.094323664725,9215.361068446575,1382.331308740858,0.9774991161906645,-0.993021776183425,9109.869906124595,-0.9930351587498735,5318377755.431105,2000138859.0584621,2.6590042643012586,9079.262322948502,9179.158379584132,1350.5347935456439,0.9783525957229169,-0.9929438726040806,9079.262322948502,-0.9929438726040805,18393897568.717575,4896046285.986928,3.7568880060147953
0,17350,work/experiments/seed0_dense_capture/event_window/step_017350.pt,0.7659762665969163,0.0534361198083846,0.5138650652358598,0.5499429594270737,9178.07394360659,9281.338072647917,1380.6502469754944,0.9778717960490064,-0.993429809427033,9176.853292466225,-0.9934429531720831,5305867551.523825,1994859698.6096573,2.6597697849236295,9145.505729108741,9244.430722232422,1348.7862458498994,0.9787124386378174,-0.9933531350441346,9145.505729108741,-0.9933531350441346,18346058340.204506,4883617218.870159,3.7566536274210547
