seed,step,label,checkpoint,checkpoint_sha256,train_accuracy,heldout_accuracy,feature_mean_norm,head_mean_norm,mean_cosine,feature_global_mean_power,within_to_between_class_energy,stock_logit_gradient_relative_error,stock_readout_gradient_relative_error,accurate_logit_gradient_relative_error,accurate_readout_gradient_relative_error,stock_zero_target_fraction
0,15000,seed0_stock15000,work/experiments/seed0_original/step_015000.pt,a3ce6936aee499e9d06c5b37edd149c03093854680d4ef9bdd8b1b5ef8dc1c6d,1.0,1.0,1146.4044564825172,0.006605206008313448,-0.5729459638090177,0.6492726317200559,1.203775451965786,0.14950453149992365,0.264949301030554,1.633096084340786e-07,2.0591156387724672e-07,0.022193211488250653
0,15000,seed0_accurate15000,work/causal_study/main_runs/seed0_accurate6000/step_015000.pt,766b8852eee01b3dbd8675e41ca26df9267f264520d49e66f72f16e07a63c851,1.0,0.9997762613267703,444.01612286851844,0.0044103761241712554,-0.2988339257670008,0.21691019419163846,1.2350939644553882,0.13989752835275304,0.15599004003763878,1.7418203827857127e-07,1.6666417947180768e-07,0.08537859007832899
0,20000,seed0_accurate20000,work/causal_study/main_runs/seed0_accurate6000/step_020000.pt,ed6806f66ee394af70e9356bccb93b9f5cc7fcc78281a98fb0c091479934dfa1,1.0,1.0,546.7240312454346,0.006062277056370932,-0.1829780368439364,0.2811931409502251,0.8527239190412973,0.8281496993806827,1.1900223100680338,2.5250495543396134e-07,1.8685449233446972e-07,0.9887728459530026
1,15000,seed1_stock15000,work/basis_study/seed1_baseline/step_015000.pt,30f726b0c82fd07b666a7a2b349cfd319f92aeeafd02ae45007340761d585517,1.0,1.0,1128.7256865830814,0.007163529735479474,-0.5287611422091956,0.6307494299464803,1.261615078235159,0.14183848535086654,0.2621069693257424,1.587396408061711e-07,2.0779460978437387e-07,0.02845953002610966
1,15000,seed1_accurate15000,work/causal_study/main_runs/seed1_accurate6000/step_015000.pt,54433595c7e1b3b98dcb7aeb4425307e008b5c0158d7257cc3feb057345889bf,1.0,1.0,413.27411295577457,0.005051697577565674,-0.28800681733594247,0.18300591920363438,1.3101914662443084,0.13510124103049512,0.15296874711188035,1.724872911050834e-07,1.7196518709169924e-07,0.08172323759791122
1,20000,seed1_accurate20000,work/causal_study/main_runs/seed1_accurate6000/step_020000.pt,842010bf0b8061b85a428b31165a66a60c3b28d617a31a892446b6b18dbcc0ae,1.0,1.0,753.689443587212,0.00692811627306251,-0.1334068708412636,0.39021633369897996,1.2094198650597106,0.7269559586795434,1.2680420339461809,2.451308301031155e-07,2.019898727094558e-07,0.9657963446475196
2,15000,seed2_stock15000,work/basis_study/seed2_baseline/step_015000.pt,70ab302a6fcc6d46bd65c18d3876da51586aaa8b5c26e6985d2cc91527e65b9c,1.0,1.0,1092.7807047158997,0.00519988106771999,-0.6756291327657676,0.6051839850392395,1.831489918561813,0.1056123325345914,0.18946242115518802,1.420812426088933e-07,1.8878452625707334e-07,0.005483028720626632
2,15000,seed2_accurate15000,work/causal_study/main_runs/seed2_accurate6000/step_015000.pt,c88467eed2d136ced2ceac3502abf8a1d1d942dca550ef710817068d0a2feb53,1.0,1.0,484.8341864849452,0.00398155501642996,-0.3072869831414327,0.22572590960363256,1.9549108305152934,0.09120657755014593,0.09535994050069369,1.5162175737578418e-07,1.5372963482746485e-07,0.014882506527415143
2,20000,seed2_accurate20000,work/causal_study/main_runs/seed2_accurate6000/step_020000.pt,437c9dd83afddf005400572c682a5ed4c865c049d81f2041c53eafd9a59881a9,1.0,1.0,621.407609615147,0.007849133202774484,-0.1291846798184697,0.3705725141915303,1.2971947891583175,0.6363574361534539,1.0608868211476485,2.309752779112556e-07,1.9465721816520651e-07,0.8407310704960835
3,15000,seed3_stock15000,work/basis_study/seed3_baseline/step_015000.pt,68ca9819381262ba3d38afbb5371d88f7c589aac36f8fc7a380176b53ef44090,1.0,1.0,1486.3117542715934,0.010921826752217053,-0.8257474937911803,0.7538484235073186,1.1792397667432124,0.21864790464516312,0.43415142763296016,1.9208662179212128e-07,2.3758906283493362e-07,0.106266318537859
3,15000,seed3_accurate15000,work/causal_study/main_runs/seed3_accurate6000/step_015000.pt,eb3dae41b7f00ef49ec5e2040b9dbbbc49dc426d823ebc9884875402fa9f4bd8,1.0,1.0,387.7405691709311,0.00404163265692463,-0.31821189351529056,0.17745646830274883,1.1182602704124904,0.19228835276685924,0.23460821466727846,1.7958011266553756e-07,1.715806890161874e-07,0.2563968668407311
3,20000,seed3_accurate20000,work/causal_study/main_runs/seed3_accurate6000/step_020000.pt,e93b765e7794b864a894f0cac7a18858e52bec937d2a057b9169be8ca0682ee2,1.0,1.0,401.1049357580583,0.0048115584910189396,-0.26306792042927274,0.1583382238616022,0.6442419781017186,0.9540193714446819,1.205511285090966,2.519259124416047e-07,1.7261140096782088e-07,1.0
4,15000,seed4_stock15000,work/experiments/seed4_original/step_015000.pt,5ae288433cfe02133d27d52103a78154399400f693b8be576defe59202897733,1.0,1.0,1086.8848326485702,0.007491467573826343,-0.7393188163660349,0.6262516106984607,1.337010994416717,0.20858103075715737,0.3863966090443304,1.8011209532694907e-07,2.1363384650617735e-07,0.07154046997389034
4,15000,seed4_accurate15000,work/causal_study/main_runs/seed4_accurate6000/step_015000.pt,a140acc405e582b87d3410dee8aa347f090b662eeff9bf42c4871e84e437ab4a,1.0,1.0,490.66476463885994,0.0042008062812097955,-0.29530167207254965,0.24636405101419825,1.4337782454704497,0.18810413949626278,0.2321607813200875,1.9298805853783342e-07,1.788225420805177e-07,0.18250652741514362
4,20000,seed4_accurate20000,work/causal_study/main_runs/seed4_accurate6000/step_020000.pt,62878bdf2e048f203eef7b4e27599908862753546bc666fec4b7802d0e4be989,1.0,1.0,690.469280766087,0.004697522638866189,-0.09822430096156864,0.41965513726524317,0.6177600006968172,0.9457540221315502,1.4912077824495706,2.7119871983753544e-07,1.8511001110719624e-07,0.9997389033942559
