arithmetic,seed,pre_step,post_step,model_class,total_directional_derivative,hidden_directional_derivative,embeddings_directional_derivative,readout_directional_derivative,loss_alpha_0.0,loss_alpha_0.001,loss_alpha_0.01,loss_alpha_0.1,loss_alpha_1.0,endpoints_exact
stock,0,18514,18515,RMSDepthTransformer,-0.01436387523100768,-0.0014345542422259695,-0.012927762182944202,-1.5588058375079658e-06,0.0008129896834276701,0.000798786456214921,0.0006843861322137766,0.00022226301982785198,0.9511558744960664,True
accurate,0,28494,28495,RMSDepthTransformer,-11.602417589995296,-0.2783270861079834,-11.320154419839003,-0.003936084048309401,0.34206772902699933,0.3304998043084183,0.23577545156666116,0.8956339520414985,6.81099142404775,True
