seed,pre_step,post_step,mask,train_loss,train_loss64,train_accuracy,test_loss,test_loss64,test_accuracy,native_fullbatch_train_loss,native_fullbatch_train_accuracy,maximum_absolute_logit
1,29548,29549,000,0.008460107259452343,0.008460156858816006,0.9994778067885117,0.32429081201553345,0.32429084443114337,0.8749300816646157,0.008460107259452343,0.9994778067885117,539.328125
1,29548,29549,001,5.733373641967773,5.733373062670779,0.7519582245430809,7.6496076583862305,7.649608009023562,0.6631614274527352,5.733373641967773,0.7519582245430809,664.2274169921875
1,29548,29549,010,0.0023942410480231047,0.0023942960437607313,0.9997389033942559,0.13560117781162262,0.1356012384535995,0.9498825371965545,0.0023942410480231047,0.9997389033942559,534.6832885742188
1,29548,29549,011,6.493090629577637,6.4930910973863,0.6587467362924282,8.474742889404297,8.47474232373257,0.5840698064660477,6.493090629577637,0.6587467362924282,660.038330078125
1,29548,29549,100,5.1543614972615615e-05,5.159858748970399e-05,1.0,0.019751975312829018,0.019752030734266932,0.9929522317932654,5.1543614972615615e-05,1.0,532.2788696289062
1,29548,29549,101,5.556965351104736,5.556965826708718,0.7626631853785901,7.419734477996826,7.4197350410893765,0.6722228437185368,5.556965351104736,0.7626631853785901,659.8130493164062
1,29548,29549,110,0.00033932202495634556,0.0003393772004397857,1.0,0.03549304977059364,0.035493095754557724,0.992616623783421,0.00033932202495634556,1.0,527.6446533203125
1,29548,29549,111,6.448431015014648,6.448431233819734,0.6548302872062663,8.417293548583984,8.417294567789977,0.5802662490211433,6.448431015014648,0.6548302872062663,656.0858154296875
3,27747,27748,000,1.396425341226859e-05,1.4031131086735982e-05,1.0,0.006076924502849579,0.006076979936148175,0.9995525226535407,1.396425341226859e-05,1.0,173.47967529296875
3,27747,27748,001,85.17272186279297,85.17272339588496,0.016449086161879897,88.16647338867188,88.16647194016217,0.01823470186821792,85.17272186279297,0.016449086161879897,184.0865478515625
3,27747,27748,010,1.1276150871708523e-05,1.1341565223029886e-05,1.0,0.005997088272124529,0.005997140492814659,0.9995525226535407,1.1276150871708523e-05,1.0,173.48497009277344
3,27747,27748,011,85.20325469970703,85.20325348414816,0.016449086161879897,88.20126342773438,88.20127353354422,0.01823470186821792,85.20325469970703,0.016449086161879897,184.14222717285156
3,27747,27748,100,2.313479853910394e-06,2.3863681225964047e-06,1.0,0.0027550403028726578,0.002755096321949545,0.9997762613267703,2.313479853910394e-06,1.0,169.53431701660156
3,27747,27748,101,88.0714340209961,88.07143497052466,0.016449086161879897,91.03430938720703,91.0343101685714,0.01823470186821792,88.0714340209961,0.016449086161879897,181.82949829101562
3,27747,27748,110,2.217151177319465e-06,2.290553141119132e-06,1.0,0.002734895097091794,0.002734951306532767,0.9997762613267703,2.217151177319465e-06,1.0,169.5372772216797
3,27747,27748,111,88.11202239990234,88.11201891659556,0.016449086161879897,91.07667541503906,91.07666780482496,0.01823470186821792,88.11202239990234,0.016449086161879897,181.8834991455078
