seed,step,training_accuracy,stock_logit_gradient_relative_error,accurate_logit_gradient_relative_error,stock_zero_target_fraction,stock_readout_gradient_relative_error,accurate_readout_gradient_relative_error
0,6000,1.0,0.014395340944676857,1.3205333427630762e-07,0.0,0.030816112555031246,2.1078947232083277e-07
0,10000,1.0,0.03747857117695911,1.2125783941899383e-07,0.0,0.07265611043349474,1.8728165468433048e-07
0,14000,1.0,0.10329789760695654,1.4812102418243903e-07,0.007571801566579634,0.20345175827744771,1.9376984909907022e-07
0,15000,1.0,0.14950453149992365,1.633096084340786e-07,0.022193211488250653,0.264949301030554,2.0591156387724672e-07
0,17300,1.0,0.3119427690758503,6.520136397240549e-08,0.5245430809399477,0.8742709246223435,1.1625600767174188e-07
0,17310,1.0,0.30787915674193034,6.433882088171876e-08,0.5172323759791123,0.8765920228306294,1.1066166162811625e-07
0,17320,1.0,0.3055318451635558,6.368102983866462e-08,0.5007832898172324,0.8873783564965929,1.0474549167031088e-07
0,17330,1.0,0.2992152624500854,6.640258196834054e-08,0.4994778067885117,0.8708098912397767,1.1643270680057557e-07
0,17340,1.0,0.2954020450236821,7.132448935034208e-08,0.4929503916449086,0.8846513464168558,1.1660362257687663e-07
0,17350,1.0,0.2932070084726244,6.988470513037512e-08,0.48172323759791125,0.9259523883352251,1.3616926551305052e-07
0,17360,1.0,0.2839331762555534,6.805770322779214e-08,0.4710182767624021,0.8442800312962605,1.1480177443390104e-07
0,17370,1.0,0.27621210186828515,6.748535261442099e-08,0.4650130548302872,0.8586756942049949,1.2559840088424867e-07
0,17380,1.0,0.26719109475609726,6.432962913919707e-08,0.4514360313315927,0.8102571567417006,1.3321544781075635e-07
0,17390,1.0,0.2634204956448389,6.843108780440526e-08,0.4456919060052219,0.8573504026247056,1.3023668741669077e-07
0,17400,1.0,0.26128540709296155,6.492889542921582e-08,0.4451697127937337,0.8641579626501774,1.2126521163984977e-07
0,17410,1.0,0.2585524725913892,6.509246132952315e-08,0.43785900783289816,0.8293561566950306,1.3320287933614467e-07
0,17420,1.0,0.2534788149440642,6.76267229707918e-08,0.4360313315926893,0.8177279291853861,1.1544101748265318e-07
0,17430,1.0,0.24688756780562568,7.012796331858286e-08,0.4227154046997389,0.78500924945078,1.3327518899387598e-07
0,17440,1.0,0.24472032279313102,6.587928926044354e-08,0.42428198433420367,0.8362583306346111,1.1871286433405517e-07
0,17450,1.0,0.23700585407507774,6.573508607945274e-08,0.41932114882506527,0.8177031827719097,1.2507749286237905e-07
0,17460,1.0,0.2320605107749296,7.22480807566586e-08,0.41906005221932113,0.784961420868037,1.257464287332776e-07
0,17470,1.0,0.22916318253208956,6.918940364643988e-08,0.4177545691906005,0.8282265577846437,1.2738119232272151e-07
0,17480,1.0,0.2180804527754964,6.956356214613531e-08,0.4107049608355091,0.7551480410293495,1.2679597582842052e-07
0,17490,1.0,0.20795211670359035,6.862840454218639e-08,0.3971279373368146,0.5707535599719351,1.1755466885537128e-07
0,17493,1.0,0.0009857349259455672,5.615363108293154e-08,0.33864229765013054,0.0011018454488192278,4.203791737452476e-08
0,17494,0.4825065274151436,7.224660768482286e-08,5.531343463083511e-08,0.05953002610966057,5.056464807986918e-08,5.000082546493545e-08
1,6000,1.0,0.015004597875948551,1.3238056132977848e-07,0.0,0.04476621640804568,2.521654229358746e-07
1,10000,1.0,0.0281641913293938,1.1520755166906653e-07,0.0,0.061801788451180215,1.964669726115223e-07
1,14000,1.0,0.0940548948854884,1.4408759402709568e-07,0.015404699738903394,0.20080333074327356,2.035928458056346e-07
1,15000,1.0,0.14183848535086654,1.587396408061711e-07,0.02845953002610966,0.2621069693257424,2.0779460978437387e-07
1,17520,1.0,0.3308884372486263,6.464804041837652e-08,0.527154046997389,1.2840335146802742,1.472725489174224e-07
1,17530,1.0,0.3247318822512636,6.4989261012399e-08,0.514621409921671,1.3266069657119146,1.4674551546111375e-07
1,17540,1.0,0.3243985875819302,6.645256282107243e-08,0.5033942558746737,1.3103977483197216,1.4777846272333715e-07
1,17550,1.0,0.31955276537654154,6.662890494708459e-08,0.4890339425587467,1.242432316839366,1.469418679430383e-07
1,17560,1.0,0.31813661440227914,6.382849374757165e-08,0.47885117493472584,1.2921264707601707,1.3807233882660564e-07
