run,seed,regime,step,readout_input,population,feature_mean_norm,dc_spectral_power,total_spectral_power,dc_power_fraction,checkpoint,source_csv,source_row,training_backend,measurement_backend
seed0_adamw_stable,0,adamw,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",148.05090424667287,279884608.0,819396864.0,0.341573931139673,checkpoints/seedstudy_adamw_stable_seed_0/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,151,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed0_adamw_stable,0,adamw,94000,layer_1_post_block_residual,"full operand grid, uniform113x113",116.63918243926541,173718400.0,469594752.0,0.36993258391439604,checkpoints/seedstudy_adamw_stable_seed_0/step_094000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,157,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed0_adamw_stable,0,adamw,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",210.21547034813176,564269056.0,1457284224.0,0.3872059044536805,checkpoints/seedstudy_adamw_stable_seed_0/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,163,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,0,layer_1_post_block_residual,"full operand grid, uniform113x113",16.965117063002864,3675112.25,3714916.0,0.9892854239503666,checkpoints/seedstudy_muon_seed_1/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,169,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,5000,layer_1_post_block_residual,"full operand grid, uniform113x113",452.8580562826557,2618671872.0,3312842752.0,0.7904606611403692,checkpoints/seedstudy_muon_seed_1/step_005000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,175,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,6000,layer_1_post_block_residual,"full operand grid, uniform113x113",198.86725663716814,504990784.0,1112959104.0,0.4537370530373055,checkpoints/seedstudy_muon_seed_1/step_006000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,181,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,18000,layer_1_post_block_residual,"full operand grid, uniform113x113",1181.847395408954,17835270144.0,42012667904.0,0.4245212464191524,checkpoints/seedstudy_muon_seed_1/step_018000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,187,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",858.3240905053086,9407180800.0,16293339136.0,0.5773635914331956,checkpoints/seedstudy_muon_seed_1/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,193,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,50000,layer_1_post_block_residual,"full operand grid, uniform113x113",1475.2205352202218,27788863488.000004,46311952384.0,0.6000365360886963,checkpoints/seedstudy_muon_seed_1/step_050000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,199,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,53000,layer_1_post_block_residual,"full operand grid, uniform113x113",15232.76953339767,2962883870720.0,2996132904960.0,0.9889026837945148,checkpoints/seedstudy_muon_seed_1/step_053000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,205,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",523.76501645884,3502917120.0,16483948544.0,0.2125047351761498,checkpoints/seedstudy_muon_seed_1/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,211,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_muon,1,muon,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",2690.598373442908,92438872063.99998,155663007744.0,0.5938396887205402,checkpoints/seedstudy_muon_seed_1/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,217,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,0,layer_1_post_block_residual,"full operand grid, uniform113x113",16.965117063002864,3675112.25,3714916.0,0.9892854239503666,checkpoints/seedstudy_adamw_stable_seed_1/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,277,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,8000,layer_1_post_block_residual,"full operand grid, uniform113x113",27.873968171977946,9920978.0,46036144.0,0.21550410477471788,checkpoints/seedstudy_adamw_stable_seed_1/step_008000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,283,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,9000,layer_1_post_block_residual,"full operand grid, uniform113x113",16.574578653165077,3507857.0000000005,24969578.0,0.14048523367114976,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,289,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",35.51194235696998,16102961.000000002,57491200.0,0.28009436226761664,checkpoints/seedstudy_adamw_stable_seed_1/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,295,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed1_adamw_stable,1,adamw,50000,layer_1_post_block_residual,"full operand grid, uniform113x113",37.29766517349941,17763158.0,57440456.0,0.3092447246588711,checkpoints/seedstudy_adamw_stable_seed_1/step_050000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,301,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
