step,local_step,train_loss,train_accuracy,heldout_measured,test_loss,test_loss64,test_accuracy,train_below_0_90,joint_failure,elapsed_seconds
16770,770,2.1000130345782964e-07,1.0,False,,,,False,False,65.0725088340696
16780,780,2.119310664738805e-07,1.0,False,,,,False,False,65.75023587490432
16790,790,2.086629251607519e-07,1.0,False,,,,False,False,66.43807699996978
16800,800,2.033716555160936e-07,1.0,True,0.003817688673734665,0.003817737566529076,0.9996643919901554,False,False,67.30687904194929
16810,810,2.026557837098153e-07,1.0,False,,,,False,False,68.1050863750279
16820,820,2.079781751262999e-07,1.0,False,,,,False,False,68.77118999999948
16830,830,2.0832055724895326e-07,1.0,False,,,,False,False,69.52417454193346
16840,840,2.1130855998308107e-07,1.0,False,,,,False,False,70.34393633389845
16850,850,2.0891192775707168e-07,1.0,False,,,,False,False,71.13133412506431
16860,860,2.078847955999663e-07,1.0,False,,,,False,False,71.9117843748536
16870,870,2.0579940951392928e-07,1.0,False,,,,False,False,72.60040770890191
16880,880,2.0869406114343292e-07,1.0,False,,,,False,False,73.31887412490323
16890,890,2.0654641730288859e-07,1.0,False,,,,False,False,74.08191250008531
16900,900,2.0701330072370183e-07,1.0,True,0.005950882565230131,0.005950930777169097,0.9991050453070813,False,False,75.08030920894817
16910,910,2.0707554426735442e-07,1.0,False,,,,False,False,75.93894320889376
16920,920,2.0611066986475635e-07,1.0,False,,,,False,False,76.68644404201768
16930,930,2.0576828774210298e-07,1.0,False,,,,False,False,77.54507945897058
16940,940,2.0505241593582468e-07,1.0,False,,,,False,False,78.34271162492223
16950,950,2.0271802725346788e-07,1.0,False,,,,False,False,79.27838799986057
16960,960,2.026246477271343e-07,1.0,False,,,,False,False,80.13398979208432
16970,970,2.002902732556322e-07,1.0,False,,,,False,False,80.99255608394742
16980,980,1.947188650319731e-07,1.0,False,,,,False,False,81.9789692920167
16990,990,1.9210435198147024e-07,1.0,False,,,,False,False,83.02192537486553
17000,1000,1.9117059935069847e-07,1.0,True,0.010518454015254974,0.010518500182675215,0.9980982212775478,False,False,83.95700258389115
17010,1010,1.8980109928179445e-07,1.0,False,,,,False,False,84.75246470887214
17020,1020,1.9110835580704588e-07,1.0,False,,,,False,False,85.47190979192965
17030,1030,1.902057249481004e-07,1.0,False,,,,False,False,86.35292404191568
17040,1040,1.9387849192753492e-07,1.0,False,,,,False,False,87.22368129203096
17050,1050,1.9527911376826523e-07,1.0,False,,,,False,False,88.16062966687605
17060,1060,1.95528116364585e-07,1.0,False,,,,False,False,88.91916770907119
17070,1070,1.971777550124898e-07,1.0,False,,,,False,False,89.67971770907752
17080,1080,2.0060151939560456e-07,1.0,False,,,,False,False,90.48610554193147
17090,1090,2.026869054816416e-07,1.0,False,,,,False,False,91.29763129190542
17100,1100,2.0355840035790607e-07,1.0,True,0.02655969001352787,0.026559729730682494,0.9945184025058731,False,False,92.17883345903829
17110,1110,2.0533254030397075e-07,1.0,False,,,,False,False,93.09600487491116
17120,1120,2.0688879942554195e-07,1.0,False,,,,False,False,93.99073183396831
17130,1130,2.0744904816183407e-07,1.0,False,,,,False,False,94.89329141704366
17140,1140,2.0617291340840893e-07,1.0,False,,,,False,False,95.71702999994159
17150,1150,2.0604841211024905e-07,1.0,False,,,,False,False,96.62012554192916
17160,1160,2.0203327721901587e-07,1.0,False,,,,False,False,97.66372883389704
17170,1170,2.0044589632561838e-07,1.0,False,,,,False,False,98.62264625006355
17180,1180,1.9375399062937504e-07,1.0,False,,,,False,False,99.5681588749867
17190,1190,1.815840562358062e-07,1.0,False,,,,False,False,100.57705374993384
17200,1200,1.6353148168946063e-07,1.0,True,0.043356072157621384,0.043356111653456965,0.9911623224074281,False,False,101.52459879196249
17210,1210,1.3853798463969724e-07,1.0,False,,,,False,False,102.33882829197682
17220,1220,1.1441601088790776e-07,1.0,False,,,,False,False,103.0639154589735
17230,1230,9.782630883137244e-08,1.0,False,,,,False,False,103.76397883403115
17240,1240,9.493167141272352e-08,1.0,False,,,,False,False,104.51943283388391
17250,1250,1.0003619621556936e-07,1.0,False,,,,False,False,105.3263837499544
17260,1260,1.0296195540604458e-07,1.0,False,,,,False,False,106.14122533402406
17270,1270,1.051407210184152e-07,1.0,False,,,,False,False,106.94069333397783
17280,1280,1.0965386110228792e-07,1.0,False,,,,False,False,107.53948079189286
17290,1290,1.1130349264476536e-07,1.0,False,,,,False,False,108.16997758392245
17300,1300,1.1469613525605382e-07,1.0,True,0.05515221133828163,0.05515224838803194,0.989931759704665,False,False,108.89413141692057
17310,1310,1.1743514960471657e-07,1.0,False,,,,False,False,109.67962958407588
17320,1320,1.2011190619887202e-07,1.0,False,,,,False,False,110.53300741687417
17330,1330,1.2325554621384072e-07,1.0,False,,,,False,False,111.39302924997173
17340,1340,1.2534093229987775e-07,1.0,False,,,,False,False,112.16578229190782
17350,1350,1.2860907361300633e-07,1.0,False,,,,False,False,112.80924808396958
17360,1360,1.317526994171203e-07,1.0,False,,,,False,False,113.65178895904683
17370,1370,1.3533210108107596e-07,1.0,False,,,,False,False,114.395678791916
17380,1380,1.404988694275744e-07,1.0,False,,,,False,False,114.99322204198688
17390,1390,1.4267763503994502e-07,1.0,False,,,,False,False,115.70609920891002
17400,1400,1.4650602508936572e-07,1.0,True,0.07332167774438858,0.07332170664264066,0.9841145542006936,False,False,116.34643050003797
17410,1410,1.4915165991169488e-07,1.0,False,,,,False,False,117.47961275000125
17420,1420,1.5151717036587797e-07,1.0,False,,,,False,False,118.70438620890491
17430,1430,1.5618594773059158e-07,1.0,False,,,,False,False,119.62219891697168
17440,1440,1.5796007346580154e-07,1.0,False,,,,False,False,120.4587432090193
17450,1450,1.6185072126972955e-07,1.0,False,,,,False,False,121.24382079206407
17460,1460,1.660837369854562e-07,1.0,False,,,,False,False,122.04417670890689
17470,1470,1.668929883180681e-07,1.0,False,,,,False,False,122.64282404188998
17480,1480,1.7290014397985942e-07,1.0,False,,,,False,False,123.4271633750759
17490,1490,1.7890729964165075e-07,1.0,False,,,,False,False,124.14901358401403
17494,1494,2.8582468032836914,0.4825065274151436,True,6.650341510772705,6.65034168733314,0.3187157400156617,True,True,124.58051958400756
