step,train_loss,train_accuracy,test_loss,test_accuracy,heldout_measured,post_grok,event_trigger,elapsed_seconds
0,4.980867385864258,0.008616187989556136,4.986128330230713,0.009061416265801543,True,False,False,0.08071954199112952
10,4.44876766204834,0.05117493472584857,,,False,False,False,0.8315214170143008
20,3.9245834350585938,0.09216710182767623,,,False,False,False,1.481391292065382
30,3.2466933727264404,0.18720626631853787,,,False,False,False,2.0072867090348154
40,2.3569273948669434,0.4101827676240209,,,False,False,False,2.6819805421400815
50,1.3107630014419556,0.7331592689295039,,,False,False,False,3.431159834144637
60,0.35120251774787903,0.9908616187989556,,,False,False,False,4.206095749977976
70,0.030173689126968384,1.0,,,False,False,False,4.980663584079593
80,0.0021548632066696882,1.0,,,False,False,False,5.749510874971747
90,0.00033341359812766314,1.0,,,False,False,False,6.441927667008713
100,0.00012164378131274134,1.0,48.26723861694336,0.000894954692918671,True,False,False,7.193446834105998
110,4.950102447764948e-05,1.0,,,False,False,False,7.807406333973631
120,0.05256015062332153,0.9861618798955614,,,False,False,False,8.37654724996537
130,0.04081656038761139,0.9866840731070496,,,False,False,False,9.025956833967939
140,0.013041170313954353,0.9966057441253263,,,False,False,False,9.781099874991924
150,0.008873267099261284,0.9994778067885117,,,False,False,False,10.537262666970491
160,0.0075002191588282585,0.9986945169712794,,,False,False,False,11.288605584064499
170,0.00676298514008522,0.9994778067885117,,,False,False,False,12.019291084026918
180,0.0057888696901500225,0.9989556135770234,,,False,False,False,12.765684625133872
190,0.018518712371587753,0.9968668407310705,,,False,False,False,13.469427583971992
200,0.005364301148802042,0.9994778067885117,50.279293060302734,0.0007830853563038371,True,False,False,14.298815208952874
210,0.009285686537623405,0.9989556135770234,,,False,False,False,15.053260416956618
220,0.012230011634528637,0.9976501305483029,,,False,False,False,15.721589625114575
230,0.004083138424903154,0.9997389033942559,,,False,False,False,16.206556624965742
240,0.010267546400427818,0.9981723237597911,,,False,False,False,16.79763741698116
250,0.0016940683126449585,1.0,,,False,False,False,17.534918166929856
260,0.0018295891350135207,0.9997389033942559,,,False,False,False,18.278707792051136
270,0.015523424372076988,0.9973890339425587,,,False,False,False,19.023008666932583
280,0.006740981712937355,0.9986945169712794,,,False,False,False,19.75783500005491
290,0.0022482015192508698,1.0,,,False,False,False,20.497504625003785
300,0.001348510617390275,1.0,45.39829635620117,0.0011186933661483387,True,False,False,21.316446375101805
310,0.0024464267771691084,0.9994778067885117,,,False,False,False,22.07981716701761
320,0.001244804821908474,0.9997389033942559,,,False,False,False,22.862229417078197
330,0.0016815736889839172,1.0,,,False,False,False,23.657211625017226
340,0.0017073453636839986,1.0,,,False,False,False,24.432285834103823
350,0.0010710282949730754,1.0,,,False,False,False,25.20658304193057
360,0.0014102484565228224,1.0,,,False,False,False,25.971577333984897
370,0.0009473756072111428,1.0,,,False,False,False,26.742228042101488
