step,local_step,arm,train_loss,train_loss64,train_accurate_loss64,train_objective_loss,train_accuracy,train_minimum_margin,test_loss,test_loss64,test_accurate_loss64,test_objective_loss,test_accuracy,test_minimum_margin,max_abs_logit,last_training_loss,elapsed_seconds
6000,0,stable32,7.220131465146551e-06,7.3035551428490615e-06,7.3035551428474285e-06,7.303555321414024e-06,1.0,12.045406341552734,0.027278129011392593,0.02727816639830095,0.02727816639830095,0.027278168126940727,0.9984338292873923,-2.77543306350708,20.122482299804688,,0.09787366702221334
6100,100,stable32,7.064661986078136e-06,7.147698267124266e-06,7.147698267122091e-06,7.147697942855302e-06,1.0,11.996519088745117,0.020636793226003647,0.02063683046771471,0.02063683046771471,0.02063683047890663,0.9989931759704664,-1.814802646636963,20.436969757080078,7.143824404920451e-06,6.555912999901921
6200,200,stable32,7.222122349048732e-06,7.309716528230149e-06,7.309716528222433e-06,7.309716693271184e-06,1.0,11.90075397491455,0.01591029204428196,0.015910333696742655,0.015910333696742662,0.015910333022475243,0.9996643919901554,-1.2611651420593262,20.501907348632812,7.309764441743027e-06,13.414288833038881
6300,300,stable32,7.171606284828158e-06,7.259642723755272e-06,7.2596427237647284e-06,7.259642643475672e-06,1.0,11.965463638305664,0.01238284818828106,0.012382884749522864,0.01238288474952286,0.012382885441184044,0.9996643919901554,-0.6285824775695801,20.456022262573242,7.260473012138391e-06,20.448404083028436
6400,400,stable32,7.0985875026963186e-06,7.188830389969834e-06,7.188830389965211e-06,7.188830750237685e-06,1.0,11.932750701904297,0.00976312905550003,0.009763170875013208,0.009763170875013211,0.009763170033693314,1.0,0.02182626724243164,20.45528793334961,7.190551059466088e-06,28.2048648330383
6500,500,stable32,6.738628599123331e-06,6.828520576529979e-06,6.828520576524616e-06,6.828520781709813e-06,1.0,11.941789627075195,0.007679956499487162,0.007679996637299765,0.007679996637299757,0.00767999654635787,1.0,0.48401594161987305,20.59972381591797,6.834220130258473e-06,35.99647820787504
6600,600,stable32,6.221083367563551e-06,6.311444444081913e-06,6.3114444440773766e-06,6.311444394668797e-06,1.0,12.069820404052734,0.006205778568983078,0.006205822769951188,0.006205822769951194,0.006205822806805372,1.0,0.8884201049804688,20.663373947143555,6.31465218248195e-06,43.50689341686666
6700,700,stable32,5.78110120841302e-06,5.872386536203735e-06,5.872386536208044e-06,5.872386736882618e-06,1.0,12.13123893737793,0.005233501084148884,0.005233545699531601,0.005233545699531601,0.005233545787632465,1.0,1.2904834747314453,20.73166275024414,5.8798532336368226e-06,51.201708416920155
6800,800,stable32,4.871381861448754e-06,4.961166746889198e-06,4.961166746890394e-06,4.961166723660426e-06,1.0,12.311344146728516,0.004259191453456879,0.004259236671554764,0.004259236671554759,0.004259237088263035,1.0,1.4325504302978516,21.013505935668945,4.96863776788814e-06,58.68265754193999
6900,900,stable32,4.416677256813273e-06,4.507088856013968e-06,4.507088856014588e-06,4.507088760874467e-06,1.0,12.353878021240234,0.0035908566787838936,0.0035909032637669526,0.003590903263766946,0.0035909030120819807,1.0,1.45442533493042,21.23250961303711,4.509655809670221e-06,65.49306999985129
7000,1000,stable32,4.30241743742954e-06,4.390223607142395e-06,4.390223607145508e-06,4.390224148664856e-06,1.0,12.444173812866211,0.0031935861334204674,0.003193632536459439,0.003193632536459434,0.0031936324667185545,1.0,1.48777437210083,21.322160720825195,4.39046198152937e-06,72.43683541705832
7100,1100,stable32,4.212870408082381e-06,4.303735187568045e-06,4.303735187570126e-06,4.303735295252409e-06,1.0,12.530662536621094,0.0028740561101585627,0.0028741032670647816,0.0028741032670647764,0.0028741031419485807,1.0,1.3812732696533203,21.1666316986084,4.3056711547251325e-06,80.14157954207622
7200,1200,stable32,4.023630481242435e-06,4.11146583888064e-06,4.111465838875288e-06,4.111465841560857e-06,1.0,12.626359939575195,0.0025725984014570713,0.002572648816304163,0.0025726488163041582,0.0025726486928761005,1.0,1.3755760192871094,21.097681045532227,4.113274371775333e-06,87.27715429197997
7300,1300,stable32,3.913977252523182e-06,4.000686227825436e-06,4.000686227828456e-06,4.0006862036534585e-06,1.0,12.678949356079102,0.002326373476535082,0.0023264234082614986,0.002326423408261495,0.002326423302292824,1.0,1.482388973236084,21.00468635559082,4.001407887699315e-06,94.22892783302814
7400,1400,stable32,3.823497081612004e-06,3.911061286917165e-06,3.911061286919481e-06,3.911061412509298e-06,1.0,12.70801830291748,0.002121630823239684,0.002121680931474989,0.0021216809314749886,0.0021216808818280697,1.0,1.5867247581481934,21.05486488342285,3.912054125976283e-06,100.90358174988069
7500,1500,stable32,3.7157115002628416e-06,3.8032365769145965e-06,3.80323657690942e-06,3.8032369502616348e-06,1.0,12.696969032287598,0.001954641891643405,0.001954691079305933,0.001954691079305938,0.0019546912517398596,1.0,1.6012601852416992,21.10952377319336,3.8038799630157882e-06,107.867741541937
7600,1600,stable32,3.638210273493314e-06,3.7273622261473143e-06,3.7273622261439038e-06,3.7273623547662282e-06,1.0,12.698983192443848,0.0018117089057341218,0.0018117597719062792,0.001811759771906282,0.0018117596628144383,1.0,1.5990681648254395,21.14072036743164,3.728066531039076e-06,114.53204141696915
7700,1700,stable32,3.578263203962706e-06,3.6682260605287256e-06,3.6682260605258977e-06,3.668226327135926e-06,1.0,12.682073593139648,0.0016894445288926363,0.0016894951440187158,0.0016894951440187148,0.0016894952859729528,1.0,1.655923843383789,21.118375778198242,3.6687933970824815e-06,121.12796429195441
