mask,hidden_post,embeddings_post,readout_post,train_loss,train_loss64,train_accuracy,test_loss,test_loss64,test_accuracy,native_fullbatch_train_loss,native_fullbatch_train_accuracy,maximum_absolute_logit
000,0,0,0,0.1450318992137909,0.14503193731141323,0.9877284595300261,0.35633113980293274,0.35633117952208876,0.9134131334601185,0.1450318992137909,0.9877284595300261,525.2711181640625
001,0,0,1,11.543447494506836,11.54344739283977,0.6903394255874674,12.375402450561523,12.375401816133694,0.6675243315807138,11.543447494506836,0.6903394255874674,560.03515625
010,0,1,0,0.07181580364704132,0.07181584475184562,0.9906005221932115,0.1377435326576233,0.13774357505863744,0.9821009061416266,0.07181580364704132,0.9906005221932115,514.5086669921875
011,0,1,1,11.50869369506836,11.508694717755539,0.6966057441253264,12.3646879196167,12.364687870756736,0.6598053473542902,11.50869369506836,0.6966057441253264,552.9334106445312
100,1,0,0,0.09857141226530075,0.09857144317132137,0.9906005221932115,0.1760077327489853,0.17600779798167188,0.9682291084013872,0.09857141226530075,0.9906005221932115,511.4171142578125
101,1,0,1,11.123388290405273,11.123390450505285,0.6942558746736293,11.943047523498535,11.94304750769208,0.6735652757579148,11.123388290405273,0.6942558746736293,546.46044921875
110,1,1,0,0.054692283272743225,0.054692326358720754,0.9906005221932115,0.10054070502519608,0.10054075044739039,0.98657567960622,0.054692283272743225,0.9906005221932115,500.8534240722656
111,1,1,1,11.152029991149902,11.152028644952463,0.7007832898172324,11.9931640625,11.993163407272103,0.66327329678935,11.152029991149902,0.7007832898172324,539.8294677734375
