cohort,seed,checkpoint,method,fit,regularization,validation_cross_entropy,converged,status,message,iterations,function_evaluations,iteration_limit,function_evaluation_limit,initial_objective,final_objective,gradient_infinity_norm,gradient_l2_norm
prospective_cpu,1,failed,cv_selected,candidate,1e-06,42.19919677085858,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,462,480,500,1500,4.727387818712339,0.06171242322810005,9.594325616309789e-08,2.128898718268007e-06
prospective_cpu,1,failed,cv_selected,candidate,0.0001,12.258075500679158,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,117,122,500,1500,4.727387818712339,0.8026009848851321,5.8498292775238116e-08,1.452879601551674e-06
prospective_cpu,1,failed,cv_selected,candidate,0.01,4.394334343127738,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,20,500,1500,4.727387818712339,3.206406386832533,3.9785631657067444e-07,3.0485608932492045e-06
prospective_cpu,1,failed,cv_selected,refit,0.01,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,17,1000,3000,4.72738781871234,3.388037756164045,1.9779442504637467e-07,2.331113098637022e-06
prospective_cpu,1,previous,unregularized_control,candidate,0.0,0.00011470026104808805,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,20,500,1500,4.727387818712339,7.606854891588892e-07,8.437055542396251e-08,7.606160854467073e-07
prospective_cpu,1,previous,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,20,1000,3000,4.72738781871234,7.340260445433708e-07,7.848069198939027e-08,7.153510560029723e-07
prospective_cpu,1,failed,unregularized_control,candidate,0.0,344.33068234204836,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,64,69,500,1500,4.727387818712339,1.3460006348053205e-06,7.48935583522089e-08,8.590837697556784e-07
prospective_cpu,1,failed,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,130,138,1000,3000,4.72738781871234,5.8126793378268255e-06,9.631807887435318e-08,1.740792686077852e-06
prospective_cpu,2,previous,cv_selected,candidate,0.0,1.4761642543671114e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,18,500,1500,4.727387818712339,1.3185129487899217e-06,5.2960496963519074e-08,1.2929367068883647e-06
prospective_cpu,2,previous,cv_selected,candidate,1e-08,1.5940416565558576e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,18,500,1500,4.727387818712339,3.138584572208936e-06,4.9908472107888324e-08,1.2145080739925582e-06
prospective_cpu,2,previous,cv_selected,candidate,1e-06,1.8585669438827457e-05,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,16,500,1500,4.727387818712339,0.0001444063113741528,6.156742300344172e-08,1.2672507029994288e-06
prospective_cpu,2,previous,cv_selected,candidate,0.0001,0.0012097028639445906,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,18,500,1500,4.727387818712339,0.007944496742756248,5.096329649810521e-08,7.351865480700445e-07
prospective_cpu,2,previous,cv_selected,candidate,0.01,0.07781399882214739,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,18,500,1500,4.727387818712339,0.34638868158803926,1.1450467180223849e-07,6.279063678244409e-07
prospective_cpu,2,previous,cv_selected,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,17,1000,3000,4.72738781871234,2.634046365368588e-06,9.799419342697612e-08,2.5793646721900297e-06
prospective_cpu,2,failed,cv_selected,candidate,0.0,213.23671769207405,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,38,40,500,1500,4.727387818712339,9.924892523184473e-07,7.578534868734237e-08,8.229016710959683e-07
prospective_cpu,2,failed,cv_selected,candidate,1e-08,18.125424722971925,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,201,207,500,1500,4.727387818712339,0.0005253260660946369,8.466933018009094e-08,1.615441962326649e-06
prospective_cpu,2,failed,cv_selected,candidate,1e-06,10.535910536128538,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,233,238,500,1500,4.727387818712339,0.0198865435263401,9.238525197612593e-08,1.4388021776279818e-06
prospective_cpu,2,failed,cv_selected,candidate,0.0001,4.1059408086756894,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,115,119,500,1500,4.727387818712339,0.3860303950593308,9.764071019015318e-08,1.9180373166338665e-06
prospective_cpu,2,failed,cv_selected,candidate,0.01,2.1346532712621293,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,22,500,1500,4.727387818712339,1.987189350165386,1.6837254356331585e-07,1.1362522226683905e-06
prospective_cpu,2,failed,cv_selected,refit,0.01,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,21,1000,3000,4.72738781871234,2.056484404908994,1.1269444765305697e-07,2.1204489447039942e-06
prospective_cpu,2,previous,unregularized_control,candidate,0.0,1.4761642543671114e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,18,500,1500,4.727387818712339,1.3185129487899217e-06,5.2960496963519074e-08,1.2929367068883647e-06
prospective_cpu,2,previous,unregularized_control,candidate,1e-08,1.5940416565558576e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,18,500,1500,4.727387818712339,3.138584572208936e-06,4.9908472107888324e-08,1.2145080739925582e-06
