cohort,seed,mask,updated_groups,train_correct,train_total,train_accuracy,train_accurate_ce32,train_accurate_ce64,test_correct,test_total,test_accuracy,test_accurate_ce32,test_accurate_ce64
historical_cpu_pilot,0,000,,3672,3830,0.9587467362924282,0.3420677185058594,0.34206772902699933,8600,8939,0.9620762948875713,0.32198044657707214,0.32198044528990627
historical_cpu_pilot,0,001,readout,3672,3830,0.9587467362924282,0.3381384611129761,0.3381384554261955,8600,8939,0.9620762948875713,0.3205598294734955,0.32055983324513376
historical_cpu_pilot,0,010,hidden,3696,3830,0.9650130548302872,0.13595238327980042,0.135952380805009,8618,8939,0.9640899429466383,0.20982970297336578,0.2098297125164275
historical_cpu_pilot,0,011,"hidden,readout",3698,3830,0.9655352480417755,0.13392521440982819,0.1339252198467,8618,8939,0.9640899429466383,0.2091996818780899,0.20919968404957714
historical_cpu_pilot,0,100,embeddings,44,3830,0.011488250652741514,6.7289042472839355,6.728904216477694,84,8939,0.009397024275646046,6.776531219482422,6.776531497325738
historical_cpu_pilot,0,101,"embeddings,readout",43,3830,0.011227154046997388,6.731334686279297,6.73133456658052,83,8939,0.00928515493903121,6.778814315795898,6.778813825530487
historical_cpu_pilot,0,110,"embeddings,hidden",46,3830,0.012010443864229765,6.808042526245117,6.80804206081796,80,8939,0.00894954692918671,6.858922958374023,6.858923060284487
historical_cpu_pilot,0,111,"embeddings,hidden,readout",45,3830,0.01174934725848564,6.8109917640686035,6.81099142404775,79,8939,0.008837677592571876,6.861717700958252,6.861717637751243
prospective_cpu,1,000,,3812,3830,0.9953002610966057,0.009139553643763065,0.009139553230838763,8912,8939,0.9969795279113994,0.005424331873655319,0.005424331620984251
prospective_cpu,1,001,readout,3812,3830,0.9953002610966057,0.008632970973849297,0.008632970015170287,8913,8939,0.9970913972480143,0.005179715808480978,0.0051797159799361735
prospective_cpu,1,010,hidden,3830,3830,1.0,2.979752389364876e-05,2.9797523200272724e-05,8939,8939,1.0,3.624728196882643e-05,3.6247283180043366e-05
prospective_cpu,1,011,"hidden,readout",3830,3830,1.0,2.9449503927025944e-05,2.944950599874135e-05,8939,8939,1.0,3.5890752769773826e-05,3.589075200561738e-05
prospective_cpu,1,100,embeddings,42,3830,0.010966057441253264,5.868673324584961,5.868673462149251,144,8939,0.01610918447253608,5.881834030151367,5.881834122683906
prospective_cpu,1,101,"embeddings,readout",42,3830,0.010966057441253264,5.869481563568115,5.86948228643761,144,8939,0.01610918447253608,5.882656097412109,5.882655536925888
prospective_cpu,1,110,"embeddings,hidden",41,3830,0.010704960835509139,5.856667995452881,5.856667932069134,146,8939,0.016332923145765746,5.869781494140625,5.869781517571053
prospective_cpu,1,111,"embeddings,hidden,readout",41,3830,0.010704960835509139,5.857538223266602,5.857538421743363,146,8939,0.016332923145765746,5.870660781860352,5.870660928427615
