seed,step,reference_step,offset,native_train_accuracy,native_heldout_accuracy,native_train_loss64,native_heldout_loss64,backward_centered_heldout_error,forward_map_condition,backward_map_condition,orthogonal_repair_accuracy,backward_repair_accuracy,old_head_accuracy,basis_predicted_accuracy,residual_only_accuracy,readout_change_only_accuracy,basis_argmax_agreement,basis_actual_flip_recall,basis_norm_over_delta,residual_norm_over_delta,normalized_cross_term,decomposition_identity_error_max_abs
4,15860,16050,-190,1.0,1.0,1.7627176818122372e-07,0.0002841422128273969,0.2246234983431648,461.28517750362244,563.8184877516417,1.0,1.0,0.15505090054815976,1.0,1.0,0.24857366595816086,1.0,,0.8500675416696974,0.5266976195091883,-2.5207797008233053e-05,5.442313266712517e-13
4,15870,16050,-180,1.0,1.0,1.4093721573609267e-07,0.00027805087223550204,0.21505301324819243,427.24955552545043,507.9572222893355,1.0,1.0,0.17060073833762165,1.0,1.0,0.28694484841704887,1.0,,0.8444027938259355,0.5381781586633785,-0.0026518086833495465,5.054845431118338e-13
4,15880,16050,-170,1.0,1.0,1.4136868783153317e-07,0.00028676885037512423,0.2025623298606547,381.6750660514359,443.9419497089245,1.0,1.0,0.18749300816646158,1.0,1.0,0.32352612149009957,1.0,,0.8413042980695284,0.54450487819607,-0.004278484329578681,5.205835762467359e-13
4,15890,16050,-160,1.0,1.0,1.5671364535507485e-07,0.00031245201303055993,0.1893649677149999,332.9911260116098,382.46215126513584,1.0,1.0,0.21210426222172502,1.0,1.0,0.3616735652757579,1.0,,0.8414283132552043,0.544557495779539,-0.004544472557181405,5.329070518200751e-13
4,15900,16050,-150,1.0,1.0,1.623247110323041e-07,0.00033162072332933986,0.17653931217526786,289.8393996483464,328.5449290903729,1.0,1.0,0.239735988365589,1.0,1.0,0.3995972703881866,1.0,,0.8437492810028092,0.5410119956425659,-0.004606828621908784,5.555556015224283e-13
4,15910,16050,-140,1.0,1.0,1.6620867559130056e-07,0.0003343871994685501,0.16405580305277773,252.66044385004378,281.5098319890419,1.0,1.0,0.2748629600626468,1.0,1.0,0.450497818547936,1.0,,0.8467899428449358,0.5361899427704709,-0.0045528620315310585,6.032396804300788e-13
4,15920,16050,-130,1.0,1.0,1.696457886897094e-07,0.00033934412406748263,0.15196847593054413,219.59219793440346,241.08610711805997,1.0,1.0,0.3169258306298244,1.0,1.0,0.5007271506879964,1.0,,0.849046696190311,0.5325857307125866,-0.0045278528703420915,5.780514955588956e-13
4,15930,16050,-120,1.0,1.0,1.7321791629764756e-07,0.00034651896412725425,0.14022990021479373,187.86107107993237,204.49429772918828,1.0,1.0,0.3674907707797293,1.0,1.0,0.5545363015997316,1.0,,0.8504709100515379,0.5302209516848814,-0.004435026449512296,6.837863608666339e-13
4,15940,16050,-110,1.0,1.0,1.7581107702777294e-07,0.0003549414275995918,0.12867727117108238,159.5510741346984,171.61307021158788,1.0,1.0,0.4348361114218593,1.0,1.0,0.6216579035686318,1.0,,0.8526597972839884,0.5264966199334133,-0.004227420705681891,9.140466161738914e-13
4,15950,16050,-100,1.0,1.0,1.7876720354408306e-07,0.00035117270442858444,0.11733659577932035,133.6668599738157,141.69378648884648,1.0,1.0,0.5102360443002573,1.0,1.0,0.6742364917776038,1.0,,0.8546838915103271,0.522851638747898,-0.0038583905485989924,8.454348332520567e-13
4,15960,16050,-90,1.0,1.0,1.8112530462929182e-07,0.00035258574048809113,0.10619561292843652,110.99961685931987,115.9663886572377,1.0,1.0,0.6186374314800314,1.0,1.0,0.7400156617071261,1.0,,0.8551509150392089,0.5228271843525109,-0.0046313521903704,8.988365607365267e-13
4,15970,16050,-80,1.0,1.0,1.8433182359449604e-07,0.0003683798070747916,0.09521677570512875,91.66488056715008,94.20229462327065,1.0,1.0,0.735988365588992,1.0,1.0,0.8113882984673901,1.0,,0.8593340228673295,0.5159286772000695,-0.0046373628147607805,9.76829728216444e-13
4,15980,16050,-70,1.0,1.0,1.8709452502733687e-07,0.0003624267839641798,0.0843047096079417,75.50292732061382,76.38209801180419,1.0,1.0,0.8462915314912183,1.0,1.0,0.886228884662714,1.0,,0.8557307406352253,0.5219994606202578,-0.00475853735595084,1.048633402334076e-12
4,15990,16050,-60,1.0,1.0,1.9034001932186226e-07,0.0003467202449515934,0.07346089727869388,61.9023918244158,61.863850283394775,1.0,1.0,0.9235932430920685,1.0,1.0,0.9414923369504419,1.0,,0.8609681221251421,0.5141331188328274,-0.005598971196463428,1.0522138715884921e-12
4,16000,16050,-50,1.0,1.0,1.9302256296581687e-07,0.00034219105333613677,0.06274629175137415,50.28606847370982,49.75727350898803,1.0,1.0,0.9755006152813513,1.0,1.0,0.9800872580825596,1.0,,0.861331872414257,0.5149124445707642,-0.007027420010489225,9.945377854592152e-13
4,16010,16050,-40,1.0,1.0,1.9618612579974e-07,0.0003537562894740678,0.052225984790672114,40.4381260115458,39.75645081718675,1.0,1.0,0.9941827944960286,1.0,1.0,0.9961964425550957,1.0,,0.8697643543384279,0.5008608813834244,-0.007351654577923885,1.009511918503847e-12
4,16020,16050,-30,1.0,1.0,2.0035000286081973e-07,0.0003437181163771074,0.04186080035753497,32.14047399302143,31.522507840962646,1.0,1.0,0.999328783980311,1.0,1.0,0.999328783980311,1.0,,0.890956210703401,0.46228593897287773,-0.007511258762998021,1.003530591958679e-12
4,16030,16050,-20,1.0,1.0,2.060036868407395e-07,0.0003434653723171414,0.031191613318220745,23.305296536702407,22.913970136468464,1.0,1.0,0.9998881306633851,1.0,1.0,1.0,1.0,,0.9104638068752162,0.4228707842396893,-0.007764043793199939,1.0185047250033108e-12
4,16040,16050,-10,1.0,1.0,2.157645374132645e-07,0.0003538629986721772,0.018341527828519714,11.25078683169326,11.151163743111585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9519906737471047,0.3142788061969531,-0.005057410926047446,1.0434153541183377e-12
4,16050,16050,0,1.0,1.0,2.399834865324994e-07,0.00037773875854199156,3.4484765199146846e-14,1.0000000000003872,1.0000000000003872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,7.638655479607246e-13
