step,local_step,arm,train_loss,train_loss64,train_accurate_loss64,train_objective_loss,train_accuracy,train_minimum_margin,test_loss,test_loss64,test_accurate_loss64,test_objective_loss,test_accuracy,test_minimum_margin,max_abs_logit,last_training_loss,elapsed_seconds
16900,0,original32,2.0701330072370183e-07,2.635527914191145e-07,2.635527914211663e-07,2.0701330072370183e-07,1.0,14.666511535644531,0.005950882565230131,0.005950930777169097,0.005950930777169106,0.005950882565230131,0.9991050453070813,-3.2689781188964844,83.8866958618164,,0.10443799989297986
16901,1,original32,2.0536366207579704e-07,2.634874296145693e-07,2.634874295959949e-07,2.0536366207579704e-07,1.0,14.665218353271484,0.005975982639938593,0.0059760313966201505,0.005976031396620156,0.005975982639938593,0.9991050453070813,-3.285961151123047,84.13436889648438,2.0701330072370183e-07,0.3118451659101993
16902,2,original32,2.0667091860104847e-07,2.6348096222570736e-07,2.634809622336151e-07,2.0667091860104847e-07,1.0,14.663558959960938,0.006001087371259928,0.006001135013241257,0.00600113501324126,0.006001087371259928,0.9991050453070813,-3.3043289184570312,84.38697052001953,2.0536366207579704e-07,0.5401620829943568
16903,3,original32,2.0663979682922218e-07,2.6343666002116824e-07,2.6343666002405424e-07,2.0663979682922218e-07,1.0,14.660762786865234,0.006028884556144476,0.006028934368703844,0.0060289343687038345,0.006028884556144476,0.9991050453070813,-3.3108139038085938,84.63082122802734,2.0667091860104847e-07,0.7429937499109656
16904,4,original32,2.072934250918479e-07,2.633972526142529e-07,2.63397252616479e-07,2.072934250918479e-07,1.0,14.661346435546875,0.006055029109120369,0.006055076392199483,0.006055076392199481,0.006055029109120369,0.9991050453070813,-3.3178863525390625,84.88318634033203,2.0663979682922218e-07,0.9458198328502476
16905,5,original32,2.0583054549661028e-07,2.633251505344291e-07,2.6332515054438664e-07,2.0583054549661028e-07,1.0,14.661443710327148,0.006082107312977314,0.0060821554091760035,0.006082155409176,0.006082107312977314,0.9991050453070813,-3.33343505859375,85.13115692138672,2.072934250918479e-07,1.1425543329678476
16906,6,original32,2.0657753907471488e-07,2.6329253951215235e-07,2.6329253950876385e-07,2.0657753907471488e-07,1.0,14.660585403442383,0.006109165493398905,0.006109212323740835,0.006109212323740834,0.006109165493398905,0.9991050453070813,-3.3444557189941406,85.38719940185547,2.0583054549661028e-07,1.3392258328385651
