step,local_step,train_loss,train_accuracy,heldout_measured,test_loss,test_loss64,test_accuracy,train_below_0_90,joint_failure,elapsed_seconds
6000,0,7.220131465146551e-06,1.0,True,0.027278129011392593,0.02727816639830095,0.9984338292873923,False,False,0.02911070897243917
6002,2,7.216894573502941e-06,1.0,False,,,,False,False,0.23779733409173787
