start_step,end_step,updates,train_states,test_evaluations,first_joint_failure_step,minimum_train_accuracy,minimum_measured_test_accuracy,train_below90_states,test_below90_evaluations,joint_below90_states,test_below95_evaluations,scheduled_test_below95_evaluations,off_grid_triggered_test_evaluations,seed,name,joint_failure,minimum_test_step,final_train_accuracy,final_test_accuracy,diagnostic_records,initial_train_feature_mean_norm,final_train_feature_mean_norm,initial_full_grid_feature_mean_norm,final_full_grid_feature_mean_norm,maximum_sampled_train_feature_mean_norm,maximum_sampled_full_grid_feature_mean_norm,initial_ce_relative_error,final_ce_relative_error,maximum_sampled_ce_relative_error,trajectory_sha256,diagnostics_sha256
6000,100000,94000,94001,1033,18767,0.009399477806788513,0.008613938919342208,92,98,92,105,13,92,0,seed0,True,75947,1.0,1.0,95,309.72137124595935,292.54413716657945,310.83662739488386,292.58327832833805,4321.663789071183,4282.482040727593,0.014395340944676836,0.0003021951836535149,0.38558038852338145,73f2be5fdbdd2f1742756bf09b9504df199e6e656c9bc87128a391cacba20025,0f68d058159029fd4d559a05234049648e68e3727da50d15747864a9c21f76e2
6000,100000,94000,94001,1009,18476,0.050130548302872065,0.0472088600514599,69,81,69,88,20,68,1,seed1,True,72235,1.0,1.0,95,458.24624982711555,507.5720451032778,459.4641082163219,505.28622949656284,8815.549427726226,8783.760263122436,0.015004597875948539,0.0017987735202823023,0.4627346053933505,0601917b2f6a30c4b8adcf5c308f1f8f06dffa3a76d5dc7145b2d701d8ffe28d,d950b1916b1b28582eefd4448a82e7d2d93d4004bda426e1a726348f66258aea
6000,100000,94000,94001,1062,19439,0.006788511749347258,0.00894954692918671,123,128,123,135,14,121,2,seed2,True,99257,1.0,0.996643919901555,95,354.2010532859103,1104.38187687793,355.1103588602996,1096.4717549827421,8132.0896915361145,8100.355351735655,0.009673598312010107,0.22836675616161115,0.36584752852790187,3022f4a15d54d21e73644a6a4e917662e17c2995d324107a6600e59442ad8d82,fa639a349b68902781b41c5bfbed0b1d316efb3ef2d10c95224bf49617e29aef
6000,100000,94000,94001,971,17041,0.07232375979112271,0.04899876943729724,30,40,30,52,22,30,3,seed3,True,35606,1.0,0.9988813066338517,95,410.37515349110134,962.517804716838,411.8610883147029,955.8153653316846,8915.071321568505,8878.475795525714,0.022284445914623512,0.05408299847662195,0.48431064273907737,7e53d706ed0928ef9f45f4f742457798380254ed6281a5ccdecec9193c641bcc,386248c01447f3eede20088e5dc0c26b07c0996bb9ec77ac91204fcd0d3ee027
6000,100000,94000,94001,1031,17578,0.007571801566579634,0.008166461572882873,91,95,91,103,13,90,4,seed4,True,75885,1.0,1.0,95,433.39034046465736,447.4391698662071,434.115842818154,445.09757580322804,3607.427554636774,3596.0047401640572,0.017484591983868713,0.000268405317550455,0.6364516895340115,4443157f654b8bf58d57eaac2796bcc041ba66f6b4c2c6278c70f97466a5d1a0,e14b0c8eac01a552567007fb2b3c2f176ceae571328e478f480ea7c1c5489569
