step,train_loss,train_accuracy,test_loss,test_accuracy,heldout_measured,post_grok,event_trigger,elapsed_seconds
0,5.095478057861328,0.007310704960835509,5.103884220123291,0.00894954692918671,True,False,False,0.09310537483543158
10,4.448168754577637,0.04751958224543081,,,False,False,False,0.6313554998487234
20,3.917973518371582,0.1010443864229765,,,False,False,False,1.1659327908419073
30,3.209038734436035,0.20861618798955614,,,False,False,False,1.6995739578269422
40,2.2959864139556885,0.42689295039164493,,,False,False,False,2.279864457901567
50,1.2885009050369263,0.731331592689295,,,False,False,False,2.7907431658823043
60,0.34482666850090027,0.9848563968668407,,,False,False,False,3.311558957910165
70,0.038788262754678726,1.0,,,False,False,False,3.8220058328006417
80,0.010486016049981117,0.9994778067885117,,,False,False,False,4.364025665912777
90,0.001188991591334343,1.0,,,False,False,False,4.904767374973744
100,0.04078293219208717,0.9921671018276762,43.97758102416992,0.0034679494350598502,True,False,False,5.474746124818921
110,0.009749410673975945,0.9981723237597911,,,False,False,False,6.201726124854758
120,0.011680453084409237,0.9984334203655353,,,False,False,False,6.973600540775806
130,0.018238171935081482,0.9976501305483029,,,False,False,False,7.633132832823321
140,0.010346571914851665,0.9971279373368146,,,False,False,False,8.286959749879315
150,0.008613983169198036,0.9989556135770234,,,False,False,False,9.047416040906683
160,0.011694483458995819,0.9976501305483029,,,False,False,False,9.772359582828358
170,0.010695576667785645,0.997911227154047,,,False,False,False,10.24802254093811
180,0.0038549669552594423,1.0,,,False,False,False,10.743820582982153
190,0.0023317933082580566,1.0,,,False,False,False,11.474878165870905
200,0.0037439875304698944,0.9994778067885117,42.708133697509766,0.004922250811052691,True,False,False,12.172272374853492
210,0.009443615563213825,0.9976501305483029,,,False,False,False,12.642472374951467
220,0.011499660089612007,0.997911227154047,,,False,False,False,13.149229374947026
230,0.006236845161765814,0.9994778067885117,,,False,False,False,13.627868582960218
240,0.006261378992348909,0.9992167101827676,,,False,False,False,14.099213415989652
250,0.0096345329657197,0.997911227154047,,,False,False,False,14.657649374799803
