local_step,step,train_accuracy,train_loss,heldout_measured,test_accuracy,test_cross_entropy,test_minimum_margin,test_centered_healthy_logit_relative_error,elapsed_seconds
0,17494,0.4825065274151436,2.8582468032836914,True,0.3187157400156617,6.650341687333141,-52.6754150390625,2.0563459605652565,0.03883404191583395
1,17495,0.9848563968668407,0.1533869504928589,False,,,,,0.257711875019595
2,17496,0.8798955613577023,0.6264588236808777,True,0.7564604541895067,1.8053671484708982,-31.35272216796875,2.0291034501521623,0.34845799999311566
3,17497,0.9402088772845953,0.43236008286476135,False,,,,,0.5324888750910759
4,17498,0.9590078328981724,0.4217551648616791,False,,,,,0.6203147920314223
5,17499,0.9631853785900784,0.40676984190940857,False,,,,,0.7148099578917027
6,17500,0.9655352480417755,0.35297906398773193,False,,,,,0.8136402498930693
7,17501,0.9725848563968669,0.2652473747730255,False,,,,,0.9145382079295814
8,17502,0.9806788511749347,0.1851569563150406,False,,,,,1.013806875096634
9,17503,0.9856396866840731,0.12350024282932281,False,,,,,1.1123321671038866
10,17504,0.9913838120104439,0.07446756958961487,True,0.873363910952008,1.071172151522212,-40.815582275390625,2.3969547697743145,1.2088190000504255
11,17505,0.9942558746736292,0.046583712100982666,False,,,,,1.4041287079453468
12,17506,0.9960835509138382,0.027561714872717857,False,,,,,1.5017002080567181
13,17507,0.9976501305483029,0.015750380232930183,False,,,,,1.6005793330259621
14,17508,0.9989556135770234,0.008833547122776508,False,,,,,1.7018176671117544
15,17509,0.9997389033942559,0.004734531044960022,False,,,,,1.8018939578905702
16,17510,0.9997389033942559,0.0031712977215647697,False,,,,,1.9037823749240488
17,17511,0.9997389033942559,0.0020812065340578556,False,,,,,2.0041939578950405
18,17512,1.0,0.0014011728344485164,False,,,,,2.105396958068013
19,17513,1.0,0.0012510259402915835,False,,,,,2.1956211670767516
20,17514,1.0,0.0011068132007494569,True,0.8764962523772234,0.904026340045154,-38.39759826660156,2.4751416368346923,2.2828490419778973
21,17515,1.0,0.001036550966091454,False,,,,,2.465731249889359
22,17516,1.0,0.0009485851624049246,False,,,,,2.5616392081137747
23,17517,1.0,0.0008170889923349023,False,,,,,2.662024833029136
24,17518,1.0,0.0007436992018483579,False,,,,,2.7626208749134094
25,17519,1.0,0.0006891703233122826,False,,,,,2.8514072499237955
26,17520,1.0,0.0006372895441018045,False,,,,,2.938671499956399
27,17521,1.0,0.0005972535582259297,False,,,,,3.0282753331121057
28,17522,1.0,0.0005574000533670187,False,,,,,3.121189041994512
29,17523,1.0,0.0005093272193334997,False,,,,,3.2183489580638707
30,17524,1.0,0.0004660197882913053,True,0.8657567960621994,0.9413748322434521,-45.29240417480469,2.5316019629638995,3.299826999893412
31,17525,1.0,0.0004385395150166005,False,,,,,3.4979553329758346
32,17526,1.0,0.00042482561548240483,False,,,,,3.603220999939367
33,17527,1.0,0.00041494134347885847,False,,,,,3.7049899171106517
34,17528,1.0,0.0003986181109212339,False,,,,,3.810687917051837
35,17529,1.0,0.0003784144064411521,False,,,,,3.912945667048916
36,17530,1.0,0.0003590574488043785,False,,,,,4.010577749926597
37,17531,1.0,0.0003373296349309385,False,,,,,4.112783583113924
38,17532,1.0,0.00031351138022728264,False,,,,,4.217190542025492
39,17533,1.0,0.0002936749078799039,False,,,,,4.297945958096534
40,17534,1.0,0.00027932782541029155,True,0.8578140731625461,0.9943709265452796,-46.1483154296875,2.512981803755414,4.375278874998912
41,17535,1.0,0.0002701714402064681,False,,,,,4.5429332500789315
42,17536,1.0,0.0002671331458259374,False,,,,,4.617447874974459
43,17537,1.0,0.00027038768166676164,False,,,,,4.692422542022541
44,17538,1.0,0.0002773654996417463,False,,,,,4.768262791913003
45,17539,1.0,0.0002852642792277038,False,,,,,4.8566673330497
46,17540,1.0,0.00029214550158940256,False,,,,,4.962084667058662
47,17541,1.0,0.00029715424170717597,False,,,,,5.063442500075325
48,17542,1.0,0.00029918141080997884,False,,,,,5.163843708112836
49,17543,1.0,0.0002971872454509139,False,,,,,5.263742208015174
50,17544,1.0,0.00029141444247215986,True,0.8449490994518403,1.0729764941124937,-44.34271240234375,2.4692545822918484,5.368175457930192
51,17545,1.0,0.0002835614432115108,False,,,,,5.605499542085454
52,17546,1.0,0.00027531280647963285,False,,,,,5.715811332920566
53,17547,1.0,0.0002679091412574053,False,,,,,5.820060708094388
54,17548,1.0,0.00026114267529919744,False,,,,,5.924334458075464
55,17549,1.0,0.00025484399520792067,False,,,,,6.031572374980897
56,17550,1.0,0.0002490301267243922,False,,,,,6.138643916929141
