run,step,checkpoint,train_loss,train_accuracy,test_loss,test_accuracy,full_accuracy,hidden_diagonal_power_fraction,hidden_non_dc_diagonal_power_fraction,attention_diagonal_power_fraction,mlp_diagonal_power_fraction,sum_explained_hidden_variance,aligned_logit_consistency,top_frequency_pairs,top_frequency_power_fraction,top_frequency_sufficiency_train_accuracy,top_frequency_sufficiency_test_accuracy,top_frequency_ablation_train_accuracy,top_frequency_ablation_test_accuracy,diagonal_sufficiency_train_accuracy,diagonal_sufficiency_test_accuracy,diagonal_ablation_train_accuracy,diagonal_ablation_test_accuracy,sum_centroid_train_accuracy,sum_centroid_test_accuracy
AdamW,0,checkpoints/adamw_seed_0/step_000000.pt,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,0.008144725114107132,0.9842348846823371,0.0002689714579665887,0.6548500791234245,0.9838307782067356,0.0002689361572265625,0.0,35|23|48|6|19,0.9842313643638558,0.007310704793781042,0.009508893825113773,0.011227154172956944,0.008502069860696793,0.007310704793781042,0.009508893825113773,0.010182767175137997,0.008725808002054691,0.007310704793781042,0.009508893825113773
AdamW,1000,checkpoints/adamw_seed_0/step_001000.pt,0.013883624225854874,1.0,17.026729583740234,0.0011186933843418956,0.30072832107543945,0.08027694844120163,0.008511705283536376,0.08845066552828806,0.41272424574809413,0.008511722087860107,0.0033728480339050293,11|5|1|18|13,0.07415486236064209,0.0362924300134182,0.03501510247588158,1.0,0.0010068240808323026,0.8765013217926025,0.8380131721496582,0.8788511753082275,0.0,0.8765013217926025,0.8380131721496582
AdamW,2000,checkpoints/adamw_seed_0/step_002000.pt,0.005979578942060471,1.0,18.047834396362305,0.0012305626878514886,0.3008066415786743,0.06362198491117364,0.00983706268242416,0.07644565528984576,0.36950975914445416,0.009837031364440918,0.004006326198577881,1|5|11|18|56,0.05644945579396636,0.04412532597780228,0.04430025815963745,1.0,0.0010068240808323026,0.9522193074226379,0.931983470916748,0.9067885279655457,0.00022373867977876216,0.9522193074226379,0.931983470916748
AdamW,3000,checkpoints/adamw_seed_0/step_003000.pt,0.002997141797095537,1.0,19.60112190246582,0.003020472126081586,0.30205968022346497,0.06342454313765965,0.01047184362444658,0.07686911761072315,0.34903666555349555,0.010471940040588379,0.004292905330657959,1|5|11|18|13,0.05587905842640199,0.062402088195085526,0.049110639840364456,1.0,0.0017899094382300973,0.9657963514328003,0.9514486789703369,0.8864229917526245,0.00011186933988938108,0.9657963514328003,0.9514486789703369
AdamW,4000,checkpoints/adamw_seed_0/step_004000.pt,0.0016418702434748411,1.0,21.030790328979492,0.003132341429591179,0.30213800072669983,0.06771462057744841,0.01096985242078361,0.08857469878309551,0.3394687055259109,0.010969817638397217,0.0045195817947387695,5|1|11|18|13,0.05997077812711037,0.062402088195085526,0.049110639840364456,1.0,0.0015661707147955894,0.9582245349884033,0.9420517086982727,0.8801566362380981,0.0,0.9582245349884033,0.9420517086982727
AdamW,5000,checkpoints/adamw_seed_0/step_005000.pt,0.0009390621562488377,1.0,22.216474533081055,0.003132341429591179,0.30213800072669983,0.06794889191678183,0.011342925559499175,0.10037053626312853,0.33393495223698044,0.011342883110046387,0.004751861095428467,5|1|11|18|15,0.06002574451542341,0.07780678570270538,0.06779281795024872,1.0,0.0017899094382300973,0.9582245349884033,0.9420517086982727,0.8812010288238525,0.00022373867977876216,0.9582245349884033,0.9420517086982727
AdamW,6000,checkpoints/adamw_seed_0/step_006000.pt,0.0005485130241140723,1.0,23.26161766052246,0.003132341429591179,0.30213800072669983,0.06592762224326044,0.011608049651716001,0.10718690671394501,0.3313506688764577,0.0116080641746521,0.004989206790924072,5|1|11|18|15,0.05790088982591817,0.08668407052755356,0.07663049548864365,1.0,0.0019017787417396903,0.9582245349884033,0.9420517086982727,0.8916448950767517,0.00022373867977876216,0.9582245349884033,0.9420517086982727
AdamW,7000,checkpoints/adamw_seed_0/step_007000.pt,0.00032390409614890814,1.0,24.26276397705078,0.0019017787417396903,0.3012765347957611,0.06738889114758118,0.011868435082558469,0.10998020185206141,0.3297711788781627,0.011868417263031006,0.005249321460723877,5|1|11|18|15,0.05934011954854633,0.08511749655008316,0.07730171084403992,1.0,0.0014543014112859964,0.9582245349884033,0.9420517086982727,0.8942558765411377,0.00022373867977876216,0.9582245349884033,0.9420517086982727
AdamW,8000,checkpoints/adamw_seed_0/step_008000.pt,0.00019294608500786126,1.0,25.175779342651367,0.002125517465174198,0.30143314599990845,0.07032470689327967,0.012179675254480164,0.11075280407883117,0.329438132131869,0.01217961311340332,0.005569100379943848,5|1|11|18|15,0.0622191496907724,0.08511749655008316,0.07730171084403992,1.0,0.0019017787417396903,0.9660574197769165,0.9513368606567383,0.8900783061981201,0.00022373867977876216,0.9660574197769165,0.9513368606567383
AdamW,9000,checkpoints/adamw_seed_0/step_009000.pt,0.00011567693582037464,1.0,26.094459533691406,0.003132341429591179,0.30213800072669983,0.07414478610801017,0.012410013829652424,0.11022477288364117,0.3297889683726737,0.012410104274749756,0.005844831466674805,5|1|18|11|15,0.06602575684183834,0.07493472844362259,0.06902337819337845,1.0,0.0019017787417396903,0.9597911238670349,0.9413804411888123,0.8911226987838745,0.00011186933988938108,0.9597911238670349,0.9413804411888123
AdamW,10000,checkpoints/adamw_seed_0/step_010000.pt,6.965201464481652e-05,1.0,26.951337814331055,0.00257299467921257,0.3017464280128479,0.07609314082941548,0.012682146441151182,0.10839063148186226,0.32993359747682893,0.012682199478149414,0.006184756755828857,5|1|18|15|11,0.06794495882112363,0.07493472844362259,0.06902337819337845,1.0,0.0014543014112859964,0.9678851366043091,0.9505537748336792,0.8934726119041443,0.0,0.9678851366043091,0.9505537748336792
