run,depth,regime,role,step,checkpoint,baseline_full_accuracy,requested_addition_power_threshold,control,replicate,selected_pair_count,source_pairs,control_pairs,target_selected_power,control_native_power,scale_factor,context,intervention_accuracy
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,0,2,"(20,20)/(93,93)|(44,44)/(69,69)","(8,8)/(105,105)|(10,10)/(103,103)",88267120.0,88267120.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,1,2,"(20,20)/(93,93)|(44,44)/(69,69)","(29,29)/(84,84)|(12,12)/(101,101)",88267120.0,67.68747615814209,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,1,2,"(20,20)/(93,93)|(44,44)/(69,69)","(14,14)/(99,99)|(3,3)/(110,110)",88267120.0,88267120.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,2,2,"(20,20)/(93,93)|(44,44)/(69,69)","(37,37)/(76,76)|(26,26)/(87,87)",88267120.0,149.365478515625,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,2,2,"(20,20)/(93,93)|(44,44)/(69,69)","(47,47)/(66,66)|(1,1)/(112,112)",88267120.0,88267120.0,1.0,addition_only,0.06194690242409706
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,3,2,"(20,20)/(93,93)|(44,44)/(69,69)","(33,33)/(80,80)|(36,36)/(77,77)",88267120.0,22768.736723184586,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,3,2,"(20,20)/(93,93)|(44,44)/(69,69)","(29,29)/(84,84)|(50,50)/(63,63)",88267120.0,88267120.0,1.0,addition_only,0.03539822995662689
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,4,2,"(20,20)/(93,93)|(44,44)/(69,69)","(27,27)/(86,86)|(11,11)/(102,102)",88267120.0,955.2841094732285,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,4,2,"(20,20)/(93,93)|(44,44)/(69,69)","(1,1)/(112,112)|(23,23)/(90,90)",88267120.0,88267120.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,5,2,"(20,20)/(93,93)|(44,44)/(69,69)","(12,12)/(101,101)|(21,21)/(92,92)",88267120.0,69.82925939559937,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,5,2,"(20,20)/(93,93)|(44,44)/(69,69)","(54,54)/(59,59)|(56,56)/(57,57)",88267120.0,88267120.0,1.0,addition_only,0.017699114978313446
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,6,2,"(20,20)/(93,93)|(44,44)/(69,69)","(15,15)/(98,98)|(43,43)/(70,70)",88267120.0,2.4725118279457092,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,6,2,"(20,20)/(93,93)|(44,44)/(69,69)","(55,55)/(58,58)|(53,53)/(60,60)",88267120.0,88267120.0,1.0,addition_only,0.02654867246747017
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,7,2,"(20,20)/(93,93)|(44,44)/(69,69)","(48,48)/(65,65)|(27,27)/(86,86)",88267120.0,955.6439123153687,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,7,2,"(20,20)/(93,93)|(44,44)/(69,69)","(28,28)/(85,85)|(51,51)/(62,62)",88267120.0,88267120.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,8,2,"(20,20)/(93,93)|(44,44)/(69,69)","(52,52)/(61,61)|(21,21)/(92,92)",88267120.0,11.802824974060059,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,8,2,"(20,20)/(93,93)|(44,44)/(69,69)","(48,48)/(65,65)|(43,43)/(70,70)",88267120.0,88267120.0,1.0,addition_only,0.02654867246747017
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,9,2,"(20,20)/(93,93)|(44,44)/(69,69)","(39,39)/(74,74)|(46,46)/(67,67)",88267120.0,85.56884860992432,1.0,addition_only,0.008849557489156723
