comparison_type,run,depth,regime,target_role,target_step,target_checkpoint,reference_role,reference_step,reference_checkpoint,hidden_source,readout_source,target_baseline_accuracy,reference_baseline_accuracy,readout_weight_cosine,full_hidden_spectral_power_cosine,intervention_accuracy
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,130000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_130000.pt,paired_trajectory,130000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_130000.pt,target_addition_only,reference_readout,0.9906805753707886,0.9487038850784302,0.6252753138542175,0.910873293876648,0.8495575189590454
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,130000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_130000.pt,paired_trajectory,130000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_130000.pt,reference_addition_only,target_readout,0.9906805753707886,0.9487038850784302,0.6252753138542175,0.910873293876648,0.9646017551422119
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,130000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_130000.pt,paired_trajectory,130000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_130000.pt,reference_addition_only,reference_readout,0.9906805753707886,0.9487038850784302,0.6252753138542175,0.910873293876648,1.0
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,target_full,target_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,0.9847286343574524
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,target_full,reference_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,0.4588456451892853
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,reference_full,target_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,0.1684548556804657
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,reference_full,reference_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,0.9804996252059937
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,target_addition_only,target_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,1.0
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,target_addition_only,reference_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,0.5575221180915833
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,reference_addition_only,target_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,0.20353981852531433
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,reference_addition_only,reference_readout,0.9847286343574524,0.9804996252059937,0.2463202178478241,0.832567036151886,1.0
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,target_full,target_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,0.9804996252059937
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,target_full,reference_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,0.1684548556804657
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,reference_full,target_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,0.4588456451892853
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,reference_full,reference_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,0.9847286343574524
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,target_addition_only,target_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,1.0
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,target_addition_only,reference_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,0.20353981852531433
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,reference_addition_only,target_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,0.5575221180915833
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,paired_trajectory,140000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,reference_addition_only,reference_readout,0.9804996252059937,0.9847286343574524,0.2463202178478241,0.832567036151886,1.0
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_150000.pt,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_150000.pt,target_full,target_readout,0.8120447993278503,0.9810478687286377,0.07169293612241745,0.8168336153030396,0.8120447993278503
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_150000.pt,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_150000.pt,target_full,reference_readout,0.8120447993278503,0.9810478687286377,0.07169293612241745,0.8168336153030396,0.022241365164518356
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_150000.pt,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_150000.pt,reference_full,target_readout,0.8120447993278503,0.9810478687286377,0.07169293612241745,0.8168336153030396,0.028036652132868767
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_150000.pt,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_150000.pt,reference_full,reference_readout,0.8120447993278503,0.9810478687286377,0.07169293612241745,0.8168336153030396,0.9810478687286377
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_150000.pt,paired_trajectory,150000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_150000.pt,target_addition_only,target_readout,0.8120447993278503,0.9810478687286377,0.07169293612241745,0.8168336153030396,1.0
