step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,unembedding_learning_rate
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0.00025
100,2.840491533279419,0.275195837020874,7.499929904937744,0.0,30.034591579975956,115.88170368006459,6.660754680633545,0.25345310848072644,0.02746947935173422,0.18878233432769775,0.30006882402347784,0.005334202665835619,0,0.00025
200,0.02027933858335018,1.0,22.94221305847168,0.00022373867977876216,47.46826769741115,110.72137735262368,7.994176387786865,0.11407297816542786,0.017108632725966938,0.023635653778910637,0.29855370966754907,0.004908976145088673,0,0.00025
300,2.669289074219705e-07,1.0,59.61891555786133,0.0007830853573977947,67.88021389711446,100.44753176077947,7.863971710205078,4.657815120115738e-06,7.231535737264796e-07,5.467138180392794e-06,0.29667173665410174,0.004910571966320276,0,0.00025
400,5.602524555392563e-10,1.0,119.34053039550781,0.0014543014112859964,87.98200856557553,90.8842875213896,7.669808864593506,1.1773041553104316e-07,2.3541964802272687e-08,1.8057880879496224e-07,0.28540338534916626,0.004654570482671261,0,0.00025
500,0.0009146645315922797,1.0,97.0550537109375,0.0015661707147955894,85.93390819370275,82.29394299915941,7.496731281280518,0.04924809277436242,0.012607241082963584,0.05996337905526161,0.30072020557204865,0.004678596276789904,0,0.00025
600,1.4880271010042634e-05,1.0,74.29371643066406,0.002461125375702977,83.6588048372178,74.4636912852279,7.315164089202881,0.0002487407672161558,6.577302814451449e-05,0.00034565533860586584,0.30419835187775507,0.004804156720638275,0,0.00025
700,3.2712517139543706e-08,1.0,81.77348327636719,0.002013648161664605,90.25128643634339,67.37441033965496,7.134636402130127,6.142610798060327e-07,1.7302614847336935e-07,9.984487405745313e-07,0.30163180462934147,0.005147077143192291,0,0.00025
800,4.7851168346824124e-05,1.0,69.42822265625,0.002461125375702977,89.57967338252827,60.96401469992272,6.959690570831299,0.000944604029849363,0.0003840065636624955,0.0013375900452956557,0.30052379125143436,0.005232217721641064,0,0.00025
900,1.0007549462898169e-05,1.0,56.13499450683594,0.0008949547191150486,87.16736333657265,55.161713964001656,6.788300037384033,0.0005408350681518402,0.0004464555504012319,0.0003189326380379498,0.28165844434992454,0.004016150254756212,0,0.00025
1000,2.4495481198982816e-08,1.0,59.07649230957031,0.002125517465174198,91.2117966350307,49.9101035355699,6.620776176452637,3.177235409681322e-07,1.401232774981593e-07,5.607270736618375e-07,0.29756533661437606,0.004688107408583164,0,0.00025
1100,3.7661411766976016e-08,1.0,31.364938735961914,0.00413916539400816,89.7410940677768,45.15832764532621,6.457300186157227,3.6854984126772536e-07,1.9528970778775863e-07,1.1032526572307688e-06,0.2978518364412431,0.005335089284926653,0,0.00025
1200,2.287697498104535e-08,1.0,21.501754760742188,0.0063765523955225945,89.16443854711464,40.85895046810595,6.297861099243164,2.653107061631618e-07,1.4677155011500372e-07,2.6587395041133277e-06,0.3015096637659948,0.004781675059348345,0,0.00025
1300,1.7834702603636288e-08,1.0,23.948026657104492,0.006040944252163172,97.18905504263893,36.96890552957241,6.142361640930176,3.8137201102512895e-07,1.600527662340547e-07,6.493457021861104e-06,0.29745974107072815,0.004806144163012505,0,0.00025
1400,1.5251316654030234e-08,1.0,30.958415985107422,0.005257858894765377,107.2010422317886,33.44922014113884,5.990705966949463,6.234971425743455e-07,3.192808809466739e-07,1.2999571481486782e-05,0.28257746697681885,0.004248496610671282,0,0.00025
1500,1.665194737654474e-08,1.0,40.75790786743164,0.00413916539400816,117.29558311147152,30.264631623515623,5.84280252456665,9.393324461543581e-07,6.492859280810925e-07,2.168151877413038e-05,0.27821678587859217,0.004489697050303221,0,0.00025
1600,1.490893986044739e-08,1.0,50.633296966552734,0.005034120287746191,126.49672568407186,27.38324423037524,5.69856071472168,1.1999351642794434e-06,9.362404404769379e-07,3.0062490623095073e-05,0.27411426107118486,0.004552079830318689,0,0.00025
1700,0.026708068326115608,0.9958224296569824,39.448726654052734,0.005705336108803749,122.76848122632038,26.933808266907107,5.603386402130127,0.7826289815846484,0.23700803188180725,4.973903656005859,0.3023784495041699,0.005053834989666939,0,0.00025
1800,7.95003870734945e-05,1.0,39.52693176269531,0.005034120287746191,118.61854694541245,24.478409060528712,5.468531131744385,0.0007102328054269398,0.0004792850016268804,0.0023811855353415012,0.3012620218897342,0.00502231577411294,0,0.00025
1900,3.5582237956077734e-07,1.0,43.81024169921875,0.0068240296095609665,121.97424544928408,22.148553279520403,5.333519458770752,2.7732425449846086e-06,2.4667187595226545e-06,8.239624548878055e-06,0.3034565794904859,0.005388470832258463,0,0.00025
