run,depth,regime,role,step,checkpoint,baseline_full_accuracy,requested_addition_power_threshold,control,replicate,selected_pair_count,source_pairs,control_pairs,target_selected_power,control_native_power,scale_factor,context,intervention_accuracy
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,0,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(54,54)/(59,59)|(34,34)/(79,79)|(25,25)/(88,88)",20489817728.0,5725884.25,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,0,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(37,37)/(76,76)|(34,34)/(79,79)|(29,29)/(84,84)",20489817728.0,20489817728.0,1.0,addition_only,0.017699114978313446
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,1,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(27,27)/(86,86)|(24,24)/(89,89)|(41,41)/(72,72)",20489817728.0,851978886.390625,1.0,addition_only,0.03539822995662689
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,1,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(15,15)/(98,98)|(14,14)/(99,99)|(49,49)/(64,64)",20489817728.0,20489817728.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,2,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(10,10)/(103,103)|(1,1)/(112,112)|(33,33)/(80,80)",20489817728.0,20032169.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,2,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(42,42)/(71,71)|(11,11)/(102,102)|(37,37)/(76,76)",20489817728.0,20489817728.0,1.0,addition_only,0.0
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,3,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(43,43)/(70,70)|(22,22)/(91,91)|(15,15)/(98,98)",20489817728.0,3564600.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,3,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(53,53)/(60,60)|(43,43)/(70,70)|(22,22)/(91,91)",20489817728.0,20489817728.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,random_native_addition_subset,4,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(12,12)/(101,101)|(38,38)/(75,75)|(41,41)/(72,72)",20489817728.0,11754817290.0,1.0,addition_only,0.09734513610601425
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.75,equal_power_frequency_relocation,4,3,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)","(15,15)/(98,98)|(28,28)/(85,85)|(22,22)/(91,91)",20489817728.0,20489817728.0,1.0,addition_only,0.008849557489156723
