step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,unembedding_learning_rate
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0.00025
100,2.8241703510284424,0.2804177403450012,7.525076389312744,0.0,30.00211855755914,115.86132785129413,6.794581413269043,0.5253065690086842,0.062406192624092284,0.18756809830665588,0.29595621313219517,0.005192246753722429,0,0.00025
200,0.01673150435090065,1.0,23.44969367980957,0.00011186933988938108,47.45514071767787,110.61463830335906,8.253036499023438,0.1009631049952503,0.018574276293243347,0.019543873146176338,0.29975114491280697,0.005175816360861063,0,0.00025
300,2.3854278197177337e-07,1.0,62.650352478027344,0.0008949547191150486,67.96256312890796,100.32174619810672,8.292437553405762,4.972097309161502e-06,7.200433814907202e-07,5.653023890772602e-06,0.2973672695546898,0.005017504561692476,0,0.00025
400,4.046267765289713e-10,1.0,128.88876342773438,0.0016780400183051825,88.11651077914173,90.77046852846009,8.271760940551758,1.062994861415106e-07,2.0174988451989638e-08,1.4614397514378652e-07,0.2857033005755019,0.004603553097695112,0,0.00025
500,0.0032857931219041348,0.9997389316558838,108.80767059326172,0.0016780400183051825,86.59816445195625,82.19764358070942,8.266702651977539,0.489522113014368,0.22289286919281825,0.30879828333854675,0.3007494600491874,0.004762523807585239,0,0.00025
600,5.857050564372912e-05,1.0,81.89876556396484,0.0014543014112859964,82.87392253978004,74.38418668080404,8.251404762268066,0.002973727556830652,0.0012836572640380131,0.0023055083584040403,0.29694993698301436,0.005049514584243298,0,0.00025
700,1.699742995242559e-07,1.0,83.20401000976562,0.0014543014112859964,86.72074503512033,67.30321825711874,8.23112678527832,3.0158937205301455e-06,8.7023463705542e-07,4.097601959074382e-06,0.30289526579558346,0.005179676692932844,0,0.00025
800,0.0001398317253915593,1.0,80.36307525634766,0.002237386768683791,93.53099848800699,60.89434691031047,8.210627555847168,1.6854644944145307,0.8230011082570863,0.5063700675964355,0.21311137978034123,0.00326368841342628,0,0.00025
900,6.766428668925073e-06,1.0,69.47360229492188,0.002125517465174198,89.4187917789348,55.1080043074647,8.192730903625488,9.316255309912572e-05,2.9978409784168068e-05,0.00012435702956281602,0.3011557619823998,0.005073577631264925,0,0.00025
1000,1.6714198025624682e-08,1.0,77.68331909179688,0.002013648161664605,94.95114906658394,49.86150937017178,8.17235279083252,3.3061204754719655e-07,1.398193105696185e-07,5.157135660738277e-07,0.29780798676086306,0.005255170166492462,0,0.00025
1100,2.561598755335126e-08,1.0,40.173179626464844,0.003915426786988974,93.1649574531431,45.1143566741635,8.151968002319336,3.653453524853335e-07,2.224193719567278e-07,1.0651441471054568e-06,0.2992406456887677,0.005064093507826328,0,0.00025
1200,2.4931233966185573e-08,1.0,23.67739486694336,0.005929074715822935,87.89436509508853,40.81917162161339,8.131633758544922,3.54323907848627e-07,3.2730531566068716e-07,2.263396027046838e-06,0.2964733787313976,0.004766459576785564,0,0.00025
1300,1.761682710821333e-08,1.0,26.548280715942383,0.006040944252163172,94.48415961585296,36.932912098192965,8.111353874206543,4.188365323176322e-07,1.4688817535298948e-07,5.57149360247422e-06,0.29550387889176755,0.004938231315463781,0,0.00025
1400,1.540694327673009e-08,1.0,35.573951721191406,0.004922250751405954,103.94771211470945,33.4166519491656,8.0911283493042,7.491779382042609e-07,3.8487822168129056e-07,1.0871212907659356e-05,0.281972533017389,0.005004061385989189,0,0.00025
1500,1.3726185521534262e-08,1.0,49.407737731933594,0.00514598935842514,113.68739537153743,30.23516565892494,8.070958137512207,1.0349734627213023e-06,6.806003893035854e-07,1.772865107341204e-05,0.27795903242823095,0.004432901740074158,0,0.00025
1600,1.2574554730804266e-08,1.0,63.42741775512695,0.00413916539400816,122.29909057675277,27.356583421149242,8.050846099853516,1.4907181366937097e-06,9.895518461741953e-07,2.1726074919570237e-05,0.27337420765747855,0.004370848648250103,0,0.00025
1700,14.969002723693848,0.6161879897117615,92.63584899902344,0.004810381680727005,125.70979361117162,26.082085393232102,8.050264358520508,75.1469784047498,9.852942479121767,503.6527099609375,0.2918830522795387,0.004701258148998022,1,0.00025
1800,0.000546010269317776,1.0,46.88299560546875,0.005257858894765377,117.81454600252906,24.413692294849472,8.051972389221191,0.007955454242484774,0.004311290442679592,0.021572642028331757,0.3057558850832657,0.004837400279939175,0,0.00025
1900,2.416292318230262e-06,1.0,50.58244323730469,0.004922250751405954,117.67269280741627,22.09221239855214,8.031977653503418,2.6946393983391327e-05,2.1530476503553563e-05,4.931063813273795e-05,0.3070893267660303,0.006195988971740007,0,0.00025
2000,4.419769439323318e-09,1.0,61.716739654541016,0.0063765523955225945,123.81024024199161,19.988908077339563,8.011943817138672,1.3745274344440619e-07,1.6341144982016593e-07,2.909774252657371e-07,0.2959854474834177,0.004609307739883661,0,0.00025
2100,3.495352629556692e-08,1.0,29.13724708557129,0.013871797360479832,118.34624226854767,18.08583037991576,7.991959571838379,1.9784195729426772e-07,2.7260516825901314e-07,9.699032261778484e-07,0.29297615772791946,0.004892369732260704,0,0.00025
2200,2.7763622512111397e-08,1.0,17.487592697143555,0.020024610683321953,111.73098964992879,16.363938767404296,7.972024440765381,1.4934648438205053e-07,1.8884644873091728e-07,1.988209305636701e-06,0.296480633270883,0.005183945409953594,0,0.00025
2300,1.6620823828361608e-08,1.0,16.531578063964844,0.024834992364048958,115.50771580859272,14.805981836203738,7.952139377593994,1.4316645967844827e-07,1.451542510430637e-07,3.3003930184349883e-06,0.30017584186789525,0.004634384997189045,0,0.00025
2400,1.3010306609828604e-08,1.0,17.603981018066406,0.024834992364048958,122.9332395537919,13.396353333703917,7.9323039054870605,1.61934704051573e-07,2.8193219492877555e-07,4.66855408376432e-06,0.28518091677493834,0.004607291892170906,0,0.00025
2500,1.2605680055344237e-08,1.0,18.963102340698242,0.027072379365563393,131.0023091872587,12.120930394581402,7.912517547607422,1.9213841920359126e-07,4.373972322470893e-07,5.816350494569633e-06,0.2798817619784696,0.004280478693544865,0,0.00025
