branch,frozen_group,first_collapse_step,collapse_evaluations,minimum_train_accuracy,minimum_test_accuracy,final_train_accuracy,final_test_accuracy,maximum_auxiliary_gradient_norm,final_hidden_delta_norm,final_token_embedding_delta_norm,final_position_embedding_delta_norm,final_unembedding_delta_norm,final_other_auxiliary_delta_norm
control,none,44710.0,3,0.4770235121250152,0.4357310533523559,1.0,0.9993287920951844,329.28537093362394,107.62824064589866,3.1734061241149902,0.351961225271225,1.1374354362487793,0.0
freeze_token_embedding,token_embedding,44910.0,4,0.4099216759204864,0.3473542928695678,1.0,0.998993158340454,3278.597541835583,76.78327870235978,0.0,0.52705979347229,1.2730185985565186,0.0
freeze_position_embedding,position_embedding,44760.0,3,0.4422976374626159,0.3777827620506286,1.0,0.9992169141769408,323.7637182589949,103.36081860128976,3.414550542831421,0.0,1.0571212768554688,0.0
freeze_unembedding,unembedding,,0,1.0,1.0,1.0,1.0,4.939418435475678e-06,56.358454652120834,1.0050796270370483,0.0941248908638954,0.0,0.0
