branch,branch_step,initial_test_accuracy,minimum_post_branch_test_accuracy,maximum_post_branch_test_accuracy,mean_post_branch_test_accuracy,final_test_accuracy,post_branch_below_95_count,post_branch_below_90_count,post_branch_below_95_fraction,post_branch_below_90_fraction,longest_below_95_evaluation_run,longest_below_90_evaluation_run,stable_above_95_after_branch,final_auxiliary_parameter_norm,final_unembedding_parameter_norm
control,126200,0.934444546699524,0.0051459893584251,0.9967557787895204,0.48069571614532297,0.3688332140445709,1503,1353,0.8647871116225546,0.7784810126582279,475,301,False,2.4398689003283067,0.3593149185180664
freeze,126200,0.934444546699524,0.6307193040847778,0.9986575841903688,0.9750186369183148,0.9887012243270874,175,66,0.10069044879171461,0.0379746835443038,4,2,False,1.097518852290625,0.2729472517967224
