step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,generalization_collapse_detected,unembedding_learning_rate,unembedding_frozen
0,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0.00025,0
100,2.841022253036499,0.278851181268692,7.480716705322266,0.0,30.032790719143758,115.88148291956063,6.660660743713379,0.19568533719211523,0.01815185994773084,0.1884719878435135,0.3002293046187064,0.005182849243283272,0,0,0.00025,0
200,0.01932249590754509,1.0,22.986618041992188,0.00022373867977876216,47.50643646904057,110.71155044928686,7.99252986907959,0.02188172174168864,0.0030349377715652996,0.02008734829723835,0.3003683501945285,0.005433943588286638,0,0,0.00025,0
300,2.6562170774013794e-07,1.0,59.89214324951172,0.0007830853573977947,67.97160807177298,100.43767022523939,7.861847400665283,4.628020427439552e-06,6.803635411888772e-07,5.437646905193105e-06,0.2971860033453915,0.005026231519877911,0,0,0.00025,0
400,5.602524555392563e-10,1.0,120.07731628417969,0.0013424319913610816,88.11418448520288,90.87536342146116,7.667736530303955,1.256346438784562e-07,2.628500282395633e-08,1.8948591673506598e-07,0.2858122187043247,0.004763395059853792,0,0,0.00025,0
500,0.0018788245506584644,0.9997389316558838,102.49887084960938,0.0011186933843418956,87.17343518624581,82.2764655795169,7.493698596954346,0.2370612707664562,0.09974284901080809,0.15141908824443817,0.2992124897115004,0.004729675594717264,0,0,0.00025,0
600,4.678830009652302e-05,1.0,75.22107696533203,0.0019017787417396903,83.58255884933632,74.45971695249911,7.314629554748535,0.0018364997019005907,0.0005748558621548913,0.0020949156023561954,0.29342243983468635,0.005049416795372963,0,0,0.00025,0
700,1.5842690004319593e-07,1.0,76.48372650146484,0.0017899094382300973,87.83950360388089,67.3712257370084,7.134270668029785,2.387810877720178e-06,6.053452944396079e-07,3.87330146622844e-06,0.3007092142567898,0.005355398636311293,0,0,0.00025,0
800,6.539386987469697e-08,1.0,72.17827606201172,0.002013648161664605,94.33165822368024,60.957039889240775,6.9581170082092285,5.270761324311109e-06,3.843819555297982e-06,4.0509248719899915e-06,0.2576101831636276,0.0038837927859276533,0,0,0.00025,0
900,3.5389277286412835e-08,1.0,34.2094841003418,0.00257299467921257,86.36629832149687,55.15352305459558,6.786311626434326,5.573182550742323e-07,4.0889461322561576e-07,1.2606097925527138e-06,0.2965914269793876,0.0050512938760221004,0,0,0.00025,0
1000,2.3219351774628194e-08,1.0,23.272897720336914,0.004698512144386768,85.56158150708244,49.90253625584059,6.618748664855957,3.118279226374452e-07,1.6160438327714077e-07,3.0289268124761293e-06,0.29985666650215287,0.004930130671709776,0,0,0.00025,0
1100,1.789695147635939e-08,1.0,27.5965576171875,0.004922250751405954,93.88402773698125,45.15147949957885,6.455326080322266,4.782692986513365e-07,1.4150366021279676e-07,7.783154615026433e-06,0.2969218698311762,0.004783169832080603,0,0,0.00025,0
1200,1.615394573661888e-08,1.0,36.85955047607422,0.004586642608046532,104.04326963318523,40.85275998507838,6.295943737030029,7.711190254814463e-07,3.2820829924698027e-07,1.4832562555966433e-05,0.28356580095636774,0.004570407792925835,0,0,0.00025,0
