step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,generalization_collapse_detected,auxiliary_learning_rate,unembedding_learning_rate,auxiliary_frozen
2900,3.822166405598182e-08,1.0,13.93433666229248,0.1801096349954605,165.53139015940366,8.407082672630375,4.180217742919922,4.718665925642306e-07,2.2748197935300075e-06,8.714127034181729e-06,0.27574870766671267,0.004879697225987911,0,0,0.001,0.00025,0
3000,3.971567252847308e-08,1.0,14.673030853271484,0.18693366646766663,172.11538338888332,7.6066726863575544,4.07700252532959,5.478357645134797e-07,3.348641101500969e-06,1.1099479706899729e-05,0.26648897669535443,0.004663865081965923,0,0,0.001,0.00025,0
3100,3.9933549800252877e-08,1.0,14.5336275100708,0.2114330530166626,178.11810879338256,6.882467451710398,3.9763355255126953,5.399433231458855e-07,3.977744706060911e-06,1.2483135833463166e-05,0.26639340434950676,0.004705825820565224,0,0,0.001,0.00025,0
3200,4.3824190498753524e-08,1.0,14.188307762145996,0.23783421516418457,184.0115321287932,6.227212747492861,3.8781545162200928,5.21416653148348e-07,4.481415934043258e-06,1.370606059936108e-05,0.26880038405680967,0.004428721033036709,0,0,0.001,0.00025,0
3300,4.771483474996785e-08,1.0,13.63315200805664,0.26513034105300903,189.67903289564646,5.6343449847916505,3.782397747039795,4.993494731226267e-07,4.867293755301645e-06,1.4482186088571325e-05,0.2701033712988282,0.0045174830593168736,0,0,0.001,0.00025,0
3400,4.864858738073963e-08,1.0,12.928659439086914,0.28985345363616943,195.05523531944675,5.09792563278843,3.689005136489868,4.613739275163885e-07,5.070818966584507e-06,1.4567516700481065e-05,0.2718798104591962,0.004614498931914568,0,0,0.001,0.00025,0
3500,5.201010111477444e-08,1.0,12.124872207641602,0.3114442229270935,200.11363960193265,4.612580924143125,3.5979185104370117,4.396756521681178e-07,5.31157984870938e-06,1.4651161109213717e-05,0.2722495950955247,0.004751261789351702,0,0,0.001,0.00025,0
3600,5.412661252535145e-08,1.0,11.26999282836914,0.3302382826805115,204.84442895132872,4.173448254947093,3.5090808868408203,4.0336671522621596e-07,5.456468447861109e-06,1.4576689864043146e-05,0.27355687691407654,0.004804826807230711,0,0,0.001,0.00025,0
3700,5.7083500593080316e-08,1.0,10.377066612243652,0.3486967086791992,209.37274381636857,3.7761275781025834,3.4224367141723633,3.5421955322397687e-07,5.388548207913895e-06,1.3780366316495929e-05,0.2764358059653628,0.004720035009086132,0,0,0.001,0.00025,0
3800,6.63276651380329e-08,1.0,9.596757888793945,0.3639109432697296,213.82439016094852,3.4166378719915027,3.3379321098327637,2.8980984874988563e-07,4.90204834712682e-06,1.3101772310619708e-05,0.2814987596913164,0.004994540475308895,0,0,0.001,0.00025,0
3900,9.633229325345383e-08,1.0,9.01679515838623,0.3705112338066101,217.71459217210167,3.0913783292165973,3.255513906478882,2.119983454580069e-07,4.074927260451293e-06,1.171569419966545e-05,0.27884472963845064,0.005105770193040371,0,0,0.001,0.00025,0
4000,1.2820443373584567e-07,1.0,8.144814491271973,0.3856135904788971,220.71678283316174,2.7970956385800787,3.17513108253479,2.19325350693138e-07,4.794586845105057e-06,1.2364705071377102e-05,0.2806496541421893,0.005208946764469147,0,0,0.001,0.00025,0
4100,1.589249336575449e-07,1.0,7.267321586608887,0.4001566171646118,224.02814850218678,2.530843295261737,3.0967328548431396,2.490450776129906e-07,5.803708843437785e-06,1.2382863133097999e-05,0.28539812175323287,0.005508452653884888,0,0,0.001,0.00025,0
4200,1.8351380504100234e-07,1.0,6.390384674072266,0.41962188482284546,227.56295052149036,2.2899545056965778,3.0202701091766357,2.2877334661512405e-07,6.2163603797786205e-06,1.181433253805153e-05,0.2896048720514937,0.005319833755493164,0,0,0.001,0.00025,0
4300,2.0766691477547283e-07,1.0,5.561100959777832,0.44054144620895386,231.27637247865,2.072015646835825,2.945695638656616,2.2504087103615514e-07,6.4880085463204426e-06,9.8468453870737e-06,0.2939477282045727,0.005309681873768568,0,0,0.001,0.00025,0
4400,2.610464946428692e-07,1.0,4.7970871925354,0.4474773406982422,234.88882623120926,1.8748468400559601,2.872962474822998,2.1367637328795715e-07,6.6318120321432386e-06,4.88420982946991e-06,0.29457116884968687,0.0054418472573161125,0,0,0.001,0.00025,0
4500,4.361564833743614e-07,1.0,4.042090892791748,0.445911169052124,237.61624902677312,1.6965034325060673,2.802025318145752,2.0653206539457114e-07,1.0383725373430664e-05,4.75362821816816e-06,0.2990741219229418,0.00561819551512599,0,0,0.001,0.00025,0
4600,9.141137979895575e-07,1.0,3.450423002243042,0.4573218524456024,240.77799045279522,1.5352994305970393,2.732840061187744,3.779221071581686e-07,2.1110937418384575e-05,7.6013711804989725e-06,0.3017522476916898,0.0053920201025903225,0,0,0.001,0.00025,0
4700,2.636420049384469e-06,1.0,2.9833920001983643,0.476004034280777,243.82073264198849,1.389970415556306,2.6653645038604736,9.782827930631408e-07,5.8969555388086145e-05,1.9525854440871626e-05,0.29918488545794275,0.005495379213243723,0,0,0.001,0.00025,0
4800,6.725088951498037e-06,1.0,2.5818581581115723,0.49848976731300354,247.044769071644,1.260173358212745,2.5995612144470215,2.2983552095347517e-06,0.0001501753417571516,4.786298086401075e-05,0.30280848394601995,0.005260011646896601,0,0,0.001,0.00025,0
4900,1.4029261365067214e-05,1.0,2.2315926551818848,0.5323861837387085,250.44425309276704,1.1466204525809574,2.5353965759277344,4.493305687382308e-06,0.00031412799111202116,9.762973058968782e-05,0.30490849513236984,0.005243188235908747,0,0,0.001,0.00025,0
5000,2.3059621526044793e-05,1.0,1.9005070924758911,0.5762389302253723,253.8651809563076,1.050693969272242,2.472839593887329,7.054647504074083e-06,0.0005134308494158132,0.00015963234181981534,0.3047589190796015,0.005411193706095219,0,0,0.001,0.00025,0
5100,2.9807093596900813e-05,1.0,1.5859498977661133,0.6309430599212646,257.20115299272766,0.9724198593450979,2.411853075027466,8.876003398335195e-06,0.0006638055137110049,0.00020882178796455264,0.30593738717392466,0.005446338094770908,0,0,0.001,0.00025,0
5200,3.35756158165168e-05,1.0,1.2946133613586426,0.6868777275085449,260.2337535579966,0.9091598381455921,2.35239315032959,9.81486782265275e-06,0.0007386688265410958,0.00024044339079409838,0.30400277653318125,0.005424066446721554,0,0,0.001,0.00025,0
5300,3.504708729451522e-05,1.0,1.0405614376068115,0.7467278242111206,262.96885404391696,0.8583028912639916,2.294417142868042,1.0155158889250664e-05,0.0007795547958283103,0.0002579377614893019,0.30424542819772454,0.005432510282844305,0,0,0.001,0.00025,0
5400,3.5222499718656763e-05,1.0,0.8287966251373291,0.8019912838935852,265.48336976035773,0.8172591308615202,2.237884044647217,1.0153483671188002e-05,0.0007866854222110854,0.00026703078765422106,0.30372161304035805,0.005438871681690216,0,0,0.001,0.00025,0
5500,3.491589450277388e-05,1.0,0.6563124656677246,0.8497594594955444,267.74395770052854,0.7843370160373752,2.1827564239501953,1.0017925728652516e-05,0.0007781756724625878,0.00027283685631118715,0.302399941613478,0.005439986474812031,0,0,0.001,0.00025,0
5600,3.430222932365723e-05,1.0,0.517049252986908,0.8865644931793213,269.7457361348769,0.758411254285521,2.1289989948272705,9.819521945369002e-06,0.000779297707888202,0.0002763431693892926,0.30260150991581325,0.005524393171072006,0,0,0.001,0.00025,0
5700,3.337233647471294e-05,1.0,0.40623557567596436,0.9153149127960205,271.5687025847914,0.7382349572127761,2.0765767097473145,9.541990180402917e-06,0.0007700886520683477,0.00027720938669517636,0.3020018132474692,0.005524893756955862,0,0,0.001,0.00025,0
5800,3.22324522130657e-05,1.0,0.3193373680114746,0.935003936290741,273.2432040146198,0.7227825404088151,2.025456190109253,9.219371174561787e-06,0.0007663483342340695,0.0002760963689070195,0.3016157754032086,0.005427459720522165,0,0,0.001,0.00025,0
5900,3.09667011606507e-05,1.0,0.25178760290145874,0.9533504843711853,274.7797246217616,0.7110690830239977,1.9756048917770386,8.868131133612375e-06,0.0007558053972790879,0.0002733407018240541,0.3007839646190847,0.00545043870806694,0,0,0.001,0.00025,0
6000,2.9862329029128887e-05,1.0,0.1996079385280609,0.9667748212814331,276.14221858882405,0.7025162587731675,1.9269908666610718,8.543749034475701e-06,0.0007221046467520737,0.0002714626316446811,0.2997337079653306,0.005422940012067556,0,0,0.001,0.00025,0
6100,2.8892314730910584e-05,1.0,0.15982550382614136,0.9734869599342346,277.3458484936493,0.696888238691349,1.8795851469039917,8.27357439188914e-06,0.0007305155903417117,0.00027040805434808135,0.29922994551732474,0.005442880094051361,0,0,0.001,0.00025,0
6200,2.7952553864452057e-05,1.0,0.128570094704628,0.9821009039878845,278.4482790770912,0.6939094204770531,1.8333581686019897,8.01836169115465e-06,0.0007396865166381869,0.0002693205897230655,0.2990883487302822,0.005503067281097174,0,0,0.001,0.00025,0
6300,2.7051260985899717e-05,1.0,0.104376420378685,0.9862400889396667,279.47416949500973,0.6931050933456187,1.7882810831069946,7.755418153605543e-06,0.0007010209267806151,0.0002682147896848619,0.29927378047196995,0.005569398403167725,0,0,0.001,0.00025,0
6400,2.6200295906164683e-05,1.0,0.08520261198282242,0.9898198843002319,280.44739469479407,0.6941629924981334,1.7443263530731201,7.508290002620974e-06,0.0006733108623668435,0.0002673642593435943,0.2991951965536512,0.005414722487330437,0,0,0.001,0.00025,0
6500,2.540877540013753e-05,1.0,0.06977889686822891,0.9945183992385864,281.3594562300746,0.6968472801521433,1.7014665603637695,7.3097644763835655e-06,0.0007430389105816364,0.00026673212414607406,0.298596081541643,0.005459880921989679,0,0,0.001,0.00025,0
6600,2.4674991436768323e-05,1.0,0.05758190155029297,0.9956371188163757,282.1824107798306,0.7009973435617881,1.6596754789352417,7.098809791400187e-06,0.0007416794397338103,0.0002663482155185193,0.29839300477543473,0.005526305176317692,0,0,0.001,0.00025,0
6700,2.395583396719303e-05,1.0,0.04781166836619377,0.9973151087760925,282.9472891357123,0.7064026478572369,1.6189275979995728,6.9005854637936e-06,0.0007470597225026571,0.00026590205379761755,0.29824664430617276,0.005503991153091192,0,0,0.001,0.00025,0
6800,2.329104972886853e-05,1.0,0.03999524563550949,0.9978744983673096,283.6732969813193,0.712906387845307,1.5791974067687988,6.738246671685554e-06,0.0008124497487207922,0.0002657230361364782,0.2983859584054838,0.005485945381224155,0,0,0.001,0.00025,0
6900,2.2670339603791945e-05,1.0,0.0337681919336319,0.9980981945991516,284.3734505813517,0.7204050011841119,1.5404608249664307,6.541408012006065e-06,0.0007313387834113724,0.00026579119730740786,0.2986868267727453,0.005509280599653721,0,0,0.001,0.00025,0
7000,2.2084952433942817e-05,1.0,0.028747541829943657,0.9985457062721252,285.0464614091853,0.7288127765856475,1.5026943683624268,6.416357159555027e-06,0.0009050367292910426,0.00026606296887621284,0.29886297723128263,0.005649329163134098,0,0,0.001,0.00025,0
7100,2.153190507669933e-05,1.0,0.024681786075234413,0.9986575841903687,285.6874010638793,0.7380280611933706,1.4658747911453247,6.255587490616641e-06,0.0008716047732040193,0.000266548857325688,0.2987733780107656,0.005704102572053671,0,0,0.001,0.00025,0
7200,2.103519182128366e-05,1.0,0.021390866488218307,0.9991050362586975,286.2914225181092,0.7480655435464932,1.429979920387268,6.093594297013756e-06,0.0007543033162514604,0.0002674874267540872,0.2987862618589088,0.0057354276068508625,0,0,0.001,0.00025,0
7300,2.0576884708134457e-05,1.0,0.018672121688723564,0.9993287920951843,286.8525790249582,0.7589052224058468,1.3949882984161377,5.956266932433155e-06,0.0007116010269660332,0.00026872940361499786,0.29866650210601076,0.005799978971481323,0,0,0.001,0.00025,0
7400,2.015219251916278e-05,1.0,0.016481662169098854,0.9994406700134277,287.3676709303504,0.7705178233581798,1.3608789443969727,5.85015037995716e-06,0.0007378994230387195,0.00027027656324207783,0.2984786535692852,0.005814804695546627,0,0,0.001,0.00025,0
7500,1.9742003132705577e-05,1.0,0.014621972106397152,0.9995525479316711,287.8512442138687,0.7828549233333726,1.3276314735412598,5.712253944067544e-06,0.0006111098378243074,0.0002718725590966642,0.29861917675322514,0.005903301760554314,0,0,0.001,0.00025,0
7600,1.9340963262948208e-05,1.0,0.013074450194835663,0.9996643662452698,288.31336366192346,0.7958320090994183,1.2952255010604858,5.617439737236694e-06,0.0007055900038131979,0.0002734920126385987,0.2985489741134202,0.00596626428887248,0,0,0.001,0.00025,0
7700,1.8971702957060188e-05,1.0,0.011771630495786667,0.9998881220817566,288.7486660091198,0.8094321506629409,1.2636419534683228,5.5110623778069605e-06,0.0006890819920603627,0.0002753916778601706,0.2986111673095433,0.0059969741851091385,0,0,0.001,0.00025,0
7800,1.8631450075190514e-05,1.0,0.010673812590539455,0.9998881220817566,289.13989739779714,0.8236937618434299,1.2328622341156006,5.423046145475905e-06,0.000692403331885089,0.0002776087203528732,0.2984167475714829,0.006074780132621527,0,0,0.001,0.00025,0
7900,1.8314698536414653e-05,1.0,0.009748621843755245,0.9998881220817566,289.50788143615983,0.8385990057226006,1.202868103981018,5.322290784302463e-06,0.0006252676215405612,0.00028005492640659213,0.29832770631444977,0.006043617147952318,0,0,0.001,0.00025,0
8000,1.800320387701504e-05,1.0,0.008980109356343746,0.9998881220817566,289.85593654009887,0.8541779194510929,1.1736422777175903,5.2201903206911595e-06,0.0004965007113000008,0.00028258340898901224,0.29837168372642103,0.0061377957463264465,0,0,0.001,0.00025,0
8100,1.720230829960201e-05,1.0,0.008147604763507843,0.9998881220817566,289.81128830850747,0.8541779194510929,1.1736422777175903,4.997390278900365e-06,0.0,0.0,0.2925689752972524,0.005826822482049465,0,0,0.0,0.0,1
8200,1.70001858350588e-05,1.0,0.007489582523703575,0.9998881220817566,289.50310020851714,0.8541779194510929,1.1736422777175903,4.9359365998105825e-06,0.0,0.0,0.29091055150291595,0.005885528400540352,0,0,0.0,0.0,1
8300,1.7043978004949167e-05,1.0,0.006974969524890184,0.9998881220817566,289.12126744541956,0.8541779194510929,1.1736422777175903,4.952200786558216e-06,0.0,0.0,0.2902448936539394,0.005891107954084873,0,0,0.0,0.0,1
8400,1.7182203009724617e-05,1.0,0.006516444496810436,0.9998881220817566,288.7173747013628,0.8541779194510929,1.1736422777175903,4.991055066983156e-06,0.0,0.0,0.2894942427911331,0.005947256926447153,0,0,0.0,0.0,1
8500,1.735148543957621e-05,1.0,0.006117410957813263,0.9998881220817566,288.31535644787505,0.8541779194510929,1.1736422777175903,5.039244315507314e-06,0.0,0.0,0.28891302544899694,0.0059644863940775394,0,0,0.0,0.0,1
8600,1.7517068044980988e-05,1.0,0.005771348252892494,0.9998881220817566,287.939107068622,0.8541779194510929,1.1736422777175903,5.085449745984474e-06,0.0,0.0,0.28864835473542527,0.005900884512811899,0,0,0.0,0.0,1
8700,1.7690210370346904e-05,1.0,0.005455391947180033,1.0,287.5758740660047,0.8541779194510929,1.1736422777175903,5.131962169157342e-06,0.0,0.0,0.2881948933985954,0.005814154166728258,0,0,0.0,0.0,1
8800,1.784822961781174e-05,1.0,0.005204826593399048,1.0,287.2367574925313,0.8541779194510929,1.1736422777175903,5.177474634825223e-06,0.0,0.0,0.2879176243183619,0.005796980578452349,0,0,0.0,0.0,1
8900,1.798228367988486e-05,1.0,0.005011425819247961,1.0,286.9293645524834,0.8541779194510929,1.1736422777175903,5.213758060185302e-06,0.0,0.0,0.28781180538719825,0.005730295088142157,0,0,0.0,0.0,1
9000,1.8100090528605506e-05,1.0,0.004855713807046413,1.0,286.6359254335381,0.8541779194510929,1.1736422777175903,5.246612899889752e-06,0.0,0.0,0.28757891289027016,0.00577630614861846,0,0,0.0,0.0,1
9100,1.8203889339929447e-05,1.0,0.00472395122051239,1.0,286.35741744720707,0.8541779194510929,1.1736422777175903,5.27317484086069e-06,0.0,0.0,0.2873495227375742,0.0057591707445681095,0,0,0.0,0.0,1
9200,1.8296948837814853e-05,1.0,0.004624522756785154,1.0,286.10611303321303,0.8541779194510929,1.1736422777175903,5.297655548901808e-06,0.0,0.0,0.2871895607809087,0.0057054017670452595,0,0,0.0,0.0,1
9300,1.8381859263172373e-05,1.0,0.004543972667306662,1.0,285.88600481002385,0.8541779194510929,1.1736422777175903,5.320882433691855e-06,0.0,0.0,0.287402660668344,0.005802718456834555,0,0,0.0,0.0,1
9400,1.839300057326909e-05,1.0,0.004483030177652836,1.0,285.75013825222726,0.8541779194510929,1.1736422777175903,5.324957747096177e-06,0.0,0.0,0.2886726276140425,0.005804409738630056,0,0,0.0,0.0,1
9500,1.8382635971647687e-05,1.0,0.004428790416568518,1.0,285.65268948868635,0.8541779194510929,1.1736422777175903,5.322514163883658e-06,0.0,0.0,0.2885434569162786,0.005818252917379141,0,0,0.0,0.0,1
9600,1.83666379598435e-05,1.0,0.004368108697235584,1.0,285.5747436219876,0.8541779194510929,1.1736422777175903,5.317636541331572e-06,0.0,0.0,0.28849220861165586,0.005794519558548927,0,0,0.0,0.0,1
9700,1.8329817976336926e-05,1.0,0.004315895959734917,0.9998881220817566,285.5269034065056,0.8541779194510929,1.1736422777175903,5.306641103875966e-06,0.0,0.0,0.2886285616947915,0.005856427364051342,0,0,0.0,0.0,1
9800,1.8270773580297828e-05,1.0,0.004249631892889738,0.9998881220817566,285.49878239186694,0.8541779194510929,1.1736422777175903,5.291693920782125e-06,0.0,0.0,0.288506826059147,0.005874327849596739,0,0,0.0,0.0,1
9900,1.8199216356151737e-05,1.0,0.0041864546947181225,0.9998881220817566,285.4896347246853,0.8541779194510929,1.1736422777175903,5.2696476001091565e-06,0.0,0.0,0.28873237429508525,0.005854107439517975,0,0,0.0,0.0,1
10000,1.810643334465567e-05,1.0,0.00412413477897644,0.9998881220817566,285.502071186626,0.8541779194510929,1.1736422777175903,5.245870708392447e-06,0.0,0.0,0.28875436865653004,0.005865270271897316,0,0,0.0,0.0,1
10100,1.8026008547167294e-05,1.0,0.004069056827574968,0.9998881220817566,285.5259927152652,0.8541779194510929,1.1736422777175903,5.220692715949671e-06,0.0,0.0,0.2888589753215802,0.005905794911086559,0,0,0.0,0.0,1
10200,1.7946953448699787e-05,1.0,0.004046530928462744,0.9998881220817566,285.5547899200468,0.8541779194510929,1.1736422777175903,5.199791971240829e-06,0.0,0.0,0.2887433268591751,0.005930998362600803,0,0,0.0,0.0,1
10300,1.7866275811684318e-05,1.0,0.0040278565138578415,0.9998881220817566,285.5891465257201,0.8541779194510929,1.1736422777175903,5.175993108509849e-06,0.0,0.0,0.28892592347074014,0.005861231125891209,0,0,0.0,0.0,1
10400,1.778585101419594e-05,1.0,0.0039888774044811726,0.9998881220817566,285.63333879230436,0.8541779194510929,1.1736422777175903,5.155021881390045e-06,0.0,0.0,0.2886866184963906,0.005845231935381889,0,0,0.0,0.0,1
10500,1.7739694158080965e-05,1.0,0.003960350528359413,0.9998881220817566,285.6683023209152,0.8541779194510929,1.1736422777175903,5.138896450116588e-06,0.0,0.0,0.2887635931082773,0.005940074101090431,0,0,0.0,0.0,1
10600,1.7704334823065437e-05,1.0,0.003933986648917198,0.9998881220817566,285.7007150044988,0.8541779194510929,1.1736422777175903,5.131081044911251e-06,0.0,0.0,0.2885844630866826,0.005934793036431074,0,0,0.0,0.0,1
10700,1.7656528143561445e-05,1.0,0.003924492746591568,0.9997762441635132,285.73304047907357,0.8541779194510929,1.1736422777175903,5.118026082765883e-06,0.0,0.0,0.2884347057287151,0.005960557144135237,0,0,0.0,0.0,1
10800,1.761606654326897e-05,1.0,0.003922531381249428,0.9998881220817566,285.7562430642696,0.8541779194510929,1.1736422777175903,5.103230202866503e-06,0.0,0.0,0.2884752564328756,0.005959822330623865,0,0,0.0,0.0,1
10900,1.7590326024219394e-05,1.0,0.003908917307853699,1.0,285.776833886747,0.8541779194510929,1.1736422777175903,5.097670818108167e-06,0.0,0.0,0.288402910662002,0.005979304667562246,0,0,0.0,0.0,1
11000,1.7556649254402146e-05,1.0,0.00391394505277276,0.9998881220817566,285.80560603551464,0.8541779194510929,1.1736422777175903,5.086781892883677e-06,0.0,0.0,0.2884490004230156,0.005936142522841692,0,0,0.0,0.0,1
11100,1.750105911924038e-05,1.0,0.0039039405528455973,0.9998881220817566,285.84376492450525,0.8541779194510929,1.1736422777175903,5.0722130427756865e-06,0.0,0.0,0.28847392206023365,0.005945129320025444,0,0,0.0,0.0,1
