step,branch,branch_step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,auxiliary_frozen,generalization_collapse_detected,elapsed_post_branch_seconds
126200,control,126200,0.14509549736976624,0.9553524851799011,0.19480212032794952,0.9344445466995239,93.86367816750504,1.097518852290625,0.2729472517967224,nan,nan,nan,nan,nan,0,0,0.0
126300,control,126200,0.0452997200191021,0.9843342304229736,0.07833818346261978,0.9784092307090759,98.11820658475196,1.154113912620917,0.2814134657382965,13.458953790379812,87.5634911573261,48.61149597167969,1.2839538492948006,0.017615223303437233,0,0,21.46143379100249
126400,control,126200,0.14774024486541748,0.9563968777656555,0.2315746396780014,0.9343327283859253,96.666458606513,1.1546497078483753,0.2787844240665436,2.340488268718491,14.501183309069463,10.202829360961914,1.6738788542974936,0.015875086188316345,0,0,43.57510529100546
126500,control,126200,0.06691009551286697,0.9775456786155701,0.15948650240898132,0.9533504843711853,96.29656195179186,1.1598668712253493,0.28134822845458984,1.449235873176987,8.044510148539697,9.146812438964844,1.4477144024851185,0.015726832672953606,0,0,65.56170304099214
126600,control,126200,0.03057721070945263,0.9932115077972412,0.06592653691768646,0.9801990985870361,92.34043776154044,1.13709399601908,0.28114011883735657,0.4871771904187041,3.8435885932764475,5.262796878814697,1.7231981834313674,0.0169235672801733,0,0,87.57213533300092
126700,control,126200,0.023815976455807686,0.9997389316558838,0.05605689063668251,0.9899317622184753,89.86000613899098,1.1466288796559916,0.2782030701637268,0.30292844212536313,1.9859182706565754,2.5772905349731445,1.7089501659495203,0.018847918137907982,0,0,109.63450937499874
126800,control,126200,0.006208833772689104,0.9986945390701294,0.022918159142136574,0.9939590692520142,94.30334056265481,1.1389103696644527,0.27861544489860535,0.17509490642451725,1.0232139326815153,1.31456458568573,1.7771667529738984,0.016678636893630028,0,0,131.6529657499923
126900,control,126200,0.04054327309131622,0.9864229559898376,0.07163386046886444,0.9761718511581421,96.00874613111309,1.1247251024693319,0.27961429953575134,0.6713444556825683,4.237708394999974,2.510493040084839,1.7485870313732979,0.01674738898873329,0,0,153.65552166599082
127000,control,126200,0.006488238461315632,0.9992167353630066,0.03811414912343025,0.9864637851715088,96.75214808083139,1.1268908552147285,0.27482089400291443,0.2747285305453667,1.901483185929987,2.6651196479797363,1.7825747395459846,0.01617160625755787,0,0,175.65969445797964
127100,control,126200,0.19757340848445892,0.9295039176940918,0.34528595209121704,0.8895849585533142,95.31590938328387,1.1406976354597862,0.270893931388855,6.475065715733572,35.414994043426745,24.412899017333984,1.5082508289025598,0.016200799494981766,0,1,197.6536329999799
127200,control,126200,0.19634123146533966,0.9506527185440063,0.28361204266548157,0.9231457710266113,96.44933600785903,1.282065955548481,0.2727264165878296,9.675576153553884,59.11391818738932,38.13359832763672,1.4762033222273483,0.015486202202737331,0,0,219.65766054100823
127300,control,126200,0.29833850264549255,0.9028720855712891,0.9677910208702087,0.7337509989738464,90.74041455020543,1.830983477504562,0.29536181688308716,4.862220228910841,13.664237920872308,15.930198669433594,1.5840692436889048,0.015349767170846462,0,1,241.676041291008
127400,control,126200,0.6517877578735352,0.8331592679023743,1.1799626350402832,0.7286049723625183,95.59663619710501,1.8491236927822914,0.3005543649196625,5.648554661832291,20.9548638400598,23.98993492126465,1.4916780316613625,0.015227056108415127,0,1,263.6646359580045
127500,control,126200,0.18868693709373474,0.9454308152198792,0.6459658145904541,0.8512137532234192,94.13914698478081,2.0849748337427374,0.31583070755004883,8.937711238621935,20.005765281988094,20.896181106567383,1.6216139318533633,0.015303625725209713,0,1,285.71689625
127600,control,126200,0.08418687433004379,0.9767624139785767,0.2613260746002197,0.9381362795829773,97.9778890142778,2.0130260310159853,0.3104587495326996,1.9188682211415875,6.748222514785215,11.90787410736084,1.6397281095660492,0.016444945707917213,0,0,307.6924998750037
127700,control,126200,0.12567198276519775,0.9644908905029297,0.2885344624519348,0.9111757278442383,91.25417831040323,1.9214573753925897,0.303623229265213,4.04664222179131,17.015230965047436,26.064434051513672,1.6561148437355466,0.01676909625530243,0,0,329.52829241598374
127800,control,126200,0.02023659273982048,0.9955613613128662,0.07059597969055176,0.9775142669677734,92.66427987713595,1.8091601846028618,0.3049617409706116,0.3157198327620508,1.4225781346637343,2.70285964012146,1.6880190125677212,0.017007559537887573,0,0,351.26436608299264
127900,control,126200,0.02869957499206066,0.9906005263328552,0.0833612009882927,0.9742700457572937,94.90667657184098,1.7104033443143725,0.30494946241378784,0.9508597436433853,3.952128590662694,8.213580131530762,1.7075179720346145,0.015384268946945667,0,0,373.2594928749895
128000,control,126200,0.012428048066794872,0.9960835576057434,0.04046477749943733,0.9871350526809692,93.60767769444975,1.5729857381812427,0.3026233911514282,5.601893299002381,29.42106014395777,17.939146041870117,1.332023503991595,0.015736866742372513,0,0,395.24073412499274
128100,control,126200,0.033300600945949554,0.9887728691101074,0.061590153723955154,0.9790804386138916,89.76848778985041,1.4983090269512,0.3017388582229614,3.0845385469006854,12.503706778608864,9.20572280883789,1.5800617267101507,0.015620623715221882,0,0,417.3100223749934
128200,control,126200,0.02645879238843918,0.9916449189186096,0.05002450942993164,0.9833314418792725,91.40809316585252,1.4469170620838052,0.2990199029445648,1.1304253581746282,5.605003539047038,6.948312282562256,1.716970671431132,0.015994295477867126,0,0,439.27901283299434
128300,control,126200,0.01722450740635395,1.0,0.05330720543861389,0.988029956817627,93.7142045167768,1.3989992431128966,0.29668954014778137,0.11127961597259926,0.6865463537792067,2.0500693321228027,1.7722209326714327,0.016437862068414688,0,0,461.2747532079811
128400,control,126200,0.016934197396039963,0.9953002333641052,0.09461351484060287,0.9713614583015442,94.4690792578304,1.38681813061828,0.29930219054222107,0.39667589682919757,2.350699656665439,2.9433681964874268,1.7387004595573234,0.01709272712469101,0,0,483.26343066600384
128500,control,126200,0.08626771718263626,0.9788511991500854,0.14596837759017944,0.9562590718269348,94.81032643208276,1.3456764269007542,0.29500681161880493,1.9455394759534168,12.978625726001319,7.877229690551758,1.590289461641985,0.0178145170211792,0,0,505.2784952079819
128600,control,126200,0.023429345339536667,0.997389018535614,0.053881775587797165,0.9893724322319031,91.99423982623696,1.341689575786165,0.29611822962760925,0.09884330011489553,0.7004330207214272,1.385462999343872,1.7660309238497378,0.0170894842594862,0,0,527.290719749988
128700,control,126200,0.036576077342033386,0.9887728691101074,0.06935923546552658,0.9793041944503784,96.24183266325502,1.2730812468498804,0.2990971803665161,1.1517918448753866,7.430135175140271,8.690103530883789,1.7319105414865845,0.016474081203341484,0,0,549.295263499982
128800,control,126200,0.7943039536476135,0.8514360189437866,0.9856455326080322,0.8298467397689819,93.11746311315547,1.2550126284209477,0.2987416982650757,1.1429774547015852,6.712131957256547,5.429638862609863,1.7274517543750054,0.015617809258401394,0,1,571.2940101659915
128900,control,126200,0.03673483431339264,0.9919059872627258,0.045911189168691635,0.9889249205589294,91.98234669324854,1.2634808633868322,0.30129748582839966,0.11420637355188135,0.5528569503436693,0.825581967830658,1.7640679866425526,0.017933649942278862,0,0,593.2477913330076
129000,control,126200,0.15431341528892517,0.9639686942100525,0.23565614223480225,0.9428347945213318,92.09179829650118,1.270061983083305,0.30247312784194946,2.04821705339915,11.175638842811159,6.553575038909912,1.615424628500558,0.015600310638546944,0,0,615.2799376659968
129100,control,126200,0.056329745799303055,0.9853785634040833,0.14179523289203644,0.952791154384613,89.94279232761787,1.3103670900818396,0.29632195830345154,1.2538462878515246,7.420298502582193,6.448061466217041,1.7160643822159163,0.01696130260825157,0,0,637.39160420798
129200,control,126200,0.03737035393714905,0.9843342304229736,0.07074476778507233,0.9779617190361023,95.4708042288283,1.2990019428345845,0.30068737268447876,1.7257806751607359,10.722014166799669,10.868651390075684,1.6872534767441767,0.015849001705646515,0,0,659.3867866660003
129300,control,126200,0.02873002551496029,0.9898172616958618,0.06373489648103714,0.9771786332130432,94.82900766292593,1.2729242416194069,0.3008827865123749,1.2955056654400745,8.218686144603486,8.493122100830078,1.7100272420816687,0.01619548350572586,0,0,681.3462949999957
129400,control,126200,0.021687664091587067,0.9989556074142456,0.05785587802529335,0.9875825047492981,90.54422354149551,1.2916245365654033,0.2911797761917114,0.1956218229905996,1.6471700589365146,1.9522373676300049,1.704898361460083,0.017332466319203377,0,0,703.3395197909849
129500,control,126200,0.06462004035711288,0.9749346971511841,0.11374202370643616,0.9588320851325989,95.49793564610337,1.3025985306341388,0.2940606474876404,1.0597828569148484,6.048178220323966,9.072744369506836,1.7593592762028467,0.017452267929911613,0,0,724.8722268329875
129600,control,126200,0.027118019759655,0.9916449189186096,0.04341991990804672,0.9874706268310547,97.4289853348885,1.233744863401854,0.2954449951648712,1.0595946066183,6.338946715686646,6.743147373199463,1.6307918049202126,0.01599886640906334,0,0,746.951426124986
