step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
1700,adamw,2,113,0.3,128,4,512,0.18925364315509796,1.0,10.91641616821289,0.0035798188764601946,56.39960912500101,28.062392683374487,14.388919197066999,11.341532707214355,0.8296879712779637,0.25854847070971765,0.07024510949850082,nan,nan,0,0,0,
1800,adamw,2,113,0.3,128,4,512,1.0590565204620361,0.7328981757164001,10.498321533203125,0.005257858894765377,59.70565195901145,27.77928045344126,13.919360666342065,11.176433563232422,29.75732514385383,5.020835206047286,1.537915587425232,nan,nan,1,0,0,
1900,adamw,2,113,0.3,128,4,512,0.3684373199939728,0.9903393983840942,9.99309253692627,0.004698512144386768,63.064569625013974,27.723653188421988,13.676570906486358,11.0505952835083,10.430093566116836,1.9350726337161022,0.376184344291687,nan,nan,0,0,0,
2000,adamw,2,113,0.3,128,4,512,0.29463815689086914,0.9986945390701294,10.189126968383789,0.003915426786988974,79.28176808400895,27.763973844143194,13.455184801728224,10.975495338439941,2.955634033810081,0.6019320872057384,0.2774405777454376,nan,nan,0,0,0,
2100,adamw,2,113,0.3,128,4,512,0.17570985853672028,1.0,10.780311584472656,0.004251034930348396,125.22044691701012,27.767826042601335,13.180309202937973,10.940281867980957,0.5328240735851125,0.2506492052513408,0.08621674031019211,nan,nan,0,0,0,
2200,adamw,2,113,0.3,128,4,512,0.17178422212600708,1.0,10.762038230895996,0.00402729632332921,157.65874283401354,27.683414554715377,12.894423095367067,10.799830436706543,0.5255934295893908,0.2370237754563137,0.07396231591701508,nan,nan,0,0,0,
2300,adamw,2,113,0.3,128,4,512,0.17445974051952362,1.0,10.735560417175293,0.004922250751405954,172.3891013340035,27.536292253644334,12.604200386510044,10.645617485046387,4.56186483879876,0.5525798388956199,0.06890980899333954,nan,nan,0,0,0,
2400,adamw,2,113,0.3,128,4,512,0.20486611127853394,1.0,10.591255187988281,0.005034120287746191,175.66913820900663,27.731582478867505,12.667154438081889,10.488238334655762,0.308278240184174,0.2522431588286772,0.07668944448232651,nan,nan,0,0,0,
2500,adamw,2,113,0.3,128,4,512,0.18543697893619537,1.0,10.622970581054688,0.0055934670381248,178.98377816700668,27.75300168870914,12.597839930600514,10.198528289794922,0.5559656118589169,0.25213705649297224,0.08524193614721298,nan,nan,0,0,0,
2600,adamw,2,113,0.3,128,4,512,0.18574266135692596,1.0,10.523014068603516,0.0055934670381248,182.2464284170128,27.64102484775482,12.382402053494625,9.954617500305176,0.8127783404145905,0.27002948634261764,0.07583204656839371,nan,nan,0,0,0,
2700,adamw,2,113,0.3,128,4,512,0.18920639157295227,1.0,10.538481712341309,0.00514598935842514,185.55157116700138,27.668187307589484,12.213208607996524,9.798912048339844,9.397166631285183,0.9634391185721288,0.08821593225002289,nan,nan,0,0,0,
2800,adamw,2,113,0.3,128,4,512,0.8260082006454468,0.847780704498291,10.033692359924316,0.0063765523955225945,188.879844125011,27.633940046367584,12.090885006903411,9.651219367980957,21.423719517231614,2.7446899258547335,0.7194258570671082,nan,nan,1,0,0,
2900,adamw,2,113,0.3,128,4,512,0.500573456287384,0.9736292362213135,9.302361488342285,0.005369727965444326,192.16625020900392,27.58930916196842,11.956496572906966,9.524931907653809,5.55053738715289,1.1491554068400462,0.60345858335495,nan,nan,0,0,0,
3000,adamw,2,113,0.3,128,4,512,0.20125292241573334,1.0,10.412940979003906,0.004474773537367582,195.47426175000146,27.984691041874395,11.95043773867452,9.525582313537598,1.9825886406758664,0.4200903325482442,0.2198619842529297,nan,nan,0,0,0,
3100,adamw,2,113,0.3,128,4,512,0.2044924795627594,1.0,10.373856544494629,0.005481597501784563,198.86768241701066,28.050548366583467,11.844847834491437,9.436297416687012,1.3482448887973175,0.3477236548522826,0.23720349371433258,nan,nan,0,0,0,
3200,adamw,2,113,0.3,128,4,512,0.1503269225358963,1.0,10.715126037597656,0.004810381680727005,202.20293216701248,27.950077727365894,11.574017865233762,9.279787063598633,1.232197891975428,0.28680610165275316,0.11699513345956802,nan,nan,0,0,0,
3300,adamw,2,113,0.3,128,4,512,0.1618412435054779,1.0,10.430328369140625,0.005481597501784563,205.5339987920015,27.862115705881248,11.379277712436663,9.14305305480957,1.628637736286626,0.3167882076498145,0.0752357542514801,nan,nan,0,0,0,
3400,adamw,2,113,0.3,128,4,512,0.15785761177539825,1.0,10.434706687927246,0.00514598935842514,208.9411572500103,27.906207485884476,11.273812782099723,9.045540809631348,0.8462014831391009,0.24959778646416056,0.07563440501689911,nan,nan,0,0,0,
3500,adamw,2,113,0.3,128,4,512,0.16228683292865753,1.0,10.473413467407227,0.005369727965444326,212.2565752500086,27.926215268548994,11.161517856019492,8.95177936553955,8.537261144627697,0.8504356012846506,0.08761446177959442,nan,nan,0,0,0,
3600,adamw,2,113,0.3,128,4,512,1.02878999710083,0.8629242777824402,7.800836086273193,0.005257858894765377,215.59189687500475,27.35475434494572,10.874972921593578,8.708258628845215,3.4578088548482877,1.1234216392405478,0.7277217507362366,nan,nan,1,0,0,
3700,adamw,2,113,0.3,128,4,512,0.29655465483665466,0.997389018535614,9.936100959777832,0.004922250751405954,218.96778525000263,28.07916477099368,11.067362167308538,8.643733978271484,7.440683586241353,0.9629419850196804,0.381348192691803,nan,nan,0,0,0,
3800,adamw,2,113,0.3,128,4,512,0.14659012854099274,1.0,10.475345611572266,0.004474773537367582,222.30219241700252,28.307446081113905,11.032047222576935,8.519600868225098,0.7308007884306168,0.24867593241718045,0.09802178293466568,nan,nan,0,0,0,
3900,adamw,2,113,0.3,128,4,512,0.1605183184146881,1.0,10.407797813415527,0.00514598935842514,225.63420058401243,28.16173059909846,10.813425519534063,8.305028915405273,8.841512722289378,0.7987744994846961,0.09251225739717484,nan,nan,0,0,0,
4000,adamw,2,113,0.3,128,4,512,0.1575000137090683,1.0,10.27557373046875,0.005369727965444326,229.034733959008,28.261413670672226,10.758755254594139,8.214536666870117,1.5273408378815538,0.28881547384638523,0.08194167166948318,nan,nan,0,0,0,
4100,adamw,2,113,0.3,128,4,512,0.15146715939044952,1.0,10.273391723632812,0.005817205645143986,232.3777933750098,28.385158392413672,10.727896596998145,8.160027503967285,0.3661706628540979,0.2522846024757804,0.08556683361530304,nan,nan,0,0,0,
4200,adamw,2,113,0.3,128,4,512,0.14053970575332642,1.0,10.377105712890625,0.005817205645143986,235.69863495900063,28.41517675792686,10.603233525141532,8.077478408813477,0.5262721708499142,0.24002468989877138,0.09027571231126785,nan,nan,0,0,0,
4300,adamw,2,113,0.3,128,4,512,0.1483462005853653,1.0,10.343893051147461,0.0063765523955225945,239.03233891700802,28.345049981507124,10.424462098537841,7.95952033996582,8.846672369555852,0.9240457852287787,0.09188886731863022,nan,nan,0,0,0,
4400,adamw,2,113,0.3,128,4,512,0.15503345429897308,1.0,10.219383239746094,0.006935898680239916,242.33078679200844,28.475669718846582,10.40722066506395,7.9016828536987305,8.254841113168524,0.7497682962843594,0.09230239689350128,nan,nan,0,0,0,
4500,adamw,2,113,0.3,128,4,512,0.14334796369075775,1.0,10.255663871765137,0.007159637752920389,245.63294129200222,28.505203131082883,10.314941345349839,7.803007125854492,2.588045121354659,0.3545711819292275,0.08148665726184845,nan,nan,0,0,0,
4600,adamw,2,113,0.3,128,4,512,0.14757318794727325,1.0,10.253393173217773,0.00671216007322073,249.00190608401317,28.807329846534646,10.402625821776281,7.80283260345459,0.2729019685237792,0.24219903447408064,0.08884928375482559,nan,nan,0,0,0,
4700,adamw,2,113,0.3,128,4,512,0.1622881144285202,1.0,10.247602462768555,0.0070477682165801525,252.36704758400447,29.001544778835317,10.399417284704459,7.6989641189575195,1.442803257820976,0.32641659537527484,0.2737269699573517,nan,nan,0,0,0,
4800,adamw,2,113,0.3,128,4,512,0.12871091067790985,1.0,10.495874404907227,0.006264682859182358,255.69425612500345,29.040461252464702,10.275434439681863,7.6379780769348145,0.579555905821395,0.23204539111181585,0.12272241711616516,nan,nan,0,0,0,
4900,adamw,2,113,0.3,128,4,512,0.11912793666124344,1.0,10.441972732543945,0.006264682859182358,259.03211658401415,29.182180162521824,10.229942753505252,7.606530666351318,0.4268736916968584,0.20655530751055926,0.12181113660335541,nan,nan,0,0,0,
5000,adamw,2,113,0.3,128,4,512,0.20843203365802765,0.9997389316558838,9.963541030883789,0.006152813322842121,262.36634175000654,29.293158803536656,10.176216346342436,7.530517578125,1.638557070837263,0.4329066998114253,0.445134699344635,nan,nan,0,0,0,
5100,adamw,2,113,0.3,128,4,512,1.184528112411499,0.7477806806564331,10.089825630187988,0.007607114966958761,265.6838872500084,28.999362800214886,9.913067659822019,7.3493475914001465,59.705118947920674,5.931974670613365,1.8627747297286987,nan,nan,1,0,0,
5200,adamw,2,113,0.3,128,4,512,0.13629427552223206,1.0,10.05945873260498,0.006935898680239916,269.0523745840037,29.16018322541791,9.821879617461176,7.369339942932129,1.053409022304461,0.25404242174927777,0.08371014147996902,nan,nan,0,0,0,
5300,adamw,2,113,0.3,128,4,512,0.13003496825695038,1.0,10.100849151611328,0.006488421466201544,272.3494693750108,29.218637987628437,9.741253849139879,7.311987400054932,1.552141306910293,0.2814398499912318,0.08204150199890137,nan,nan,0,0,0,
5400,adamw,2,113,0.3,128,4,512,0.13329872488975525,1.0,10.072098731994629,0.007383376359939575,275.6646238750109,29.471735881983104,9.75977573050616,7.361403942108154,0.24549451638989545,0.2358667732226422,0.09656374156475067,nan,nan,0,0,0,
5500,adamw,2,113,0.3,128,4,512,0.13098140060901642,1.0,10.210942268371582,0.0066002910025417805,279.0007133750041,29.66459619553547,9.790906235196225,7.290868759155273,0.9620932423075128,0.2795032818761595,0.2766212522983551,nan,nan,0,0,0,
5600,adamw,2,113,0.3,128,4,512,0.16179393231868744,1.0,10.046005249023438,0.00805459264665842,282.3204974170076,29.718451985222842,9.714643457154423,7.251123905181885,1.9870187094740284,0.46715018980200107,0.46585437655448914,nan,nan,0,0,0,
5700,adamw,2,113,0.3,128,4,512,0.12352755665779114,1.0,10.11989974975586,0.0070477682165801525,285.6245729170041,29.465498637231992,9.486361647082123,7.108760833740234,5.765859144782171,0.792868056366298,0.08990523219108582,nan,nan,0,0,0,
5800,adamw,2,113,0.3,128,4,512,0.14090681076049805,1.0,9.895451545715332,0.007607114966958761,288.9662352500018,29.672314248260623,9.541313305282019,7.119261741638184,0.22542183642140534,0.2440760306470757,0.09265431016683578,nan,nan,0,0,0,
5900,adamw,2,113,0.3,128,4,512,0.12471158802509308,1.0,10.005376815795898,0.00805459264665842,292.2876012090128,29.745446586763716,9.499167493706599,6.941336631774902,0.41430688607823885,0.22926204853649654,0.10797876119613647,nan,nan,0,0,0,
6000,adamw,2,113,0.3,128,4,512,0.1444697231054306,1.0,10.241649627685547,0.007607114966958761,295.58323350000137,30.211573060961115,9.684248487764938,6.982522010803223,0.5947197594602109,0.2520215073464859,0.22275017201900482,nan,nan,0,0,0,
6100,adamw,2,113,0.3,128,4,512,0.13481035828590393,1.0,9.786903381347656,0.008502069860696793,298.98067116700986,29.843842013870372,9.453228114159318,6.687154769897461,0.8574977264519421,0.2860535334814271,0.09129919111728668,nan,nan,0,0,0,
6200,adamw,2,113,0.3,128,4,512,0.13432933390140533,1.0,9.587213516235352,0.007830853573977947,302.28710091700486,29.974163173785985,9.44086572104023,6.644093990325928,0.2292514611119101,0.23894354081071173,0.0960598737001419,nan,nan,0,0,0,
6300,adamw,2,113,0.3,128,4,512,0.3470073938369751,0.992428183555603,8.603768348693848,0.00827833078801632,305.5916834170057,30.07374345974619,9.529292559128523,6.580714225769043,2.4183450631012215,0.8155455143212541,0.8654674291610718,nan,nan,0,0,0,
6400,adamw,2,113,0.3,128,4,512,0.12272917479276657,1.0,9.586808204650879,0.007942723110318184,308.9346305000072,30.08859056375229,9.353528756666687,6.531591892242432,0.2683467172581817,0.22240872986864665,0.08731081336736679,nan,nan,0,0,0,
6500,adamw,2,113,0.3,128,4,512,0.10826034843921661,1.0,9.712532043457031,0.00827833078801632,312.3009861669998,30.351525745677204,9.364515536465946,6.570233345031738,0.3000344374612402,0.21443772817162418,0.12024318426847458,nan,nan,0,0,0,
6600,adamw,2,113,0.3,128,4,512,0.10637885332107544,1.0,9.782679557800293,0.008390200324356556,315.63292975000513,30.312290067951416,9.220762267425084,6.496028423309326,0.45207806905044096,0.21144839565805554,0.12651695311069489,nan,nan,0,0,0,
6700,adamw,2,113,0.3,128,4,512,0.10912557691335678,1.0,9.664703369140625,0.010515717789530754,318.90498258400476,30.463371504018614,9.238152640271124,6.569356441497803,0.2579880986808008,0.20546558737188886,0.12095904350280762,nan,nan,0,0,0,
6800,adamw,2,113,0.3,128,4,512,0.11975598335266113,1.0,9.374909400939941,0.009844501502811909,322.2044617920037,30.20118628565911,9.050361629501921,6.355535984039307,0.4598413796876067,0.23394218304069958,0.08808048069477081,nan,nan,0,0,0,
6900,adamw,2,113,0.3,128,4,512,0.11996310204267502,1.0,9.064579963684082,0.010180109180510044,325.48207945900504,30.326993330009255,9.104694055119419,6.3582963943481445,0.19544236979051172,0.21957827273259475,0.08880103379487991,nan,nan,0,0,0,
7000,adamw,2,113,0.3,128,4,512,0.12622299790382385,1.0,9.184603691101074,0.011746279895305634,328.759957125003,30.568641559684078,9.138744286083178,6.352928638458252,1.5299048135799223,0.39746346681230765,0.43463578820228577,nan,nan,0,0,0,
7100,adamw,2,113,0.3,128,4,512,0.10792449116706848,1.0,9.179525375366211,0.01219375804066658,332.0746601250139,30.306133811987458,8.95699901134521,6.236679553985596,2.753961834706698,0.4621816538725244,0.08528096973896027,nan,nan,0,0,0,
7200,adamw,2,113,0.3,128,4,512,0.11176642775535583,1.0,8.83065414428711,0.012976842932403088,335.38110608400893,30.384552861258648,8.985111339905172,6.270078659057617,0.19096778281621166,0.20939406632906923,0.08816312253475189,nan,nan,0,0,0,
7300,adamw,2,113,0.3,128,4,512,0.5996328592300415,0.8926892876625061,8.037712097167969,0.017116008326411247,338.720460542012,30.14334213646567,8.909508549342357,6.151705265045166,18.586194483611607,3.721374504769444,2.5704169273376465,nan,nan,1,0,0,
7400,adamw,2,113,0.3,128,4,512,0.103655144572258,1.0,8.806540489196777,0.014207405969500542,342.06836362500326,30.372637921691663,8.882778767844155,6.174413681030273,0.3548862385282173,0.20406098972901174,0.08030907809734344,nan,nan,0,0,0,
