run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
seed1_adamw_stable,1,adamw,regular_stride,50000,50000,checkpoints/seedstudy_adamw_stable_seed_1/step_050000.pt
seed1_adamw_stable,1,adamw,regular_stride,75000,75000,checkpoints/seedstudy_adamw_stable_seed_1/step_075000.pt
seed1_adamw_stable,1,adamw,regular_stride,100000,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,initial,0,0,checkpoints/seedstudy_adamw_stable_seed_1/step_000000.pt
seed1_adamw_stable,1,adamw,final,100000,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,maximum_test_accuracy,8800,9000,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt
seed1_adamw_stable,1,adamw,grokking_before,8300,8000,checkpoints/seedstudy_adamw_stable_seed_1/step_008000.pt
seed1_adamw_stable,1,adamw,grokking_after,8300,9000,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt
seed1_adamw_stable,1,adamw,minimum_post_grokking_accuracy,99700,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,first_post_grokking_below_90_before,99700,99000,checkpoints/seedstudy_adamw_stable_seed_1/step_099000.pt
seed1_adamw_stable,1,adamw,first_post_grokking_below_90_after,99700,100000,checkpoints/seedstudy_adamw_stable_seed_1/step_100000.pt
seed1_adamw_stable,1,adamw,first_99_before,8400,8000,checkpoints/seedstudy_adamw_stable_seed_1/step_008000.pt
seed1_adamw_stable,1,adamw,first_99_after,8400,9000,checkpoints/seedstudy_adamw_stable_seed_1/step_009000.pt
seed2_muon,1,muon,regular_stride,0,0,checkpoints/seedstudy_muon_seed_2/step_000000.pt
seed2_muon,1,muon,regular_stride,25000,25000,checkpoints/seedstudy_muon_seed_2/step_025000.pt
seed2_muon,1,muon,regular_stride,50000,50000,checkpoints/seedstudy_muon_seed_2/step_050000.pt
seed2_muon,1,muon,regular_stride,75000,75000,checkpoints/seedstudy_muon_seed_2/step_075000.pt
seed2_muon,1,muon,regular_stride,100000,100000,checkpoints/seedstudy_muon_seed_2/step_100000.pt
seed2_muon,1,muon,initial,0,0,checkpoints/seedstudy_muon_seed_2/step_000000.pt
seed2_muon,1,muon,final,100000,100000,checkpoints/seedstudy_muon_seed_2/step_100000.pt
seed2_muon,1,muon,maximum_test_accuracy,7400,7000,checkpoints/seedstudy_muon_seed_2/step_007000.pt
seed2_muon,1,muon,grokking_before,5400,5000,checkpoints/seedstudy_muon_seed_2/step_005000.pt
seed2_muon,1,muon,grokking_after,5400,6000,checkpoints/seedstudy_muon_seed_2/step_006000.pt
seed2_muon,1,muon,minimum_post_grokking_accuracy,89100,89000,checkpoints/seedstudy_muon_seed_2/step_089000.pt
seed2_muon,1,muon,first_post_grokking_below_90_before,16300,16000,checkpoints/seedstudy_muon_seed_2/step_016000.pt
seed2_muon,1,muon,first_post_grokking_below_90_after,16300,17000,checkpoints/seedstudy_muon_seed_2/step_017000.pt
seed2_muon,1,muon,first_99_before,5600,5000,checkpoints/seedstudy_muon_seed_2/step_005000.pt
seed2_muon,1,muon,first_99_after,5600,6000,checkpoints/seedstudy_muon_seed_2/step_006000.pt
seed2_stable_muon,1,stable_muon,regular_stride,0,0,checkpoints/seedstudy_stable_muon_seed_2/step_000000.pt
seed2_stable_muon,1,stable_muon,regular_stride,25000,25000,checkpoints/seedstudy_stable_muon_seed_2/step_025000.pt
seed2_stable_muon,1,stable_muon,regular_stride,50000,50000,checkpoints/seedstudy_stable_muon_seed_2/step_050000.pt
seed2_stable_muon,1,stable_muon,regular_stride,75000,75000,checkpoints/seedstudy_stable_muon_seed_2/step_075000.pt
seed2_stable_muon,1,stable_muon,regular_stride,100000,100000,checkpoints/seedstudy_stable_muon_seed_2/step_100000.pt
seed2_stable_muon,1,stable_muon,initial,0,0,checkpoints/seedstudy_stable_muon_seed_2/step_000000.pt
seed2_stable_muon,1,stable_muon,final,100000,100000,checkpoints/seedstudy_stable_muon_seed_2/step_100000.pt
seed2_stable_muon,1,stable_muon,maximum_test_accuracy,7400,7000,checkpoints/seedstudy_stable_muon_seed_2/step_007000.pt
seed2_stable_muon,1,stable_muon,grokking_before,5400,5000,checkpoints/seedstudy_stable_muon_seed_2/step_005000.pt
seed2_stable_muon,1,stable_muon,grokking_after,5400,6000,checkpoints/seedstudy_stable_muon_seed_2/step_006000.pt
seed2_stable_muon,1,stable_muon,minimum_post_grokking_accuracy,5400,5000,checkpoints/seedstudy_stable_muon_seed_2/step_005000.pt
seed2_stable_muon,1,stable_muon,first_99_before,5600,5000,checkpoints/seedstudy_stable_muon_seed_2/step_005000.pt
seed2_stable_muon,1,stable_muon,first_99_after,5600,6000,checkpoints/seedstudy_stable_muon_seed_2/step_006000.pt
seed2_stable_muon,1,stable_muon,freeze_before,7500,7000,checkpoints/seedstudy_stable_muon_seed_2/step_007000.pt
seed2_stable_muon,1,stable_muon,freeze_after,7500,8000,checkpoints/seedstudy_stable_muon_seed_2/step_008000.pt
seed2_adamw_stable,1,adamw,regular_stride,0,0,checkpoints/seedstudy_adamw_stable_seed_2/step_000000.pt
seed2_adamw_stable,1,adamw,regular_stride,25000,25000,checkpoints/seedstudy_adamw_stable_seed_2/step_025000.pt
seed2_adamw_stable,1,adamw,regular_stride,50000,50000,checkpoints/seedstudy_adamw_stable_seed_2/step_050000.pt
seed2_adamw_stable,1,adamw,regular_stride,75000,75000,checkpoints/seedstudy_adamw_stable_seed_2/step_075000.pt
seed2_adamw_stable,1,adamw,regular_stride,100000,100000,checkpoints/seedstudy_adamw_stable_seed_2/step_100000.pt
seed2_adamw_stable,1,adamw,initial,0,0,checkpoints/seedstudy_adamw_stable_seed_2/step_000000.pt
seed2_adamw_stable,1,adamw,final,100000,100000,checkpoints/seedstudy_adamw_stable_seed_2/step_100000.pt
seed2_adamw_stable,1,adamw,maximum_test_accuracy,4100,4000,checkpoints/seedstudy_adamw_stable_seed_2/step_004000.pt
seed2_adamw_stable,1,adamw,grokking_before,4000,4000,checkpoints/seedstudy_adamw_stable_seed_2/step_004000.pt
seed2_adamw_stable,1,adamw,grokking_after,4000,4000,checkpoints/seedstudy_adamw_stable_seed_2/step_004000.pt
seed2_adamw_stable,1,adamw,minimum_post_grokking_accuracy,22100,22000,checkpoints/seedstudy_adamw_stable_seed_2/step_022000.pt
seed2_adamw_stable,1,adamw,first_post_grokking_below_90_before,22100,22000,checkpoints/seedstudy_adamw_stable_seed_2/step_022000.pt
seed2_adamw_stable,1,adamw,first_post_grokking_below_90_after,22100,23000,checkpoints/seedstudy_adamw_stable_seed_2/step_023000.pt
seed2_adamw_stable,1,adamw,first_99_before,4000,4000,checkpoints/seedstudy_adamw_stable_seed_2/step_004000.pt
seed2_adamw_stable,1,adamw,first_99_after,4000,4000,checkpoints/seedstudy_adamw_stable_seed_2/step_004000.pt
seed3_muon,1,muon,regular_stride,0,0,checkpoints/seedstudy_muon_seed_3/step_000000.pt
seed3_muon,1,muon,regular_stride,25000,25000,checkpoints/seedstudy_muon_seed_3/step_025000.pt
seed3_muon,1,muon,regular_stride,50000,50000,checkpoints/seedstudy_muon_seed_3/step_050000.pt
seed3_muon,1,muon,regular_stride,75000,75000,checkpoints/seedstudy_muon_seed_3/step_075000.pt
seed3_muon,1,muon,regular_stride,100000,100000,checkpoints/seedstudy_muon_seed_3/step_100000.pt
seed3_muon,1,muon,initial,0,0,checkpoints/seedstudy_muon_seed_3/step_000000.pt
seed3_muon,1,muon,final,100000,100000,checkpoints/seedstudy_muon_seed_3/step_100000.pt
seed3_muon,1,muon,maximum_test_accuracy,6200,6000,checkpoints/seedstudy_muon_seed_3/step_006000.pt
seed3_muon,1,muon,grokking_before,5400,5000,checkpoints/seedstudy_muon_seed_3/step_005000.pt
seed3_muon,1,muon,grokking_after,5400,6000,checkpoints/seedstudy_muon_seed_3/step_006000.pt
seed3_muon,1,muon,minimum_post_grokking_accuracy,61300,61000,checkpoints/seedstudy_muon_seed_3/step_061000.pt
seed3_muon,1,muon,first_post_grokking_below_90_before,17000,17000,checkpoints/seedstudy_muon_seed_3/step_017000.pt
