run,depth,regime,step,checkpoint,stage_name,stage_kind,layer,stage_order,representative_k,representative_l,conjugate_k,conjugate_l,family,pair_power,rank,pair_power_fraction_total,pair_power_fraction_non_dc
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,23,0,90,b_only,7.070626306671102e-09,1,2.0859370678588894e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,45,0,68,0,a_only,6.981134781369747e-09,2,2.0595357730104824e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,45,0,68,b_only,6.575203492786841e-09,3,1.939780169315247e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,23,0,90,0,a_only,6.420945553031743e-09,4,1.8942718450748455e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,5,0,108,0,a_only,4.900948091801638e-09,5,1.4458506006315044e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,5,0,108,b_only,4.443238665885474e-09,6,1.31081969722679e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,36,0,77,0,a_only,4.322096458508895e-09,7,1.275080993201287e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,54,0,59,b_only,4.255911179029681e-09,8,1.255555378096719e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,54,0,59,0,a_only,4.202420189614031e-09,9,1.2397747622390716e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,6,0,107,b_only,4.012233212336014e-09,10,1.1836668520594669e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,36,0,77,b_only,3.905004763993247e-09,11,1.1520329082720353e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,11,0,102,b_only,3.769792478180989e-09,12,1.1121433275230692e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,27,0,86,0,a_only,3.6931289137953627e-09,13,1.089526466757102e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,6,0,107,0,a_only,3.5462788261497735e-09,14,1.0462035660758358e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,11,0,102,0,a_only,3.442367280115377e-09,15,1.0155481564628051e-15,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,9,0,104,0,a_only,3.244401192148416e-09,16,9.571452960712601e-16,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,9,0,104,b_only,3.17665316273974e-09,17,9.3715864712552e-16,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,56,0,57,0,a_only,3.1655327248358844e-09,18,9.338779570383364e-16,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,35,0,78,b_only,3.0136200201980046e-09,19,8.890615110915498e-16,0.0
no_ns_depth1_lr_0p3,1,muon_no_ns,0,checkpoints/no_ns_depth_1_lr_0p3_seed_0/step_000000.pt,input_residual,input_residual,0,0,0,27,0,86,b_only,3.0080911095353713e-09,20,8.874304024463106e-16,0.0
