step,branch_step,branch,stage_name,stage_kind,layer,stage_order,representative_k,representative_l,conjugate_k,conjugate_l,family,pair_power,rank,pair_power_fraction_total,pair_power_fraction_non_dc
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,38,0,75,b_only,14.234736442565918,3,0.05553779605566307,0.1518850730609569
126200,126200,control,layer_1_attention_output,attention_output,1,1,38,0,75,0,a_only,14.234736442565918,4,0.05553779605566307,0.1518850730609569
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,9,0,104,b_only,7.532815933227539,5,0.029389795639168756,0.080375376318999
126200,126200,control,layer_1_attention_output,attention_output,1,1,9,0,104,0,a_only,7.532814979553223,6,0.0293897919183433,0.08037536614326489
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,37,0,76,b_only,0.5315350294113159,7,0.0020738202058741655,0.005671495015192778
126200,126200,control,layer_1_attention_output,attention_output,1,1,37,0,76,0,a_only,0.5315350294113159,8,0.0020738202058741655,0.005671495015192778
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,27,0,86,b_only,0.43798571825027466,9,0.0017088311816395065,0.0046733210048887485
126200,126200,control,layer_1_attention_output,attention_output,1,1,27,0,86,0,a_only,0.43798568844795227,10,0.001708831065363711,0.004673320686897057
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,41,0,72,b_only,0.36338257789611816,11,0.0014177619362889904,0.00387730321636232
126200,126200,control,layer_1_attention_output,attention_output,1,1,41,0,72,0,a_only,0.36338257789611816,12,0.0014177619362889904,0.00387730321636232
126200,126200,control,layer_1_attention_output,attention_output,1,1,1,0,112,0,a_only,0.36188599467277527,13,0.0014119229146693276,0.0038613346276120905
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,1,0,112,b_only,0.3618859350681305,14,0.0014119226821177368,0.0038613339916287086
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,54,0,59,b_only,0.2714275121688843,15,0.0010589929694556546,0.002896139853580141
126200,126200,control,layer_1_attention_output,attention_output,1,1,54,0,59,0,a_only,0.2714275121688843,16,0.0010589929694556546,0.002896139853580141
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,45,0,68,b_only,0.2702958881855011,17,0.0010545778612269627,0.002884065391078698
126200,126200,control,layer_1_attention_output,attention_output,1,1,45,0,68,0,a_only,0.2702958881855011,18,0.0010545778612269627,0.002884065391078698
126200,126200,control,layer_1_attention_output,attention_output,1,1,0,18,0,95,b_only,0.26813364028930664,19,0.0010461417034403288,0.0028609941399168324
126200,126200,control,layer_1_attention_output,attention_output,1,1,18,0,95,0,a_only,0.26813364028930664,20,0.0010461417034403288,0.0028609941399168324
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,36,0,77,b_only,16.129470825195312,1,0.06293023160560822,0.17210194685401306
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,36,0,77,0,a_only,16.129470825195312,2,0.06293023160560822,0.17210194685401306
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,38,0,75,b_only,14.234736442565918,3,0.05553779605566307,0.1518850730609569
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,38,0,75,0,a_only,14.234736442565918,4,0.05553779605566307,0.1518850730609569
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,9,0,104,b_only,7.532815933227539,5,0.029389795639168756,0.080375376318999
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,9,0,104,0,a_only,7.532814979553223,6,0.0293897919183433,0.08037536614326489
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,37,0,76,b_only,0.5315350294113159,7,0.0020738202058741655,0.005671495015192778
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,37,0,76,0,a_only,0.5315350294113159,8,0.0020738202058741655,0.005671495015192778
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,27,0,86,b_only,0.43798571825027466,9,0.0017088311816395065,0.0046733210048887485
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,27,0,86,0,a_only,0.43798568844795227,10,0.001708831065363711,0.004673320686897057
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,41,0,72,b_only,0.36338257789611816,11,0.0014177619362889904,0.00387730321636232
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,41,0,72,0,a_only,0.36338257789611816,12,0.0014177619362889904,0.00387730321636232
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,1,0,112,0,a_only,0.36188599467277527,13,0.0014119229146693276,0.0038613346276120905
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,1,0,112,b_only,0.3618859350681305,14,0.0014119226821177368,0.0038613339916287086
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,54,0,59,b_only,0.2714275121688843,15,0.0010589929694556546,0.002896139853580141
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,54,0,59,0,a_only,0.2714275121688843,16,0.0010589929694556546,0.002896139853580141
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,45,0,68,b_only,0.2702958881855011,17,0.0010545778612269627,0.002884065391078698
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,45,0,68,0,a_only,0.2702958881855011,18,0.0010545778612269627,0.002884065391078698
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,0,18,0,95,b_only,0.26813364028930664,19,0.0010461417034403288,0.0028609941399168324
126200,126200,freeze,layer_1_attention_output,attention_output,1,1,18,0,95,0,a_only,0.26813364028930664,20,0.0010461417034403288,0.0028609941399168324
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,36,0,77,b_only,16.129470825195312,1,0.020938191569158163,0.1721020309147094
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,36,0,77,0,a_only,16.129470825195312,2,0.020938191569158163,0.1721020309147094
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,38,0,75,b_only,14.234736442565918,3,0.01847857513746506,0.15188514724701485
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,38,0,75,0,a_only,14.234736442565918,4,0.01847857513746506,0.15188514724701485
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,9,0,104,b_only,7.532814979553223,5,0.00977859254071342,0.08037540540144512
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,9,0,104,0,a_only,7.532814979553223,6,0.00977859254071342,0.08037540540144512
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,37,0,76,b_only,0.5315351486206055,7,0.0006900030936026958,0.005671499057319531
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,37,0,76,0,a_only,0.5315350890159607,8,0.0006900030162279645,0.005671498421335838
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,27,0,86,b_only,0.43798571825027466,9,0.0005685635302402139,0.004673323287504518
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,27,0,86,0,a_only,0.43798571825027466,10,0.0005685635302402139,0.004673323287504518
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,41,0,72,b_only,0.36338260769844055,11,0.00047171880189677976,0.0038773054281666087
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,41,0,72,0,a_only,0.36338260769844055,12,0.00047171880189677976,0.0038773054281666087
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,1,0,112,b_only,0.36188599467277527,13,0.00046977599976917816,0.0038613365136249077
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,1,0,112,0,a_only,0.36188599467277527,14,0.00046977599976917816,0.0038613365136249077
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,54,0,59,b_only,0.27142763137817383,15,0.0003523490512832885,0.0028961425401249742
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,54,0,59,0,a_only,0.27142760157585144,16,0.0003523490125959229,0.002896142222133128
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,45,0,68,b_only,0.2702958583831787,17,0.0003508798598858255,0.0028840664817667036
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,45,0,68,0,a_only,0.27029579877853394,18,0.00035087978251109424,0.002884065845783011
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,18,0,95,0,a_only,0.26813364028930664,19,0.00034807301413406817,0.0028609955373278674
126200,126200,control,layer_1_post_attention_residual,post_attention_residual,1,2,0,18,0,95,b_only,0.26813358068466187,20,0.00034807293675933687,0.0028609949013441746
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,36,0,77,b_only,16.129470825195312,1,0.020938191569158163,0.1721020309147094
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,36,0,77,0,a_only,16.129470825195312,2,0.020938191569158163,0.1721020309147094
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,38,0,75,b_only,14.234736442565918,3,0.01847857513746506,0.15188514724701485
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,38,0,75,0,a_only,14.234736442565918,4,0.01847857513746506,0.15188514724701485
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,9,0,104,b_only,7.532814979553223,5,0.00977859254071342,0.08037540540144512
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,9,0,104,0,a_only,7.532814979553223,6,0.00977859254071342,0.08037540540144512
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,37,0,76,b_only,0.5315351486206055,7,0.0006900030936026958,0.005671499057319531
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,37,0,76,0,a_only,0.5315350890159607,8,0.0006900030162279645,0.005671498421335838
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,27,0,86,b_only,0.43798571825027466,9,0.0005685635302402139,0.004673323287504518
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,27,0,86,0,a_only,0.43798571825027466,10,0.0005685635302402139,0.004673323287504518
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,41,0,72,b_only,0.36338260769844055,11,0.00047171880189677976,0.0038773054281666087
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,41,0,72,0,a_only,0.36338260769844055,12,0.00047171880189677976,0.0038773054281666087
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,1,0,112,b_only,0.36188599467277527,13,0.00046977599976917816,0.0038613365136249077
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,1,0,112,0,a_only,0.36188599467277527,14,0.00046977599976917816,0.0038613365136249077
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,54,0,59,b_only,0.27142763137817383,15,0.0003523490512832885,0.0028961425401249742
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,54,0,59,0,a_only,0.27142760157585144,16,0.0003523490125959229,0.002896142222133128
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,45,0,68,b_only,0.2702958583831787,17,0.0003508798598858255,0.0028840664817667036
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,45,0,68,0,a_only,0.27029579877853394,18,0.00035087978251109424,0.002884065845783011
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,18,0,95,0,a_only,0.26813364028930664,19,0.00034807301413406817,0.0028609955373278674
126200,126200,freeze,layer_1_post_attention_residual,post_attention_residual,1,2,0,18,0,95,b_only,0.26813358068466187,20,0.00034807293675933687,0.0028609949013441746
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,38,0,75,b_only,21.71404266357422,1,0.0073883007236721435,0.20347631638549918
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,38,0,75,0,a_only,21.714038848876953,2,0.007388299425704234,0.2034762806390212
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,0,36,0,77,b_only,9.775538444519043,3,0.003326170943059041,0.09160387976543446
126200,126200,control,layer_1_mlp_activation,mlp_activation,1,3,36,0,77,0,a_only,9.775537490844727,4,0.0033261706185670633,0.09160387082881498
