Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Update hidden Muon group: True
Update auxiliary AdamW group: True
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/group_historical/trajectory.csv
step= 16570 | train_acc=1.0000 | test_acc=0.9985 | hidden_delta=60.8828 | aux_delta=0.4993
step= 16580 | train_acc=1.0000 | test_acc=0.9982 | hidden_delta=61.7004 | aux_delta=0.5222
step= 16590 | train_acc=1.0000 | test_acc=0.9980 | hidden_delta=62.5051 | aux_delta=0.5459
step= 16600 | train_acc=1.0000 | test_acc=0.9978 | hidden_delta=63.3028 | aux_delta=0.5703
step= 16610 | train_acc=1.0000 | test_acc=0.9975 | hidden_delta=64.0880 | aux_delta=0.5956
step= 16620 | train_acc=1.0000 | test_acc=0.9972 | hidden_delta=64.8537 | aux_delta=0.6222
step= 16630 | train_acc=1.0000 | test_acc=0.9969 | hidden_delta=65.5971 | aux_delta=0.6501
step= 16640 | train_acc=1.0000 | test_acc=0.9965 | hidden_delta=66.3302 | aux_delta=0.6791
step= 16650 | train_acc=1.0000 | test_acc=0.9962 | hidden_delta=67.0628 | aux_delta=0.7088
step= 16660 | train_acc=1.0000 | test_acc=0.9957 | hidden_delta=67.7969 | aux_delta=0.7392
step= 16670 | train_acc=1.0000 | test_acc=0.9950 | hidden_delta=68.5333 | aux_delta=0.7707
step= 16680 | train_acc=1.0000 | test_acc=0.9942 | hidden_delta=69.2707 | aux_delta=0.8038
step= 16690 | train_acc=1.0000 | test_acc=0.9940 | hidden_delta=70.0091 | aux_delta=0.8386
step= 16700 | train_acc=1.0000 | test_acc=0.9931 | hidden_delta=70.7610 | aux_delta=0.8745
step= 16710 | train_acc=1.0000 | test_acc=0.9919 | hidden_delta=71.5357 | aux_delta=0.9109
step= 16720 | train_acc=1.0000 | test_acc=0.9914 | hidden_delta=72.3348 | aux_delta=0.9476
step= 16730 | train_acc=1.0000 | test_acc=0.9903 | hidden_delta=73.1531 | aux_delta=0.9854
step= 16740 | train_acc=1.0000 | test_acc=0.9896 | hidden_delta=73.9859 | aux_delta=1.0248
step= 16750 | train_acc=1.0000 | test_acc=0.9884 | hidden_delta=74.8306 | aux_delta=1.0666
step= 16760 | train_acc=1.0000 | test_acc=0.9874 | hidden_delta=75.6923 | aux_delta=1.1108
step= 16770 | train_acc=0.9768 | test_acc=0.7625 | hidden_delta=76.3335 | aux_delta=2.2426
step= 16780 | train_acc=0.9974 | test_acc=0.7483 | hidden_delta=77.3543 | aux_delta=4.1816
step= 16790 | train_acc=1.0000 | test_acc=0.7591 | hidden_delta=79.4754 | aux_delta=4.9133
step= 16800 | train_acc=1.0000 | test_acc=0.7547 | hidden_delta=82.6530 | aux_delta=5.1433
step= 16810 | train_acc=1.0000 | test_acc=0.7444 | hidden_delta=86.6663 | aux_delta=5.1831
step= 16820 | train_acc=1.0000 | test_acc=0.7304 | hidden_delta=91.2793 | aux_delta=5.1559
step= 16830 | train_acc=1.0000 | test_acc=0.7193 | hidden_delta=96.2935 | aux_delta=5.1065
step= 16840 | train_acc=1.0000 | test_acc=0.7126 | hidden_delta=101.5502 | aux_delta=5.0505
step= 16850 | train_acc=1.0000 | test_acc=0.7116 | hidden_delta=106.9420 | aux_delta=4.9933
step= 16860 | train_acc=1.0000 | test_acc=0.7120 | hidden_delta=112.3921 | aux_delta=4.9364
step= 16870 | train_acc=1.0000 | test_acc=0.7096 | hidden_delta=117.8622 | aux_delta=4.8803
step= 16880 | train_acc=1.0000 | test_acc=0.7136 | hidden_delta=123.3073 | aux_delta=4.8249
step= 16890 | train_acc=1.0000 | test_acc=0.7159 | hidden_delta=128.6840 | aux_delta=4.7703
step= 16900 | train_acc=1.0000 | test_acc=0.7185 | hidden_delta=133.9719 | aux_delta=4.7163
step= 16910 | train_acc=1.0000 | test_acc=0.7225 | hidden_delta=139.1577 | aux_delta=4.6631
step= 16920 | train_acc=1.0000 | test_acc=0.7231 | hidden_delta=144.2446 | aux_delta=4.6105
step= 16930 | train_acc=1.0000 | test_acc=0.7247 | hidden_delta=149.2207 | aux_delta=4.5586
step= 16940 | train_acc=1.0000 | test_acc=0.7275 | hidden_delta=154.0830 | aux_delta=4.5072
step= 16950 | train_acc=1.0000 | test_acc=0.7288 | hidden_delta=158.8317 | aux_delta=4.4566
step= 16960 | train_acc=1.0000 | test_acc=0.7327 | hidden_delta=163.4602 | aux_delta=4.4065
step= 16970 | train_acc=1.0000 | test_acc=0.7418 | hidden_delta=167.9641 | aux_delta=4.3571
step= 16980 | train_acc=1.0000 | test_acc=0.7513 | hidden_delta=172.3466 | aux_delta=4.3082
step= 16990 | train_acc=1.0000 | test_acc=0.7523 | hidden_delta=176.6028 | aux_delta=4.2600
step= 17000 | train_acc=1.0000 | test_acc=0.7568 | hidden_delta=180.7228 | aux_delta=4.2124
step= 17010 | train_acc=1.0000 | test_acc=0.7591 | hidden_delta=184.6927 | aux_delta=4.1654
step= 17020 | train_acc=1.0000 | test_acc=0.7606 | hidden_delta=188.4878 | aux_delta=4.1190
step= 17030 | train_acc=1.0000 | test_acc=0.7631 | hidden_delta=192.1019 | aux_delta=4.0732
step= 17040 | train_acc=1.0000 | test_acc=0.7597 | hidden_delta=195.4973 | aux_delta=4.0279
step= 17050 | train_acc=1.0000 | test_acc=0.7590 | hidden_delta=198.5996 | aux_delta=3.9833
step= 17060 | train_acc=1.0000 | test_acc=0.7600 | hidden_delta=201.3099 | aux_delta=3.9392
step= 17070 | train_acc=1.0000 | test_acc=0.7626 | hidden_delta=203.5527 | aux_delta=3.8957
step= 17080 | train_acc=1.0000 | test_acc=0.7736 | hidden_delta=205.1190 | aux_delta=3.8528
step= 17090 | train_acc=1.0000 | test_acc=0.7838 | hidden_delta=205.9497 | aux_delta=3.8104
step= 17100 | train_acc=1.0000 | test_acc=0.7885 | hidden_delta=206.1240 | aux_delta=3.7686
step= 17110 | train_acc=1.0000 | test_acc=0.7895 | hidden_delta=205.8717 | aux_delta=3.7274
step= 17120 | train_acc=1.0000 | test_acc=0.7949 | hidden_delta=205.3859 | aux_delta=3.6868
step= 17130 | train_acc=1.0000 | test_acc=0.7966 | hidden_delta=204.7935 | aux_delta=3.6466
step= 17140 | train_acc=1.0000 | test_acc=0.7993 | hidden_delta=204.1755 | aux_delta=3.6071
step= 17150 | train_acc=1.0000 | test_acc=0.7995 | hidden_delta=203.5812 | aux_delta=3.5681
step= 17160 | train_acc=1.0000 | test_acc=0.8017 | hidden_delta=203.0338 | aux_delta=3.5296
step= 17170 | train_acc=1.0000 | test_acc=0.8018 | hidden_delta=202.5416 | aux_delta=3.4916
step= 17180 | train_acc=1.0000 | test_acc=0.7992 | hidden_delta=202.1101 | aux_delta=3.4542
step= 17190 | train_acc=1.0000 | test_acc=0.7979 | hidden_delta=201.7414 | aux_delta=3.4174
step= 17200 | train_acc=1.0000 | test_acc=0.7958 | hidden_delta=201.4262 | aux_delta=3.3810
step= 17210 | train_acc=1.0000 | test_acc=0.7971 | hidden_delta=201.1648 | aux_delta=3.3452
step= 17220 | train_acc=1.0000 | test_acc=0.7955 | hidden_delta=200.9602 | aux_delta=3.3099
step= 17230 | train_acc=1.0000 | test_acc=0.7952 | hidden_delta=200.8109 | aux_delta=3.2752
step= 17240 | train_acc=1.0000 | test_acc=0.7951 | hidden_delta=200.7124 | aux_delta=3.2409
step= 17250 | train_acc=1.0000 | test_acc=0.7934 | hidden_delta=200.6637 | aux_delta=3.2072
step= 17260 | train_acc=1.0000 | test_acc=0.7923 | hidden_delta=200.6573 | aux_delta=3.1739
step= 17270 | train_acc=1.0000 | test_acc=0.7907 | hidden_delta=200.6909 | aux_delta=3.1412
step= 17280 | train_acc=1.0000 | test_acc=0.7890 | hidden_delta=200.7604 | aux_delta=3.1090
step= 17290 | train_acc=1.0000 | test_acc=0.7887 | hidden_delta=200.8611 | aux_delta=3.0773
step= 17300 | train_acc=1.0000 | test_acc=0.7881 | hidden_delta=200.9926 | aux_delta=3.0461
step= 17310 | train_acc=1.0000 | test_acc=0.7870 | hidden_delta=201.1510 | aux_delta=3.0153
step= 17320 | train_acc=1.0000 | test_acc=0.7869 | hidden_delta=201.3337 | aux_delta=2.9851
step= 17330 | train_acc=1.0000 | test_acc=0.7867 | hidden_delta=201.5401 | aux_delta=2.9554
step= 17340 | train_acc=1.0000 | test_acc=0.7866 | hidden_delta=201.7664 | aux_delta=2.9261
step= 17350 | train_acc=1.0000 | test_acc=0.7868 | hidden_delta=202.0088 | aux_delta=2.8973
step= 17360 | train_acc=1.0000 | test_acc=0.7862 | hidden_delta=202.2688 | aux_delta=2.8690
step= 17370 | train_acc=1.0000 | test_acc=0.7852 | hidden_delta=202.5423 | aux_delta=2.8412
step= 17380 | train_acc=1.0000 | test_acc=0.7850 | hidden_delta=202.8305 | aux_delta=2.8139
step= 17390 | train_acc=1.0000 | test_acc=0.7844 | hidden_delta=203.1309 | aux_delta=2.7870
step= 17400 | train_acc=1.0000 | test_acc=0.7827 | hidden_delta=203.4420 | aux_delta=2.7606
step= 17410 | train_acc=1.0000 | test_acc=0.7829 | hidden_delta=203.7644 | aux_delta=2.7347
