step,local_step,arm,train_loss,train_loss64,train_accurate_loss64,train_objective_loss,train_accuracy,train_minimum_margin,test_loss,test_loss64,test_accurate_loss64,test_objective_loss,test_accuracy,test_minimum_margin,max_abs_logit,last_training_loss,elapsed_seconds
15000,0,stable32,3.5330143077771936e-07,4.1469371388177976e-07,4.146937138801782e-07,4.146937158111541e-07,1.0,14.249488830566406,0.00026217347476631403,0.00026222789839400206,0.000262227898394005,0.0002622278989292681,1.0,3.1151623725891113,23.566619873046875,,0.11689454107545316
15010,10,stable32,3.119050120403699e-07,3.791280428891326e-07,3.791280428966397e-07,3.7912803918516147e-07,1.0,14.243894577026367,0.00024707074044272304,0.0002471327136090518,0.0002471327136090562,0.0002471327024977654,1.0,3.1883625984191895,23.608755111694336,3.834943242964073e-07,1.177234249887988
15020,20,stable32,2.841102570982912e-07,3.4108821527064484e-07,3.410882152641118e-07,3.410881959098333e-07,1.0,14.295991897583008,0.00023295276332646608,0.000233012300950575,0.0002330123009505748,0.00023301229521166533,1.0,3.260496139526367,23.605792999267578,3.441867022502265e-07,2.3904914578888565
15030,30,stable32,2.6963707000504655e-07,3.192864727655846e-07,3.192864727625702e-07,3.1928644261824957e-07,1.0,14.328388214111328,0.00023051502648741007,0.00023057529212946527,0.0002305752921294586,0.0002305752714164555,1.0,3.1683218479156494,23.640043258666992,3.2080089340524864e-07,3.396680915961042
15040,40,stable32,2.6188689616901684e-07,3.0931284624752056e-07,3.093128462522127e-07,3.0931283845347934e-07,1.0,14.349691390991211,0.00023193667584564537,0.00023199558059604946,0.0002319955805960497,0.00023199556744657457,1.0,3.12309193611145,23.620452880859375,3.099729326550005e-07,4.2597840409725904
15050,50,stable32,2.5849425355772837e-07,3.049426240118912e-07,3.0494262400810565e-07,3.0494263114633213e-07,1.0,14.36872386932373,0.00023943303676787764,0.00023948956294943775,0.00023948956294944112,0.00023948955640662462,1.0,3.080721378326416,23.624723434448242,3.0527871786034666e-07,5.390161165967584
15060,60,stable32,2.552883699991071e-07,3.017918808937087e-07,3.0179188088819424e-07,3.0179188570400584e-07,1.0,14.35741901397705,0.00024284237588290125,0.00024289875071091706,0.00024289875071091307,0.00024289876455441117,1.0,3.0656814575195312,23.673038482666016,3.021073382569739e-07,6.224035666091368
15070,70,stable32,2.5261164182666107e-07,2.9839247226997215e-07,2.9839247226423895e-07,2.9839247872587293e-07,1.0,14.346090316772461,0.0002483001444488764,0.00024835781552938956,0.00024835781552939054,0.00024835779913701117,1.0,3.0026626586914062,23.685529708862305,2.987532070619636e-07,7.3328018330503255
15080,80,stable32,2.494680018116924e-07,2.9456312511656843e-07,2.9456312511486817e-07,2.945631081274769e-07,1.0,14.334845542907715,0.0002564587921369821,0.00025651573459566535,0.00025651573459566275,0.00025651571922935545,1.0,2.919912338256836,23.763568878173828,2.949575161892426e-07,8.266977708088234
15090,90,stable32,2.4573296286689583e-07,2.906858295631752e-07,2.906858295651502e-07,2.906858469486906e-07,1.0,14.325990676879883,0.00026377534959465265,0.00026383208140313546,0.0002638320814031308,0.0002638320729602128,1.0,2.8576769828796387,23.86687469482422,2.9106962529112934e-07,9.463514165952802
15100,100,stable32,2.4193570880015614e-07,2.868819916864414e-07,2.868819916748259e-07,2.868819706236536e-07,1.0,14.32390022277832,0.00026978470850735903,0.00026983908957380515,0.00026983908957380634,0.00026983910356648266,1.0,2.793381452560425,23.88176918029785,2.872584730084782e-07,10.594233040930703
15110,110,stable32,2.3798281745257555e-07,2.832256718593609e-07,2.832256718544618e-07,2.832256598139793e-07,1.0,14.331493377685547,0.0002748830593191087,0.0002749363282098196,0.0002749363282098157,0.00027493631932884455,1.0,2.7413601875305176,23.88607406616211,2.8357888481878035e-07,11.37840704107657
15120,120,stable32,2.3502592227941932e-07,2.7991603000341585e-07,2.799160300015198e-07,2.7991606543764647e-07,1.0,14.340222358703613,0.0002796931366901845,0.00027974667493470615,0.0002797466749347013,0.00027974668773822486,1.0,2.6863088607788086,23.881793975830078,2.8022967057950154e-07,12.163058999925852
15130,130,stable32,2.3234916568526387e-07,2.770120133351405e-07,2.770120133320076e-07,2.770120204331761e-07,1.0,14.337895393371582,0.00028497722814790905,0.00028502983433059556,0.0002850298343305937,0.00028502981876954436,1.0,2.6218080520629883,23.85945701599121,2.7728719942388125e-07,12.935225916095078
15140,140,stable32,2.296723948802537e-07,2.74442255000142e-07,2.744422549990008e-07,2.7444221473160724e-07,1.0,14.327052116394043,0.000289916672045365,0.00028996910817689404,0.00028996910817689464,0.000289969117147848,1.0,2.564809799194336,23.814586639404297,2.746862435287767e-07,13.69602616596967
15150,150,stable32,2.2755588702239038e-07,2.7206858060879044e-07,2.720685806006702e-07,2.7206857566852705e-07,1.0,14.31473159790039,0.00029466484556905925,0.00029471719799255405,0.0002947171979925574,0.0002947172033600509,1.0,2.5114784240722656,23.762346267700195,2.7230217369833554e-07,14.666936832945794
15160,160,stable32,2.2487913042823493e-07,2.697603917762934e-07,2.697603917726457e-07,2.697603918022651e-07,1.0,14.311186790466309,0.00029925882699899375,0.00029931270018302016,0.00029931270018302054,0.00029931269818916917,1.0,2.4611494541168213,23.71672821044922,2.699904655401042e-07,15.547049290966243
15170,170,stable32,2.2235799690406566e-07,2.675896621358526e-07,2.675896621283989e-07,2.6758965532280854e-07,1.0,14.31120491027832,0.0003035108675248921,0.0003035647573649981,0.00030356475736499893,0.00030356476781889796,1.0,2.4149580001831055,23.671072006225586,2.6779559902934125e-07,16.59916862496175
15180,180,stable32,2.203971121161885e-07,2.657657833196777e-07,2.6576578330705863e-07,2.6576577738524065e-07,1.0,14.30688762664795,0.0003080367168877274,0.0003080921958178044,0.00030809219581780516,0.0003080921887885779,1.0,2.367291212081909,23.622608184814453,2.659297138052352e-07,17.53540233289823
