step,local_step,branch,frozen_group,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,token_embedding_gradient_norm,position_embedding_gradient_norm,unembedding_gradient_norm,other_auxiliary_gradient_norm,hidden_delta_norm,token_embedding_delta_norm,position_embedding_delta_norm,unembedding_delta_norm,other_auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
16000,0,control,none,3.3347473049616383e-07,1.0,0.0017144985031336546,0.9998881220817566,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0
16010,10,control,none,3.339104921451508e-07,1.0,0.0016872237902134657,0.9998881220817566,2.1272493169249148e-07,2.948888203636792e-05,3.96789164369693e-06,2.7896185201825574e-06,2.908724854933098e-05,0.0,1.1305574261867772,0.0033400761894881725,0.00043070598621852696,0.0029355811420828104,0.0,0.8332503903358444,0.01943832077085972,0
16020,20,control,none,3.2874370958779764e-07,1.0,0.0016787023050710559,0.9998881220817566,2.1248625989588444e-07,2.9655922294451724e-05,3.93293112210813e-06,2.8132724310125923e-06,2.9259037546580657e-05,0.0,2.2456115643136196,0.00675039179623127,0.0008844149415381253,0.005816516932100058,0.0,0.8334880384197806,0.01962079294025898,0
16030,30,control,none,3.265026862209197e-07,1.0,0.0016767457127571106,0.9998881220817566,2.1306513972819437e-07,2.955120924816896e-05,3.916087734978646e-06,2.8489027954492485e-06,2.915170625783503e-05,0.0,3.353954155216158,0.010192608460783958,0.0013508652336895466,0.008732747286558151,0.0,0.8324886222379135,0.01963840238749981,0
16040,40,control,none,3.2550670425735007e-07,1.0,0.001675864215940237,0.9998881220817566,2.1412749210602953e-07,2.944753930691993e-05,3.897107944794698e-06,2.892053316827514e-06,2.9044898838037625e-05,0.0,4.463642061391718,0.013665353879332542,0.0018321869429200888,0.011665984988212585,0.0,0.8320361749667625,0.01973881945014,0
16050,50,control,none,3.2317231557499326e-07,1.0,0.0016762749291956425,0.9998881220817566,2.1516390708085992e-07,2.9324170377737898e-05,3.883139015670167e-06,2.8978672617085977e-06,2.8921109333168715e-05,0.0,5.582160779798788,0.017183059826493263,0.002329527400434017,0.014628893695771694,0.0,0.8321244397087879,0.019762888550758362,0
16060,60,control,none,3.2015316264732974e-07,1.0,0.0016785713378340006,0.9998881220817566,2.1579089597152013e-07,2.926121916611123e-05,3.889928393618902e-06,2.8989018119318644e-06,2.8856260541942902e-05,0.0,6.710632165110337,0.02074444107711315,0.0028403110336512327,0.01762797310948372,0.0,0.8327450784036302,0.0198159608989954,0
16070,70,control,none,3.1853465998210595e-07,1.0,0.0016864610370248556,0.9998881220817566,2.1712961144567997e-07,2.925646950898782e-05,3.892347194778267e-06,2.894224735427997e-06,2.8851587558165193e-05,0.0,7.845754416350666,0.02434675768017769,0.003362908260896802,0.02067006565630436,0.0,0.8335398594277911,0.01983289048075676,0
16080,80,control,none,3.14924136546324e-07,1.0,0.0016963803209364414,0.9998881220817566,2.1797958113152774e-07,2.9215888438773475e-05,3.880949407175649e-06,2.897954118452617e-06,2.881159889511764e-05,0.0,8.984011162120124,0.027991242706775665,0.003898154478520155,0.023755937814712524,0.0,0.8340406185055648,0.019851747900247574,0
16090,90,control,none,3.1286987223211327e-07,1.0,0.0017059018136933446,0.9998881220817566,2.1965086974807945e-07,2.923336842310067e-05,3.850748726108577e-06,2.9703505788347684e-06,2.8826005291193724e-05,0.0,10.124889917437297,0.03167150542140007,0.0044450233690440655,0.02689899131655693,0.0,0.8343878428262524,0.019916607066988945,0
