Token embedding attribute: token_embedding
Position embedding attribute: position_embedding
Unembedding attribute: unembedding
token_embedding parameters: ['token_embedding.weight']
position_embedding parameters: ['position_embedding.weight']
unembedding parameters: ['unembedding.weight']
other_auxiliary parameters: []
Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Frozen group: None
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/component/trajectory.csv
step= 16460 | train_acc=1.0000 | test_acc=0.9992 | token_delta=0.2380 | position_delta=0.0466 | unembedding_delta=0.1983
step= 16470 | train_acc=1.0000 | test_acc=0.9992 | token_delta=0.2488 | position_delta=0.0491 | unembedding_delta=0.2053
step= 16480 | train_acc=1.0000 | test_acc=0.9992 | token_delta=0.2598 | position_delta=0.0516 | unembedding_delta=0.2124
step= 16490 | train_acc=1.0000 | test_acc=0.9992 | token_delta=0.2714 | position_delta=0.0542 | unembedding_delta=0.2196
step= 16500 | train_acc=1.0000 | test_acc=0.9992 | token_delta=0.2836 | position_delta=0.0570 | unembedding_delta=0.2270
step= 16510 | train_acc=1.0000 | test_acc=0.9992 | token_delta=0.2966 | position_delta=0.0599 | unembedding_delta=0.2347
step= 16520 | train_acc=1.0000 | test_acc=0.9991 | token_delta=0.3105 | position_delta=0.0630 | unembedding_delta=0.2428
step= 16530 | train_acc=1.0000 | test_acc=0.9990 | token_delta=0.3259 | position_delta=0.0666 | unembedding_delta=0.2517
step= 16540 | train_acc=1.0000 | test_acc=0.9989 | token_delta=0.3425 | position_delta=0.0705 | unembedding_delta=0.2611
step= 16550 | train_acc=1.0000 | test_acc=0.9988 | token_delta=0.3598 | position_delta=0.0745 | unembedding_delta=0.2708
step= 16560 | train_acc=1.0000 | test_acc=0.9987 | token_delta=0.3780 | position_delta=0.0788 | unembedding_delta=0.2808
step= 16570 | train_acc=1.0000 | test_acc=0.9985 | token_delta=0.3970 | position_delta=0.0832 | unembedding_delta=0.2911
step= 16580 | train_acc=1.0000 | test_acc=0.9982 | token_delta=0.4170 | position_delta=0.0879 | unembedding_delta=0.3017
step= 16590 | train_acc=1.0000 | test_acc=0.9980 | token_delta=0.4378 | position_delta=0.0927 | unembedding_delta=0.3127
step= 16600 | train_acc=1.0000 | test_acc=0.9978 | token_delta=0.4592 | position_delta=0.0976 | unembedding_delta=0.3238
step= 16610 | train_acc=1.0000 | test_acc=0.9975 | token_delta=0.4815 | position_delta=0.1028 | unembedding_delta=0.3352
step= 16620 | train_acc=1.0000 | test_acc=0.9972 | token_delta=0.5049 | position_delta=0.1082 | unembedding_delta=0.3470
step= 16630 | train_acc=1.0000 | test_acc=0.9969 | token_delta=0.5296 | position_delta=0.1139 | unembedding_delta=0.3594
step= 16640 | train_acc=1.0000 | test_acc=0.9965 | token_delta=0.5552 | position_delta=0.1199 | unembedding_delta=0.3722
step= 16650 | train_acc=1.0000 | test_acc=0.9962 | token_delta=0.5815 | position_delta=0.1260 | unembedding_delta=0.3852
step= 16660 | train_acc=1.0000 | test_acc=0.9957 | token_delta=0.6084 | position_delta=0.1322 | unembedding_delta=0.3984
step= 16670 | train_acc=1.0000 | test_acc=0.9950 | token_delta=0.6364 | position_delta=0.1387 | unembedding_delta=0.4121
step= 16680 | train_acc=1.0000 | test_acc=0.9942 | token_delta=0.6657 | position_delta=0.1455 | unembedding_delta=0.4264
step= 16690 | train_acc=1.0000 | test_acc=0.9940 | token_delta=0.6965 | position_delta=0.1527 | unembedding_delta=0.4414
step= 16700 | train_acc=1.0000 | test_acc=0.9931 | token_delta=0.7282 | position_delta=0.1602 | unembedding_delta=0.4569
step= 16710 | train_acc=1.0000 | test_acc=0.9919 | token_delta=0.7604 | position_delta=0.1677 | unembedding_delta=0.4726
step= 16720 | train_acc=1.0000 | test_acc=0.9914 | token_delta=0.7930 | position_delta=0.1752 | unembedding_delta=0.4884
step= 16730 | train_acc=1.0000 | test_acc=0.9903 | token_delta=0.8263 | position_delta=0.1830 | unembedding_delta=0.5047
step= 16740 | train_acc=1.0000 | test_acc=0.9896 | token_delta=0.8611 | position_delta=0.1912 | unembedding_delta=0.5217
step= 16750 | train_acc=1.0000 | test_acc=0.9884 | token_delta=0.8978 | position_delta=0.2001 | unembedding_delta=0.5399
step= 16760 | train_acc=1.0000 | test_acc=0.9874 | token_delta=0.9365 | position_delta=0.2098 | unembedding_delta=0.5593
step= 16770 | train_acc=0.9768 | test_acc=0.7625 | token_delta=1.7109 | position_delta=0.2531 | unembedding_delta=1.4275
step= 16780 | train_acc=0.9974 | test_acc=0.7483 | token_delta=3.1973 | position_delta=0.4647 | unembedding_delta=2.6547
step= 16790 | train_acc=1.0000 | test_acc=0.7591 | token_delta=3.7840 | position_delta=0.5328 | unembedding_delta=3.0883
step= 16800 | train_acc=1.0000 | test_acc=0.7547 | token_delta=3.9701 | position_delta=0.5537 | unembedding_delta=3.2227
step= 16810 | train_acc=1.0000 | test_acc=0.7444 | token_delta=4.0011 | position_delta=0.5569 | unembedding_delta=3.2474
step= 16820 | train_acc=1.0000 | test_acc=0.7304 | token_delta=3.9775 | position_delta=0.5538 | unembedding_delta=3.2336
step= 16830 | train_acc=1.0000 | test_acc=0.7193 | token_delta=3.9360 | position_delta=0.5488 | unembedding_delta=3.2067
step= 16840 | train_acc=1.0000 | test_acc=0.7126 | token_delta=3.8894 | position_delta=0.5432 | unembedding_delta=3.1757
step= 16850 | train_acc=1.0000 | test_acc=0.7116 | token_delta=3.8421 | position_delta=0.5376 | unembedding_delta=3.1437
step= 16860 | train_acc=1.0000 | test_acc=0.7120 | token_delta=3.7952 | position_delta=0.5321 | unembedding_delta=3.1115
step= 16870 | train_acc=1.0000 | test_acc=0.7096 | token_delta=3.7491 | position_delta=0.5265 | unembedding_delta=3.0797
step= 16880 | train_acc=1.0000 | test_acc=0.7136 | token_delta=3.7037 | position_delta=0.5211 | unembedding_delta=3.0481
