step,train_loss,train_loss64,train_accuracy,test_loss,test_loss64,test_accuracy,max_abs_logit,elapsed_seconds
0,5.075355052947998,5.075354396445605,0.010443864229765013,5.063181400299072,5.06318075091849,0.008278330909497707,2.5590436458587646,0.05660241702571511
100,1.0251438617706299,1.025143882320587,0.8637075718015665,41.370906829833984,41.370906486925136,0.007607114889808703,106.54296875,4.275438084034249
200,0.0055249761790037155,0.005524984514911797,0.9994778067885117,39.59030532836914,39.59030961928464,0.010180109631949883,105.08855438232422,8.547130124876276
300,0.0023590524215251207,0.0023590618907095373,1.0,36.05683898925781,36.05683767529707,0.014654883096543237,102.70030212402344,12.824877916835248
400,0.0002319510094821453,0.00023196043467443275,1.0,38.393978118896484,38.393975087383566,0.0204720886005146,132.7777862548828,17.37242762488313
500,0.0031999361235648394,0.0031999450449231998,1.0,36.48628616333008,36.48628789889212,0.019689003244210763,131.93849182128906,21.938731458969414
600,1.0793543196996325e-06,1.0851639147565122e-06,1.0,70.97698974609375,70.97698427074425,0.024611254055263453,171.94961547851562,26.510655791964382
700,0.005227955989539623,0.005227959639188805,0.9989556135770234,62.020416259765625,62.02041447008388,0.030875936905694148,191.6822967529297,31.10285837505944
800,0.00032952497713267803,0.0003295318550809975,1.0,44.8057861328125,44.80578704466581,0.0353507103702875,177.68618774414062,35.678238374879584
900,1.4666283277620096e-05,1.467421925293781e-05,1.0,41.2593879699707,41.25938492089855,0.040832307864414365,151.87582397460938,40.53501012502238
1000,0.003997280728071928,0.003997285107969572,0.9997389033942559,57.1796989440918,57.17970165460582,0.039378006488421526,244.18380737304688,45.36126866703853
1100,0.00010642156121321023,0.0001064281556358785,1.0,42.07048416137695,42.070483152630956,0.06040944177201029,166.83045959472656,50.39853429188952
1200,1.533535254338858e-07,1.6024114421604253e-07,1.0,55.36341857910156,55.363419128377416,0.06566730059290748,266.79345703125,55.71827270905487
1300,0.0007855494040995836,0.0007855538483638607,1.0,48.057525634765625,48.05752788470773,0.07853227430361338,222.47886657714844,61.10860366700217
1400,1.6165387251021457e-06,1.621911886563464e-06,1.0,44.589115142822266,44.58911785282791,0.0947533281127643,166.24478149414062,66.67358645889908
1500,3.48601547628391e-09,1.0432824505030936e-08,1.0,59.30620574951172,59.306207425782596,0.11488980870343439,225.07177734375,71.61168670887128
