step,local_step,arm,train_loss,train_loss64,train_accurate_loss64,train_objective_loss,train_accuracy,train_minimum_margin,test_loss,test_loss64,test_accurate_loss64,test_objective_loss,test_accuracy,test_minimum_margin,max_abs_logit,last_training_loss,elapsed_seconds
15000,0,true64,4.146938239034568e-07,4.146938239034568e-07,4.1469382391028705e-07,4.1469382391028705e-07,1.0,14.249481591666571,0.0002622282116950954,0.0002622282116950954,0.00026222821169509763,0.00026222821169509763,1.0,3.115155623096295,23.566616958526335,,0.24937416706234217
15010,10,true64,3.7912434766018644e-07,3.7912434766018644e-07,3.7912434765977447e-07,3.7912434765977447e-07,1.0,14.244492153536958,0.00024713707477072913,0.00024713707477072913,0.00024713707477073905,0.00024713707477073905,1.0,3.1882870156384744,23.60876880978231,3.8349141952481295e-07,1.7004811249207705
15020,20,true64,3.410837139018693e-07,3.410837139018693e-07,3.4108371390192656e-07,3.4108371390192656e-07,1.0,14.2954182064686,0.00023301936547265854,0.00023301936547265854,0.00023301936547265325,0.00023301936547265325,1.0,3.2603699454634434,23.605787259236575,3.441821913504909e-07,3.462858499959111
15030,30,true64,3.1928139410380247e-07,3.1928139410380247e-07,3.1928139411463523e-07,3.1928139411463523e-07,1.0,14.32878191511339,0.00023058445474018324,0.00023058445474018324,0.0002305844547401825,0.0002305844547401825,1.0,3.1677431177962543,23.64097375976256,3.207946020919041e-07,6.3676114580594
15040,40,true64,3.093087473509989e-07,3.093087473509989e-07,3.0930874735607133e-07,3.0930874735607133e-07,1.0,14.350027982466942,0.0002319947066976067,0.0002319947066976067,0.00023199470669760605,0.00023199470669760605,1.0,3.1233659093080712,23.620649848034756,3.0996921570367815e-07,7.929749749833718
15050,50,true64,3.0493499640173405e-07,3.0493499640173405e-07,3.0493499640093424e-07,3.0493499640093424e-07,1.0,14.367868991965825,0.000239486013824462,0.000239486013824462,0.0002394860138244671,0.0002394860138244671,1.0,3.0812022149000518,23.624750468825297,3.05270360937295e-07,10.468430832959712
15060,60,true64,3.017879205297673e-07,3.017879205297673e-07,3.017879205287038e-07,3.017879205287038e-07,1.0,14.357001249244192,0.00024293029852648333,0.00024293029852648333,0.0002429302985264808,0.0002429302985264808,1.0,3.0642008391882394,23.670837174977574,3.021018352385092e-07,13.197140249889344
15070,70,true64,2.98385314358253e-07,2.98385314358253e-07,2.983853143686242e-07,2.983853143686242e-07,1.0,14.346870008054806,0.0002484378952020957,0.0002484378952020957,0.00024843789520210017,0.00024843789520210017,1.0,3.0002509784197064,23.6845602105577,2.987469473728895e-07,15.371351582929492
15080,80,true64,2.9454908950122564e-07,2.9454908950122564e-07,2.945490894981056e-07,2.945490894981056e-07,1.0,14.336110385048537,0.0002565439620239002,0.0002565439620239002,0.00025654396202389775,0.00025654396202389775,1.0,2.9186492593383107,23.763946363197846,2.949434163752164e-07,17.27754241693765
15090,90,true64,2.9066296272097235e-07,2.9066296272097235e-07,2.9066296271328145e-07,2.9066296271328145e-07,1.0,14.327129169297896,0.0002637428376213004,0.0002637428376213004,0.0002637428376213035,0.0002637428376213035,1.0,2.857592288913398,23.868310095456327,2.9104569969712693e-07,19.857272292021662
15100,100,true64,2.8687153115373555e-07,2.8687153115373555e-07,2.8687153116797544e-07,2.8687153116797544e-07,1.0,14.325447177795093,0.0002697860779435088,0.0002697860779435088,0.00026978607794351194,0.00026978607794351194,1.0,2.795117965586979,23.881481577959974,2.8724753652805044e-07,22.56319966702722
15110,110,true64,2.832226024580514e-07,2.832226024580514e-07,2.832226024539095e-07,2.832226024539095e-07,1.0,14.332768773951956,0.00027478100811516445,0.00027478100811516445,0.00027478100811516434,0.00027478100811516434,1.0,2.745405763810929,23.883587286756896,2.8357164513850633e-07,24.71214749990031
15120,120,true64,2.799058995001899e-07,2.799058995001899e-07,2.79905899510523e-07,2.79905899510523e-07,1.0,14.341398117010524,0.0002796425265967936,0.0002796425265967936,0.00027964252659678975,0.00027964252659678975,1.0,2.6870204862038696,23.878917156966033,2.8021948756858966e-07,27.31454799999483
