study_group,event,reference_step,current_step,reference_test_accuracy,arm,train_accuracy,heldout_accuracy,heldout_cross_entropy,heldout_minimum_margin,heldout_centered_logit_relative_error,head_change_norm,relative_head_change,source
interventions,seed0_first,17200,17494,0.9911623224074281,original,0.4825065274151436,0.3187157400156617,6.650341687333141,-52.6754150390625,2.0563459605652565,0.0,0.0,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,old_head,0.21723237597911227,0.14050788678823134,17.9006856758948,-82.3023681640625,4.019242624988765,0.3805568648928155,0.4098710345548888,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,orthogonal,1.0,0.9551403960174516,0.1751869561278596,-14.045135498046875,0.6150387711457603,0.38753133941831486,0.41738275055046886,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,inverse_gl,1.0,0.962300033560801,0.15360270035273524,-15.11083984375,0.5355970208601227,21.47341893260386,23.12750930354598,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,backward_ols,1.0,0.9540217026513033,0.20033606688090233,-12.440093994140625,0.4432687996661151,15.106799079791672,16.27047082540739,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,old_head_norm_matched,0.21723237597911227,0.14050788678823134,26.43607779126809,-121.9202880859375,5.94934022380721,0.28229787475218193,0.30404318684386883,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,healthy_logit_distillation,1.0,0.9540217026513033,0.20033606688090233,-12.440093994140625,0.4432687996661151,15.106799079791672,16.27047082540739,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,random_correction_0,0.013054830287206266,0.012529365700861394,4029.937813216564,-10198.83251953125,417.39070089039456,21.47341892462945,23.127509294957303,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,random_correction_1,0.010966057441253264,0.012976843047320729,3603.7557896307,-9282.052001953125,429.2816145095252,21.47341894031699,23.12750931185325,work/basis_study/interventions/seed0_first/instant.json
interventions,seed0_first,17200,17494,0.9911623224074281,random_correction_2,0.013577023498694517,0.014207405750083902,4900.999041558793,-10614.50439453125,424.6483855601693,21.47341893947933,23.127509310951066,work/basis_study/interventions/seed0_first/instant.json
interventions,seed4_first,16050,16056,1.0,original,0.7007832898172324,0.66327329678935,11.993163407272103,-103.55999755859375,7.611518015078116,0.0,0.0,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,old_head,0.9997389033942559,0.9980982212775478,0.0066097702428360204,-4.15667724609375,0.48336842318494233,0.060894761133339005,0.09505650486508242,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,orthogonal,1.0,0.9998881306633851,0.0023005512987760075,-0.107269287109375,0.36301588645104754,0.09416495712396274,0.14699116210300237,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,inverse_gl,1.0,0.9998881306633851,0.0014528864418728682,-1.624725341796875,0.314455194312684,4.168272561384268,6.50665859650261,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,backward_ols,1.0,0.9998881306633851,0.0023782383939842996,-1.11163330078125,0.28848230307747935,3.8863718885603507,6.066612652006967,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,old_head_norm_matched,0.9997389033942559,0.9980982212775478,0.006793954615767444,-4.100494384765625,0.4773452031331948,0.05985518198020999,0.09343372551612222,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,healthy_logit_distillation,1.0,0.9998881306633851,0.0023782383939842996,-1.11163330078125,0.28848230307747935,3.8863718885603507,6.066612652006967,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,random_correction_0,0.00835509138381201,0.009061416265801543,1150.209599045602,-2184.7092895507812,108.83303941246015,4.16827256081854,6.50665859561951,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,random_correction_1,0.010966057441253264,0.008613938919342208,1230.5049745786444,-2161.6256713867188,109.06834904983965,4.168272560174467,6.506658594614114,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_first,16050,16056,1.0,random_correction_2,0.010966057441253264,0.007942722899653205,1109.680708204132,-2167.7614135742188,112.90304306494336,4.168272562603725,6.506658598406179,work/basis_study/interventions/seed4_first/instant.json
interventions,seed4_peak,16050,16060,1.0,original,0.21775456919060052,0.1813401946526457,58.4698590618793,-234.4273681640625,16.393596981860842,0.0,0.0,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,old_head,1.0,0.9961964425550957,0.01176064680479232,-6.205780029296875,1.1358445390229732,0.29554843678721693,0.437049818345324,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,orthogonal,1.0,0.9994406533169258,0.00158163898731573,-2.03167724609375,0.8425509594974755,0.29901786462266805,0.4421803235908578,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,inverse_gl,1.0,0.9997762613267703,0.0031182853242779896,-1.472412109375,0.39980278021039695,6.13514055154888,9.072496179392559,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,backward_ols,1.0,0.9997762613267703,0.006260303679878269,-0.488616943359375,0.3575931993013346,5.751705359788046,8.505481571810899,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,old_head_norm_matched,1.0,0.9961964425550957,0.011686780559135992,-6.4625244140625,1.2016673915081808,0.30035175678392584,0.44415285077830385,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,healthy_logit_distillation,1.0,0.9997762613267703,0.006260303679878269,-0.488616943359375,0.3575931993013346,5.751705359788046,8.505481571810899,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,random_correction_0,0.009921671018276762,0.01040384830517955,1354.3194938440733,-2464.874755859375,124.97125083308697,6.1351405491304805,9.072496175816289,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,random_correction_1,0.014882506527415143,0.010851325651638885,1411.085294550493,-2570.17578125,127.76831094457599,6.135140549033352,9.072496175672658,work/basis_study/interventions/seed4_peak/instant.json
interventions,seed4_peak,16050,16060,1.0,random_correction_2,0.011488250652741514,0.007942722899653205,1358.7798163275436,-2695.3843994140625,133.36272771137507,6.135140549393371,9.072496176205044,work/basis_study/interventions/seed4_peak/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_0,0.12924281984334204,0.09620762948875713,53.448526935125344,-164.28179931640625,7.913708098628493,0.3875313393430385,0.41738275046939394,work/basis_study/intervention_specificity/seed0_first/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_1,0.14281984334203654,0.11511354737666406,45.445808708980486,-147.98974609375,8.055061405950772,0.3875313389368735,0.4173827500319422,work/basis_study/intervention_specificity/seed0_first/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_2,0.018276762402088774,0.018122832531603086,77.14611787553368,-185.0830078125,8.121417789925541,0.38753133924431676,0.4173827503630677,work/basis_study/intervention_specificity/seed0_first/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_3,0.015926892950391645,0.013983667076854235,88.9197690303639,-229.17999267578125,9.17226205736395,0.3875313394675332,0.41738275060347846,work/basis_study/intervention_specificity/seed0_first/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_4,0.010704960835509139,0.009061416265801543,86.44141546153743,-182.03302001953125,7.513609923223499,0.38753133927545846,0.4173827503966082,work/basis_study/intervention_specificity/seed0_first/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_5,0.06971279373368146,0.05324980422866092,53.4021852764108,-181.7193603515625,7.764028100936996,0.3875313391859741,0.4173827503002309,work/basis_study/intervention_specificity/seed0_first/instant.json
intervention_specificity,seed0_first,17200,17494,0.9911623224074281,random_orthogonal_size_6,0.02610966057441253,0.021814520639892605,74.35912468311756,-205.728515625,8.028160582384093,0.3875313391302066,0.4173827502401677,work/basis_study/intervention_specificity/seed0_first/instant.json
