pair,seed,reference_role,reference_step,current_step,reference_test_accuracy,arm_group,arm,train_accuracy,heldout_accuracy,heldout_cross_entropy,heldout_minimum_margin,heldout_centered_reference_logit_relative_error,relative_head_change,head_change_norm
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,original,0.1566579634464752,0.09094977066785993,18.055533563237457,-70.76702880859375,2.583670800117687,0.0,0.0
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,old_head,0.3276762402088773,0.22664727598165343,14.51073139157135,-83.30667114257812,3.937249380094752,0.49141651740906844,0.48285063658059046
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,orthogonal,1.0,0.900324421076183,0.3897193715455328,-16.84246826171875,0.7351773097110671,0.4934690730421991,0.484867414118512
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,inverse_gl,1.0,0.9513368385725472,0.1915861064062726,-14.965606689453125,0.5651940555548769,13.229801807311649,12.999193145105288
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,backward_ols,1.0,0.9304172726255733,0.2971256090737103,-13.119903564453125,0.4555638328628445,10.7247003729903,10.537758131405662
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,old_head_norm_matched,0.3276762402088773,0.22664727598165343,23.67261747150562,-137.34051513671875,6.488372191908088,0.378076681665318,0.3714864274014882
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,healthy_logit_distillation,1.0,0.9304172726255733,0.2971256090737103,-13.119903564453125,0.4555638328628445,10.7247003729903,10.537758131405662
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,random_correction_0,0.011488250652741514,0.010515717641794384,2555.7952968546347,-6682.346435546875,254.69866499235164,13.229801825458631,12.999193162935951
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,random_correction_1,0.007571801566579634,0.007607114889808703,2866.4587668806566,-8331.810302734375,286.3791665086018,13.229801809424638,12.999193147181446
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,primary,random_correction_2,0.009399477806788513,0.007607114889808703,2421.428493169095,-6781.0869140625,286.1170567529134,13.229801820779526,12.999193158338407
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_0,0.038903394255874676,0.032777715628146326,76.83525312705045,-211.3516845703125,9.864032441636612,0.49346907405828816,0.48486741511688963
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_1,0.046214099216710186,0.03702875041951001,82.95406271069291,-276.89581298828125,10.990426646592297,0.49346907426559294,0.48486741532058086
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_2,0.06631853785900783,0.04642577469515606,78.71767178113748,-238.7752685546875,10.747557331622655,0.49346907463930756,0.48486741568778124
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_3,0.015143603133159269,0.01767535518514375,113.3594301914496,-275.30267333984375,11.8616894720668,0.49346907360540077,0.4848674146718965
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_4,0.04804177545691906,0.03624566506320617,74.76016103066898,-198.7899169921875,9.599662261949796,0.49346907424157277,0.4848674152969794
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_5,0.106266318537859,0.07361002349256068,58.86572503016224,-210.63250732421875,10.460304530209132,0.49346907468922485,0.48486741573682846
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_6,0.025326370757180156,0.016221053809150912,83.79051506626725,-238.0626220703125,10.80403728302281,0.4934690738845045,0.48486741494613517
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_7,0.08093994778067885,0.058507663049558116,69.09537834762914,-199.9434814453125,9.710802400715089,0.49346907449982585,0.4848674155507309
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_8,0.009660574412532636,0.009397024275646046,108.7302232467059,-281.1043701171875,11.023133516832315,0.49346907464320106,0.4848674156916069
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,random_orthogonal_size_9,0.07389033942558747,0.048886900100682404,69.42398076674313,-246.69537353515625,9.68850504212983,0.49346907371002785,0.48486741477469986
seed1_first,1,Latest measured jointly >=99% checkpoint,17300,17721,0.991945407763732,orthogonal_size_control,opposite_orthogonal_correction,0.007832898172323759,0.009397024275646046,56.08182902595186,-141.91357421875,4.945549270367153,0.49346907668995366,0.48486741770268255
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,original,0.1566579634464752,0.09094977066785993,18.055533563237457,-70.76702880859375,1.6830723596201291,0.0,0.0
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,old_head,1.0,0.9418279449602864,0.212246304331814,-14.73388671875,0.14118952033841092,0.019510271418757726,0.01917018789697162
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,orthogonal,1.0,0.9440653316925831,0.21731285666387093,-14.5947265625,0.08644173235209206,0.03003618591501251,0.029512625188062355
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,inverse_gl,1.0,0.9433941156728941,0.21888939597319793,-14.6014404296875,0.0746615609998123,1.653220635417416,1.6244033481580664
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,backward_ols,1.0,0.9432822463362792,0.2203330716153796,-14.55731201171875,0.0742022678319097,1.64843363918697,1.6196997940541746
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,old_head_norm_matched,1.0,0.9418279449602864,0.21236087116842292,-14.86676025390625,0.14153508826164457,0.017428980513950046,0.01712517597186526
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,healthy_logit_distillation,1.0,0.9432822463362792,0.2203330716153796,-14.55731201171875,0.0742022678319097,1.64843363918697,1.6196997940541746
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,random_correction_0,0.019843342036553524,0.018346571204832754,296.5628898867866,-793.0709228515625,21.2030923218023,1.6532206342721136,1.624403347032728
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,random_correction_1,0.01671018276762402,0.013871797740239401,334.4152812209914,-1008.8489379882812,23.78582977915969,1.653220634478837,1.624403347235848
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,primary,random_correction_2,0.024281984334203654,0.01588544579930641,290.553674825528,-829.2181091308594,23.580274474950045,1.6532206351988896,1.6244033479433493
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,orthogonal_size_control,random_orthogonal_size_0,0.18198433420365534,0.10325539769549166,17.805029656823965,-70.30206298828125,1.7327022764310078,0.030036186342557385,0.029512625608154697
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,orthogonal_size_control,random_orthogonal_size_1,0.15274151436031333,0.09240407204385279,18.443841137682103,-70.44635009765625,1.7354053849404563,0.030036186724628253,0.029512625983565688
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,orthogonal_size_control,random_orthogonal_size_2,0.28302872062663187,0.16869895961516948,14.69597575156362,-64.37750244140625,1.6839903353702657,0.03003618661346739,0.02951262587434247
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,orthogonal_size_control,random_orthogonal_size_3,0.21148825065274152,0.1277547824141403,16.68697248514029,-70.33880615234375,1.7221258080949853,0.030036186149255035,0.0295126254182218
seed1_adjacent,1,"Immediately preceding update, irrespective of accuracy",17720,17721,0.9413804676138271,orthogonal_size_control,random_orthogonal_size_4,0.1597911227154047,0.09273968005369729,18.207010371879605,-70.72625732421875,1.7068025711325159,0.03003618622475795,0.029512625492408625
