pair,reference_step,current_step,reference_accuracy,original,old_head,orthogonal,inverse_gl,old_head_relative_change,random_orthogonal_size_minimum,random_orthogonal_size_maximum,opposite_correction,source_hashes_verified,native_baseline_reproduced,correction_norms_verified
seed1_first,17300,17721,0.991945407763732,0.09094977066785993,0.22664727598165343,0.900324421076183,0.9513368385725472,0.49141651740906844,0.009397024275646046,0.07361002349256068,0.009397024275646046,True,True,True
seed1_adjacent,17720,17721,0.9413804676138271,0.09094977066785993,0.9418279449602864,0.9440653316925831,0.9433941156728941,0.019510271418757726,0.08714621322295558,0.17283812506991833,0.00928515493903121,True,True,True
seed2_first,18000,18069,1.0,0.00928515493903121,0.7807361002349256,1.0,1.0,0.1396223896654261,0.008837677592571876,0.27754782414140283,0.008837677592571876,True,True,True
seed2_adjacent,18068,18069,0.9998881306633851,0.00928515493903121,1.0,0.9998881306633851,0.9998881306633851,0.010876093214781555,0.008837677592571876,0.010068240295335049,0.008837677592571876,True,True,True
seed3_first,15800,16308,0.9907148450609687,0.5359659917216691,0.352835887683186,0.8833202819107283,0.9437297236827386,0.5572425165332107,0.010515717641794384,0.06555543125629265,0.38382369392549504,True,True,True
seed3_peak,15800,16309,0.9907148450609687,0.32117686542118806,0.43830406085691914,0.9303054032889585,0.961628817541112,0.5586607854843383,0.00894954692918671,0.06410112988029981,0.22261997986351942,True,True,True
seed3_adjacent,16307,16308,0.8954021702651304,0.5359659917216691,0.9100570533616735,0.9125181787671999,0.9065891039266137,0.06975754028373539,0.34008278330909497,0.4726479471976731,0.39411567289405974,True,True,True
