step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,embeddings_applied_update_norm,embeddings_gradient_component_norm,embeddings_decay_component_norm,embeddings_applied_update_rms,embeddings_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
16000,0,control,3.3347473049616383e-07,1.0,0.0017144985031336546,0.9998881220817566,nan,nan,0.0,0.0,nan,nan,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
16010,10,control,3.339104921451508e-07,1.0,0.0016872237902134657,0.9998881220817566,2.1272493169249148e-07,2.948888203636792e-05,1.1305574261867772,0.004467578006023232,0.8332503903358444,0.01943832077085972,0,0.116691830532876,0.8332458817769077,0.8313222246056549,0.0002631721084780709,277.1011773702883,0.00034115328302803175,0.0024873849516424736,0.0023297380198566545,2.7877359732150256e-06,2.3298758669201334,0.00028766145149244487,0.000607890446788456,0.000453104598888631,2.391869389888753e-06,0.4531945635574319
16020,20,control,3.2874370958779764e-07,1.0,0.0016787023050710559,0.9998881220817566,2.1248625989588444e-07,2.9655922294451724e-05,2.2456115643136196,0.008954431774984327,0.8334880384197806,0.01962079294025898,0,0.11555590717837598,0.8334836148812298,0.8311504304380002,0.00026061028951518276,277.044465279831,0.00034852067857472593,0.0025049777080522256,0.002331212531345279,2.847938687408856e-06,2.33136671428651,0.00028946820074905554,0.0006119285825811387,0.00045402026605882994,2.4068922864905413e-06,0.4541134248230111
16030,30,control,3.265026862209197e-07,1.0,0.0016767457127571106,0.9998881220817566,2.1306513972819437e-07,2.955120924816896e-05,3.353954155216158,0.013489810201975585,0.8324886222379135,0.01963840238749981,0,0.11673605708543125,0.8324843457972565,0.8309668103385845,0.00026327185149378616,276.98227323693476,0.0003510041774844848,0.0025082093280415062,0.002332753165080399,2.8682326127339312e-06,2.33290860590695,0.00029291784394795824,0.0006147458820652985,0.00045495120787508866,2.4355756430219257e-06,0.45504483932114703
16040,40,control,3.2550670425735007e-07,1.0,0.001675864215940237,0.9998881220817566,2.1412749210602953e-07,2.944753930691993e-05,4.463642061391718,0.018060841934594223,0.8320361749667625,0.01973881945014,0,0.11964122942298161,0.8320316081874596,0.8307585407114232,0.0002698238125528758,276.91219240887085,0.00035590673704126956,0.00251546734426937,0.0023343336829465457,2.908293905757323e-06,2.3344946746330364,0.00029529950521911557,0.0006181581588621473,0.000455895787789298,2.455378861916948e-06,0.4559913607623891
16050,50,control,3.2317231557499326e-07,1.0,0.0016762749291956425,0.9998881220817566,2.1516390708085992e-07,2.9324170377737898e-05,5.582160779798788,0.022686753264237886,0.8321244397087879,0.019762888550758362,0,0.12173981941153524,0.8321201250132051,0.8305389650937204,0.00027455670901697774,276.83900019912295,0.0003616460505393769,0.002522970745193361,0.0023359702287141437,2.9551927383237904e-06,2.336136742454523,0.0002987773176263356,0.0006218521938625044,0.0004568574361618335,2.4842964419313955e-06,0.4569545909788291
16060,60,control,3.2015316264732974e-07,1.0,0.0016785713378340006,0.9998881220817566,2.1579089597152013e-07,2.926121916611123e-05,6.710632165110337,0.027370506723814622,0.8327450784036302,0.0198159608989954,0,0.12279944932119559,0.8327406021989047,0.8303275238561544,0.0002769464653200394,276.7692024164719,0.0003662857730821395,0.0025303619167006517,0.0023376621923054297,2.993106257207128e-06,2.337833907380318,0.0003038318455818171,0.0006261348070715909,0.00045783418308537624,2.526324216714318e-06,0.4579326673731421
16070,70,control,3.1853465998210595e-07,1.0,0.0016864610370248556,0.9998881220817566,2.1712961144567997e-07,2.925646950898782e-05,7.845754416350666,0.03211425502396766,0.8335398594277911,0.01983289048075676,0,0.12422285699202874,0.8335353258818661,0.8301377667710635,0.0002801566403275476,276.70673322298734,0.00037188817184455233,0.002538742741714059,0.002339407497473368,3.0388862902399346e-06,2.3395857628945302,0.00030789317980537616,0.0006300785770196456,0.00045882464678606073,2.5600937084590045e-06,0.4589246021065169
16080,80,control,3.14924136546324e-07,1.0,0.0016963803209364414,0.9998881220817566,2.1797958113152774e-07,2.9215888438773475e-05,8.984011162120124,0.03691950511673358,0.8340406185055648,0.019851747900247574,0,0.12452135609747383,0.8340360728193772,0.8299689501604837,0.0002808298377450538,276.6510698571849,0.00037682559944764117,0.0025455701257263946,0.002341211669911483,3.0792325077000333e-06,2.3413945664581135,0.0003129215013280327,0.0006342959500374307,0.000459828970411699,2.6019035799943184e-06,0.4599301273207575
16090,90,control,3.1286987223211327e-07,1.0,0.0017059018136933446,0.9998881220817566,2.1965086974807945e-07,2.923336842310067e-05,10.124889917437297,0.04178992967519002,0.8343878428262524,0.019916607066988945,0,0.12674418389545353,0.8343837237527107,0.8298146446782415,0.0002858429245713263,276.5997997445949,0.000381452774950844,0.0025504128587395384,0.0023430543193278526,3.117043498378959e-06,2.3432397763877697,0.00032060016989402716,0.000639678513962085,0.0004608451669063192,2.665750759388063e-06,0.46094723060811277
