seed,pair,endpoint,step,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
1,seed1_adjacent_event,0,17720,heldout_donors_only,training,3830,3830,1.0,1.0,0,3830,4.608718490212027,15.073521723643404
1,seed1_adjacent_event,0,17720,heldout_donors_only,heldout,8939,8939,1.0,1.0,0,8939,4.608718490212027,14.887097256723479
1,seed1_adjacent_event,0,17720,heldout_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,4.608718490212027,14.943014376960248
1,seed1_adjacent_event,0,17720,heldout_donors_leave_one_out,training,3830,3830,1.0,1.0,0,3830,4.608718490212027,15.073521723643404
1,seed1_adjacent_event,0,17720,heldout_donors_leave_one_out,heldout,8939,8939,1.0,1.0,0,8939,4.46388595713961,14.885402568724082
1,seed1_adjacent_event,0,17720,heldout_donors_leave_one_out,full_grid,12769,12769,1.0,1.0,0,12769,4.46388595713961,14.941828002457424
1,seed1_adjacent_event,1,17721,raw,training,3830,600,0.1566579634464752,0.1566579634464752,0,600,-56.098850016321876,-11.96506798915272
1,seed1_adjacent_event,1,17721,raw,heldout,8939,813,0.09094977066785993,0.09094977066785993,0,813,-70.7668455538552,-17.276833396551723
1,seed1_adjacent_event,1,17721,raw,full_grid,12769,1413,0.11065862636071737,0.11065862636071737,0,1413,-70.7668455538552,-15.683594966734338
1,seed1_adjacent_event,1,17721,complete_family_with_dc,training,3830,96,0.025065274151436032,0.025065274151436032,0,96,-40.67514700370225,-15.599578093684201
1,seed1_adjacent_event,1,17721,complete_family_with_dc,heldout,8939,243,0.027184248797404633,0.027184248797404633,0,243,-40.67514700370225,-15.703591635290968
1,seed1_adjacent_event,1,17721,complete_family_with_dc,full_grid,12769,339,0.02654867256637168,0.02654867256637168,0,339,-40.67514700370225,-15.672393274859145
1,seed1_adjacent_event,1,17721,training_donors_only,training,3830,410,0.10704960835509138,0.10704960835509138,0,410,-37.729517608684205,-11.957763492280645
