seed,lookup,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,positive_margin_rows,tied_maximum_rows,minimum_margin,mean_margin
2,training_count_normalized,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,8939,-1.0000000000000002,0.0
3,one_hot,raw_lookup,training,3830,3830,1.0,1.0,3830,0,1.0,1.0
3,one_hot,raw_lookup,heldout,8939,81,0.009061416265801543,0.008849557522123894,0,8939,0.0,0.0
3,one_hot,raw_lookup,full_grid,12769,3911,0.3062886678674916,0.30614035513276416,3830,8939,0.0,0.29994517973216384
3,one_hot,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.20353982300884957,0.3056956029483121
3,one_hot,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.20353982300884957,0.2974813559355593
3,one_hot,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.20353982300884957,0.29994517973216384
3,one_hot,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,0.610697783694886,0.6935647221659342
3,one_hot,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,0,-0.3893022163051139,-0.29829401846160325
3,one_hot,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.3893022163051139,-0.0007907702351588345
3,training_count_normalized,raw_lookup,training,3830,3830,1.0,1.0,3830,0,2.5681818181818183,3.3339425587467364
3,training_count_normalized,raw_lookup,heldout,8939,81,0.009061416265801543,0.008849557522123894,0,8939,0.0,0.0
3,training_count_normalized,raw_lookup,full_grid,12769,3911,0.3062886678674916,0.30614035513276416,3830,8939,0.0,1.0
3,training_count_normalized,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.9999999999999999,1.0
3,training_count_normalized,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.9999999999999999,1.0
3,training_count_normalized,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.9999999999999999,1.0
3,training_count_normalized,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,1.5681818181818183,2.3339425587467364
3,training_count_normalized,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,8939,-1.0000000000000002,-1.0
3,training_count_normalized,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,8939,-1.0000000000000002,0.0
4,one_hot,raw_lookup,training,3830,3830,1.0,1.0,3830,0,1.0,1.0
4,one_hot,raw_lookup,heldout,8939,77,0.008613938919342208,0.008849557522123894,0,8939,0.0,0.0
4,one_hot,raw_lookup,full_grid,12769,3907,0.30597540919414207,0.30614035513276416,3830,8939,0.0,0.29994517973216384
4,one_hot,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.18584070796460178,0.3072067284364241
4,one_hot,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.18584070796460178,0.2968338997749744
4,one_hot,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.18584070796460178,0.29994517973216384
4,one_hot,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,0.6017699115044248,0.6919877551028754
4,one_hot,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,8803,-0.39823008849557523,-0.29773121117958135
4,one_hot,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,8803,-0.39823008849557523,-0.0008697779536584741
4,training_count_normalized,raw_lookup,training,3830,3830,1.0,1.0,3830,0,2.511111111111111,3.3339425587467364
4,training_count_normalized,raw_lookup,heldout,8939,77,0.008613938919342208,0.008849557522123894,0,8939,0.0,0.0
4,training_count_normalized,raw_lookup,full_grid,12769,3907,0.30597540919414207,0.30614035513276416,3830,8939,0.0,1.0
4,training_count_normalized,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.9999999999999999,1.0
4,training_count_normalized,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.9999999999999999,1.0
4,training_count_normalized,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.9999999999999999,1.0
4,training_count_normalized,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,1.511111111111111,2.3339425587467364
4,training_count_normalized,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,8776,-1.0000000000000002,-1.0
4,training_count_normalized,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,8776,-1.0000000000000002,0.0
