seed,lookup,control,context,replicate,rng_seed,split,n,correct,accuracy,uniform_tie_expected_accuracy,positive_margin_rows,tied_maximum_rows,minimum_margin,mean_margin
0,one_hot,pair_global_phase,isolated_family_with_dc,6,700006,heldout,8939,0,0.0,0.0,0,0,-0.1504568989438707,-0.12866040542668675
0,one_hot,pair_global_phase,isolated_family_with_dc,6,700006,full_grid,12769,0,0.0,0.0,0,0,-0.1504568989438707,-0.12899881508368513
0,one_hot,pair_global_phase,full_lookup_table,6,700006,training,3830,3830,1.0,1.0,3830,0,0.469012127604802,0.5651396124137115
0,one_hot,pair_global_phase,full_lookup_table,6,700006,heldout,8939,0,0.0,0.0,0,0,-0.5309878723951982,-0.4264090597771664
0,one_hot,pair_global_phase,full_lookup_table,6,700006,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.5309878723951982,-0.12899881508368516
0,one_hot,pair_global_phase,isolated_family_with_dc,7,700007,training,3830,0,0.0,0.0,0,0,-0.07190880418288412,-0.053509763954450215
0,one_hot,pair_global_phase,isolated_family_with_dc,7,700007,heldout,8939,0,0.0,0.0,0,0,-0.07190880418288412,-0.05419031223667975
0,one_hot,pair_global_phase,isolated_family_with_dc,7,700007,full_grid,12769,0,0.0,0.0,0,0,-0.07190880418288412,-0.05398618505984999
0,one_hot,pair_global_phase,full_lookup_table,7,700007,training,3830,3830,1.0,1.0,3830,0,0.5646693898443185,0.641418492243706
0,one_hot,pair_global_phase,full_lookup_table,7,700007,heldout,8939,0,0.0,0.0,0,0,-0.4353306101556815,-0.3519389665871595
0,one_hot,pair_global_phase,full_lookup_table,7,700007,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.4353306101556815,-0.05398618505985004
0,one_hot,pair_global_phase,isolated_family_with_dc,8,700008,training,3830,0,0.0,0.0,0,0,-0.12391159961162573,-0.10503771117882221
0,one_hot,pair_global_phase,isolated_family_with_dc,8,700008,heldout,8939,0,0.0,0.0,0,0,-0.12391159961162573,-0.1047589643903144
0,one_hot,pair_global_phase,isolated_family_with_dc,8,700008,full_grid,12769,0,0.0,0.0,0,0,-0.12391159961162573,-0.10484257314589315
0,one_hot,pair_global_phase,full_lookup_table,8,700008,training,3830,3830,1.0,1.0,3830,0,0.5061760778752664,0.5898905450193339
0,one_hot,pair_global_phase,full_lookup_table,8,700008,heldout,8939,0,0.0,0.0,0,0,-0.49382392212473364,-0.4025076187407941
0,one_hot,pair_global_phase,full_lookup_table,8,700008,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.49382392212473364,-0.10484257314589317
0,one_hot,pair_global_phase,isolated_family_with_dc,9,700009,training,3830,0,0.0,0.0,0,0,-0.10161306545473478,-0.08706496714440196
0,one_hot,pair_global_phase,isolated_family_with_dc,9,700009,heldout,8939,0,0.0,0.0,0,0,-0.10161306545473478,-0.08686767425668859
0,one_hot,pair_global_phase,isolated_family_with_dc,9,700009,full_grid,12769,0,0.0,0.0,0,0,-0.10161306545473478,-0.08692685130735366
0,one_hot,pair_global_phase,full_lookup_table,9,700009,training,3830,3830,1.0,1.0,3830,0,0.5365743272458428,0.6078632890537542
0,one_hot,pair_global_phase,full_lookup_table,9,700009,heldout,8939,0,0.0,0.0,0,0,-0.46342567275415725,-0.3846163286071683
0,one_hot,pair_global_phase,full_lookup_table,9,700009,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.46342567275415725,-0.08692685130735367
0,one_hot,pair_global_phase,isolated_family_with_dc,10,700010,training,3830,0,0.0,0.0,0,0,-0.0954753308108099,-0.0821288496016612
0,one_hot,pair_global_phase,isolated_family_with_dc,10,700010,heldout,8939,0,0.0,0.0,0,0,-0.0954753308108099,-0.08199154233245395
0,one_hot,pair_global_phase,isolated_family_with_dc,10,700010,full_grid,12769,0,0.0,0.0,0,0,-0.0954753308108099,-0.08203272698599484
0,one_hot,pair_global_phase,full_lookup_table,10,700010,training,3830,3830,1.0,1.0,3830,0,0.5342644782705326,0.6127994065964949
0,one_hot,pair_global_phase,full_lookup_table,10,700010,heldout,8939,0,0.0,0.0,0,0,-0.46573552172946747,-0.37974019668293363
0,one_hot,pair_global_phase,full_lookup_table,10,700010,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.46573552172946747,-0.08203272698599484
0,one_hot,pair_global_phase,isolated_family_with_dc,11,700011,training,3830,0,0.0,0.0,0,0,-0.061226415584077015,-0.04067417576430471
0,one_hot,pair_global_phase,isolated_family_with_dc,11,700011,heldout,8939,0,0.0,0.0,0,0,-0.061226415584077015,-0.0415375598173432
0,one_hot,pair_global_phase,isolated_family_with_dc,11,700011,full_grid,12769,0,0.0,0.0,0,0,-0.061226415584077015,-0.041278591932376686
0,one_hot,pair_global_phase,full_lookup_table,11,700011,training,3830,3830,1.0,1.0,3830,0,0.5910758793908204,0.6542540804338515
0,one_hot,pair_global_phase,full_lookup_table,11,700011,heldout,8939,0,0.0,0.0,0,0,-0.4089241206091796,-0.3392862141678229
0,one_hot,pair_global_phase,full_lookup_table,11,700011,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.4089241206091796,-0.04127859193237668
0,one_hot,pair_global_phase,isolated_family_with_dc,12,700012,training,3830,0,0.0,0.0,0,0,-0.06404623885135248,-0.0332455732880764
0,one_hot,pair_global_phase,isolated_family_with_dc,12,700012,heldout,8939,0,0.0,0.0,0,0,-0.06404623885135248,-0.03434443408147683
0,one_hot,pair_global_phase,isolated_family_with_dc,12,700012,full_grid,12769,0,0.0,0.0,0,0,-0.06404623885135248,-0.03401483608329971
0,one_hot,pair_global_phase,full_lookup_table,12,700012,training,3830,3830,1.0,1.0,3830,0,0.5852333843165768,0.6616826829100797
0,one_hot,pair_global_phase,full_lookup_table,12,700012,heldout,8939,0,0.0,0.0,0,0,-0.4147666156834232,-0.33209308843195656
0,one_hot,pair_global_phase,full_lookup_table,12,700012,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.4147666156834232,-0.034014836083299756
0,one_hot,pair_global_phase,isolated_family_with_dc,13,700013,training,3830,0,0.0,0.0,0,0,-0.09650126785239486,-0.06754170456085064
0,one_hot,pair_global_phase,isolated_family_with_dc,13,700013,heldout,8939,0,0.0,0.0,0,0,-0.09650126785239486,-0.06827302078994466
0,one_hot,pair_global_phase,isolated_family_with_dc,13,700013,full_grid,12769,0,0.0,0.0,0,0,-0.09650126785239486,-0.068053666012168
0,one_hot,pair_global_phase,full_lookup_table,13,700013,training,3830,3830,1.0,1.0,3830,0,0.548119056946603,0.6273865516373055
0,one_hot,pair_global_phase,full_lookup_table,13,700013,heldout,8939,0,0.0,0.0,0,0,-0.451880943053397,-0.3660216751404244
0,one_hot,pair_global_phase,full_lookup_table,13,700013,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.451880943053397,-0.06805366601216804
0,one_hot,pair_global_phase,isolated_family_with_dc,14,700014,training,3830,0,0.0,0.0,0,0,-0.07565534016782022,-0.04287302284636767
0,one_hot,pair_global_phase,isolated_family_with_dc,14,700014,heldout,8939,0,0.0,0.0,0,0,-0.07565534016782022,-0.04394388122343215
0,one_hot,pair_global_phase,isolated_family_with_dc,14,700014,full_grid,12769,0,0.0,0.0,0,0,-0.07565534016782022,-0.04362268241505585
0,one_hot,pair_global_phase,full_lookup_table,14,700014,training,3830,3830,1.0,1.0,3830,0,0.5772424827205356,0.6520552333517885
0,one_hot,pair_global_phase,full_lookup_table,14,700014,heldout,8939,0,0.0,0.0,0,0,-0.42275751727946437,-0.3416925355739119
0,one_hot,pair_global_phase,full_lookup_table,14,700014,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.42275751727946437,-0.04362268241505587
0,one_hot,pair_global_phase,isolated_family_with_dc,15,700015,training,3830,0,0.0,0.0,0,0,-0.0855645105778194,-0.050876144813649986
0,one_hot,pair_global_phase,isolated_family_with_dc,15,700015,heldout,8939,0,0.0,0.0,0,0,-0.0855645105778194,-0.052248270858414915
0,one_hot,pair_global_phase,isolated_family_with_dc,15,700015,full_grid,12769,0,0.0,0.0,0,0,-0.0855645105778194,-0.05183670826530271
0,one_hot,pair_global_phase,full_lookup_table,15,700015,training,3830,3830,1.0,1.0,3830,0,0.5690408849859616,0.6440521113845061
0,one_hot,pair_global_phase,full_lookup_table,15,700015,heldout,8939,0,0.0,0.0,0,0,-0.43095911501403844,-0.34999692520889464
0,one_hot,pair_global_phase,full_lookup_table,15,700015,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.43095911501403844,-0.05183670826530273
0,one_hot,pair_global_phase,isolated_family_with_dc,16,700016,training,3830,0,0.0,0.0,0,0,-0.15173132260487723,-0.12504838525295134
0,one_hot,pair_global_phase,isolated_family_with_dc,16,700016,heldout,8939,0,0.0,0.0,0,0,-0.15173132260487723,-0.12383974819335142
0,one_hot,pair_global_phase,isolated_family_with_dc,16,700016,full_grid,12769,0,0.0,0.0,0,0,-0.15173132260487723,-0.12420227305342407
0,one_hot,pair_global_phase,full_lookup_table,16,700016,training,3830,3830,1.0,1.0,3830,0,0.47658726146591923,0.5698798709452048
0,one_hot,pair_global_phase,full_lookup_table,16,700016,heldout,8939,0,0.0,0.0,0,0,-0.5234127385340808,-0.4215884025438311
0,one_hot,pair_global_phase,full_lookup_table,16,700016,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.5234127385340808,-0.12420227305342407
0,one_hot,pair_global_phase,isolated_family_with_dc,17,700017,training,3830,0,0.0,0.0,0,0,-0.10585825459853979,-0.08139833077697546
